 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1047,255,255,255,200.674,421.159,0.000,0.000,0.000,1
2,1241,255,255,255,197.112,544.606,0.000,0.000,0.000,1
3,1035,255,255,255,1523.109,553.588,0.000,0.000,0.000,1
4,1037,255,255,255,201.192,666.738,0.000,0.000,0.000,1
5,1043,255,255,255,1522.909,680.132,0.000,0.000,0.000,1
6,1046,255,255,255,195.163,798.808,0.000,0.000,0.000,1
7,1053,255,255,255,1523.753,804.729,0.000,0.000,0.000,1
8,1083,255,255,255,198.611,911.447,0.000,0.000,0.000,1
9,1255,255,255,255,1520.065,915.871,0.000,0.000,0.000,1
10,1075,255,255,255,1521.988,1043.505,0.000,0.000,0.000,1
11,918,255,255,255,198.297,1044.999,0.000,0.000,0.000,1
12,1031,255,255,255,1519.317,1159.525,0.000,0.000,0.000,1
13,1216,255,255,255,197.548,1169.859,0.000,0.000,0.000,1
14,1036,255,255,255,1522.474,1294.829,0.000,0.000,0.000,1
15,1055,255,255,255,183.688,363.362,41.220,32.587,15.742,2
16,1238,255,255,255,185.684,486.910,41.773,37.734,11.737,2
17,1020,255,255,255,195.488,608.711,38.249,33.954,80.610,2
18,1039,255,255,255,1504.059,611.854,40.389,32.754,45.937,2
19,1033,255,255,255,1509.929,738.413,38.058,34.560,41.347,2
20,1052,255,255,255,195.971,740.887,39.651,33.781,47.029,2
21,1091,255,255,255,204.539,853.392,39.237,35.403,176.288,2
22,1055,255,255,255,1516.333,862.711,38.512,34.879,65.946,2
23,1255,255,255,255,1518.096,973.827,42.501,37.597,179.590,2
24,913,255,255,255,210.474,986.932,36.227,32.089,32.641,2
25,1063,255,255,255,1526.373,1101.209,38.514,35.142,72.706,2
26,1189,255,255,255,215.503,1111.959,46.018,32.898,57.855,2
27,1053,255,255,255,1528.929,1217.541,37.775,35.493,43.741,2
28,1033,255,255,255,1538.516,1352.096,36.914,35.630,93.831,2
29,1045,255,255,255,193.445,414.708,41.187,32.304,13.642,3
30,1237,255,255,255,189.840,538.131,42.224,37.301,12.170,3
31,1057,255,255,255,1522.625,551.162,40.887,32.916,46.058,3
32,1033,255,255,255,193.732,660.277,38.510,34.154,82.632,3
33,1058,255,255,255,1522.565,677.440,38.915,34.616,35.696,3
34,1065,255,255,255,188.543,792.458,39.930,33.959,43.030,3
35,1081,255,255,255,1523.290,802.203,38.909,35.374,61.394,3
36,1095,255,255,255,191.838,904.831,39.326,35.453,175.251,3
37,1274,255,255,255,1519.608,913.397,42.586,38.090,169.211,3
38,1091,255,255,255,1521.854,1040.714,39.137,35.494,72.382,3
