 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1044,255,255,255,1307.739,181.213,0.000,0.000,0.000,1
2,907,255,255,255,1031.738,182.770,0.000,0.000,0.000,1
3,955,255,255,255,878.155,184.536,0.000,0.000,0.000,1
4,826,255,255,255,737.064,184.952,0.000,0.000,0.000,1
5,889,255,255,255,1168.412,185.533,0.000,0.000,0.000,1
6,871,255,255,255,452.220,188.375,0.000,0.000,0.000,1
7,861,255,255,255,587.459,187.380,0.000,0.000,0.000,1
8,992,255,255,255,499.212,1512.550,0.000,0.000,0.000,1
9,926,255,255,255,641.465,1512.387,0.000,0.000,0.000,1
10,866,255,255,255,1034.934,1513.312,0.000,0.000,0.000,1
11,928,255,255,255,759.917,1514.904,0.000,0.000,0.000,1
12,897,255,255,255,893.154,1516.473,0.000,0.000,0.000,1
13,938,255,255,255,1154.106,1518.134,0.000,0.000,0.000,1
14,955,255,255,255,1289.835,1517.648,0.000,0.000,0.000,1
15,884,255,255,255,396.276,195.588,35.251,31.929,113.385,2
16,870,255,255,255,531.407,201.211,33.368,33.197,177.265,2
17,826,255,255,255,681.163,206.067,34.037,30.899,107.714,2
18,957,255,255,255,821.803,212.523,35.129,34.686,122.477,2
19,927,255,255,255,975.604,217.922,35.194,33.537,87.530,2
20,1056,255,255,255,1251.085,229.817,38.307,35.099,80.113,2
21,905,255,255,255,1111.835,227.353,34.467,33.432,41.801,2
22,984,255,255,255,560.075,1470.213,36.231,34.580,24.190,2
23,923,255,255,255,702.009,1477.109,35.291,33.300,25.310,2
24,935,255,255,255,820.495,1485.525,34.950,34.062,57.293,2
25,895,255,255,255,953.347,1493.320,36.075,31.589,103.037,2
26,870,255,255,255,1094.813,1497.222,34.053,32.530,27.060,2
27,929,255,255,255,1213.880,1507.614,35.481,33.337,140.577,2
28,956,255,255,255,1349.736,1513.654,35.946,33.862,154.976,2
29,1038,255,255,255,1298.303,181.803,38.083,34.703,82.441,3
30,911,255,255,255,1022.460,182.928,35.216,32.937,83.891,3
31,975,255,255,255,868.617,184.741,35.525,34.944,120.824,3
32,831,255,255,255,727.708,184.801,33.923,31.190,115.679,3
33,895,255,255,255,1159.099,185.878,34.033,33.484,52.401,3
34,878,255,255,255,443.101,187.297,35.103,31.846,113.258,3
35,863,255,255,255,578.143,186.790,33.447,32.853,123.148,3
36,981,255,255,255,497.335,1504.023,36.034,34.663,30.761,3
37,924,255,255,255,639.819,1504.356,35.138,33.481,36.488,3
38,860,255,255,255,1032.660,1506.006,33.812,32.384,42.176,3
39,938,255,255,255,758.051,1507.116,35.073,34.051,59.149,3
40,892,255,255,255,891.219,1508.713,36.177,31.394,105.883,3
41,947,255,255,255,1152.229,1511.150,35.628,33.843,148.947,3
42,959,255,255,255,1287.938,1510.897,35.798,34.109,161.617,3
43,1028,255,255,255,1356.990,135.954,38.042,34.406,85.229,4
44,864,255,255,255,1218.057,146.661,33.609,32.732,46.160,4
45,900,255,255,255,1081.478,150.349,34.812,32.918,87.263,4
46,941,255,255,255,927.972,159.400,34.910,34.320,37.346,4
47,806,255,255,255,787.128,166.004,33.441,30.688,125.141,4
48,835,255,255,255,637.664,175.385,32.916,32.299,82.977,4
49,853,255,255,255,502.954,182.495,34.674,31.323,118.486,4
50,956,255,255,255,1231.138,1514.694,35.891,33.914,148.452,4
51,949,255,255,255,1095.721,1521.319,35.685,33.860,148.974,4
52,872,255,255,255,976.106,1522.157,34.284,32.384,37.109,4
53,887,255,255,255,834.916,1531.806,36.215,31.185,106.669,4
54,930,255,255,255,701.684,1536.544,35.090,33.745,76.179,4
55,914,255,255,255,583.330,1539.398,35.054,33.199,33.505,4
56,986,255,255,255,441.218,1546.141,36.315,34.570,35.134,4
57,1042,255,255,255,1308.461,181.483,38.575,34.393,81.863,5
58,908,255,255,255,1032.512,183.210,35.043,32.990,89.006,5
59,951,255,255,255,878.859,185.114,35.154,34.444,35.489,5
60,832,255,255,255,737.873,185.685,33.869,31.278,107.940,5
61,898,255,255,255,1169.251,185.748,34.043,33.586,39.527,5
62,875,255,255,255,453.029,188.969,35.207,31.644,120.286,5
