 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,39747,255,255,255,713.301,339.010,0,0,0,1
2,41623,255,255,255,1162.392,342.217,0,0,0,1
3,39725,255,255,255,323.117,337.503,0,0,0,1
4,32299,255,255,255,1376.968,325.961,0,0,0,1
5,37394,255,255,255,937.942,335.867,0,0,0,1
6,40042,255,255,255,516.016,447.123,0,0,0,1
7,31219,255,255,255,1041.781,520.029,0,0,0,1
8,36742,255,255,255,840.294,532.073,0,0,0,1
9,35285,255,255,255,1368.840,527.699,0,0,0,1
10,36947,255,255,255,317.322,558.922,0,0,0,1
11,36314,255,255,255,651.267,619.918,0,0,0,1
12,31384,255,255,255,1194.749,641.174,0,0,0,1
13,28798,255,255,255,466.161,694.696,0,0,0,1
14,34142,255,255,255,1015.349,729.827,0,0,0,1
15,38540,255,255,255,1368.793,744.042,0,0,0,1
16,38612,255,255,255,813.002,774.847,0,0,0,1
17,34155,255,255,255,313.432,818.598,0,0,0,1
18,34439,255,255,255,614.257,833.735,0,0,0,1
19,30673,255,255,255,1180.769,852.124,0,0,0,1
20,30705,255,255,255,966.450,926.954,0,0,0,1
21,36717,255,255,255,1365.506,962.956,0,0,0,1
22,40318,255,255,255,764.537,1001.949,0,0,0,1
23,34547,255,255,255,520.573,1014.737,0,0,0,1
24,35526,255,255,255,309.784,1029.506,0,0,0,1
25,36439,255,255,255,1175.614,1059.706,0,0,0,1
26,38609,255,255,255,985.745,1142.518,0,0,0,1
27,40103,255,255,255,1359.583,1183.003,0,0,0,1
28,35740,255,255,255,616.454,1202.007,0,0,0,1
29,25894,255,255,255,807.973,1207.831,0,0,0,1
30,32716,255,255,255,406.489,1214.057,0,0,0,1
31,39145,255,255,255,1158.956,1291.616,0,0,0,1
32,40285,255,255,255,950.229,1371.074,0,0,0,1
33,33936,255,255,255,311.597,1385.379,0,0,0,1
34,36096,255,255,255,725.634,1385.968,0,0,0,1
35,30483,255,255,255,515.705,1388.103,0,0,0,1
36,34429,255,255,255,1358.663,1390.219,0,0,0,1
37,39823,255,255,255,314.709,334.828,230.615,219.865,40.760,2
38,39678,255,255,255,710.953,346.364,234.060,215.840,115.231,2
39,41342,255,255,255,1154.195,355.097,239.411,219.865,110.500,2
40,37303,255,255,255,932.249,344.968,221.442,214.484,91.352,2
41,32245,255,255,255,1366.056,342.025,211.649,193.979,146.030,2
42,39934,255,255,255,508.130,440.945,235.489,215.915,65.292,2
43,30437,255,255,255,1036.987,530.117,202.585,191.296,82.945,2
44,36521,255,255,255,838.096,540.851,225.271,206.418,108.539,2
45,35216,255,255,255,1360.297,541.168,221.803,202.154,168.132,2
46,36872,255,255,255,311.609,555.562,222.365,211.126,51.616,2
47,36121,255,255,255,644.580,611.257,220.382,208.687,100.555,2
48,31220,255,255,255,1188.129,653.640,210.678,188.679,84.147,2
49,28483,255,255,255,461.977,686.157,195.487,185.515,89.083,2
50,33882,255,255,255,1008.198,736.838,214.303,201.303,106.920,2
51,38318,255,255,255,1362.740,755.328,230.799,211.388,48.538,2
52,38607,255,255,255,804.808,767.100,233.364,210.640,95.390,2
53,33849,255,255,255,312.312,810.232,216.114,199.422,138.299,2
54,34284,255,255,255,607.430,825.114,215.951,202.138,118.042,2
55,30569,255,255,255,1172.777,858.261,202.059,192.625,14.633,2
56,30628,255,255,255,947.768,929.057,204.561,190.636,167.966,2
57,34237,255,255,255,1368.384,968.459,213.999,203.702,8.835,2
58,40245,255,255,255,746.741,1002.518,229.444,223.329,104.574,2
59,34488,255,255,255,522.860,1009.647,214.315,204.893,160.474,2
60,35502,255,255,255,312.243,1020.348,214.954,210.290,42.982,2
61,36156,255,255,255,1180.267,1063.519,223.233,206.221,99.661,2
62,38161,255,255,255,991.640,1140.357,238.639,203.605,110.186,2
63,39797,255,255,255,1362.314,1184.342,230.483,219.847,13.130,2
64,35390,255,255,255,625.110,1191.839,218.822,205.921,68.882,2
65,32175,255,255,255,417.334,1198.993,214.358,191.112,161.187,2
66,25712,255,255,255,815.020,1201.800,189.665,172.608,106.301,2
67,39119,255,255,255,1162.884,1293.748,229.444,217.081,91.985,2
68,39943,255,255,255,952.391,1364.580,230.438,220.697,120.365,2
69,33820,255,255,255,318.815,1367.142,215.202,200.096,155.691,2
70,35459,255,255,255,729.126,1376.392,221.077,204.218,175.380,2
71,30205,255,255,255,520.958,1373.914,200.869,191.459,67.499,2
72,34426,255,255,255,1364.018,1390.500,224.893,194.904,179.580,2
73,39250,255,255,255,315.930,335.129,229.065,218.168,42.703,3
74,41687,255,255,255,1156.698,341.438,240.862,220.365,111.718,3
75,37562,255,255,255,931.995,335.004,222.850,214.609,95.288,3
76,39364,255,255,255,709.435,340.941,232.489,215.579,124.690,3
77,32575,255,255,255,1371.331,325.699,212.828,194.879,144.282,3
78,39894,255,255,255,508.290,440.933,235.040,216.111,62.547,3
79,30508,255,255,255,1038.108,518.283,202.302,192.010,80.106,3
80,36838,255,255,255,836.923,533.780,225.308,208.175,108.175,3
81,35221,255,255,255,1364.188,528.621,220.640,203.249,163.482,3
82,36903,255,255,255,310.369,556.137,222.051,211.602,49.375,3
83,36274,255,255,255,642.924,612.267,219.343,210.563,94.049,3
84,31420,255,255,255,1190.609,641.523,210.767,189.808,82.040,3
85,28766,255,255,255,459.266,691.763,195.515,187.331,92.925,3
86,34006,255,255,255,1009.731,726.438,214.000,202.326,106.735,3
87,38145,255,255,255,1363.865,745.483,229.630,211.504,53.565,3
88,38545,255,255,255,806.268,762.719,232.737,210.869,97.806,3
89,33932,255,255,255,305.800,814.384,215.568,200.417,136.205,3
90,34485,255,255,255,609.511,828.045,216.388,202.912,116.224,3
91,30620,255,255,255,1174.745,847.979,201.557,193.427,15.397,3
92,30729,255,255,255,952.138,921.847,204.511,191.312,171.066,3
93,34291,255,255,255,1365.527,960.640,214.278,203.757,13.634,3
94,40283,255,255,255,752.532,1002.168,229.496,223.490,102.068,3
95,34435,255,255,255,515.798,1009.649,214.554,204.350,154.647,3
96,35414,255,255,255,304.853,1026.004,213.669,211.030,31.257,3
97,36423,255,255,255,1173.457,1054.647,222.051,208.850,96.303,3
98,38559,255,255,255,982.195,1136.301,238.950,205.461,111.693,3
99,39813,255,255,255,1355.805,1177.265,230.538,219.884,7.959,3
100,35888,255,255,255,613.353,1196.755,220.647,207.091,70.587,3
101,32039,255,255,255,403.963,1208.490,213.111,191.418,162.835,3
102,25857,255,255,255,805.289,1205.783,188.917,174.268,107.901,3
103,39079,255,255,255,1155.213,1287.101,228.444,217.808,88.902,3
104,40195,255,255,255,945.376,1364.659,230.971,221.577,116.838,3
105,33624,255,255,255,306.207,1378.441,213.408,200.608,161.766,3
106,35110,255,255,255,720.574,1381.031,221.286,202.017,174.204,3
107,30480,255,255,255,510.740,1381.459,200.388,193.666,74.449,3
108,34518,255,255,255,1356.334,1384.664,224.562,195.713,175.312,3
109,32992,255,255,255,1386.327,310.662,212.154,198.002,138.029,4
110,39423,255,255,255,327.388,337.971,227.675,220.467,64.001,4
111,37917,255,255,255,936.278,326.067,223.470,216.035,98.850,4
112,41548,255,255,255,1168.935,331.550,239.062,221.283,117.024,4
113,39717,255,255,255,712.947,334.947,234.300,215.831,122.050,4
114,40016,255,255,255,518.496,449.355,234.825,216.970,60.913,4
115,30774,255,255,255,1045.800,506.890,203.378,192.659,76.010,4
116,35352,255,255,255,1376.198,516.798,219.711,204.867,163.994,4
117,36923,255,255,255,842.808,526.706,224.664,209.254,110.207,4
118,37090,255,255,255,318.856,561.130,221.313,213.384,48.555,4
119,36508,255,255,255,653.591,622.077,219.301,211.961,97.135,4
120,31630,255,255,255,1200.464,628.630,211.040,190.829,81.286,4
121,29049,255,255,255,467.135,701.503,195.476,189.212,89.114,4
122,34301,255,255,255,1018.749,716.370,214.624,203.488,108.231,4
123,38611,255,255,255,1373.019,736.684,231.843,212.045,55.213,4
