 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1027,255,255,255,1284.404,165.348,0.000,0.000,0.000,1
2,904,255,255,255,1008.450,167.001,0.000,0.000,0.000,1
3,956,255,255,255,854.692,168.869,0.000,0.000,0.000,1
4,887,255,255,255,1145.234,169.517,0.000,0.000,0.000,1
5,811,255,255,255,713.749,169.289,0.000,0.000,0.000,1
6,873,255,255,255,428.940,172.623,0.000,0.000,0.000,1
7,870,255,255,255,564.211,171.653,0.000,0.000,0.000,1
8,975,255,255,255,475.848,1496.528,0.000,0.000,0.000,1
9,905,255,255,255,617.912,1496.377,0.000,0.000,0.000,1
10,860,255,255,255,1011.356,1497.252,0.000,0.000,0.000,1
11,926,255,255,255,736.568,1498.985,0.000,0.000,0.000,1
12,886,255,255,255,869.549,1500.397,0.000,0.000,0.000,1
13,944,255,255,255,1130.534,1501.994,0.000,0.000,0.000,1
14,966,255,255,255,1266.561,1501.447,0.000,0.000,0.000,1
15,892,255,255,255,369.975,178.018,35.638,31.869,111.722,2
16,877,255,255,255,505.238,183.695,33.614,33.220,147.736,2
17,839,255,255,255,654.567,188.816,34.092,31.334,110.105,2
18,965,255,255,255,795.418,195.267,35.369,34.738,96.983,2
19,922,255,255,255,949.316,200.935,35.129,33.417,86.270,2
20,1033,255,255,255,1224.602,213.076,37.946,34.661,76.562,2
21,887,255,255,255,1085.473,210.596,33.930,33.285,47.473,2
22,982,255,255,255,535.863,1452.372,36.255,34.486,22.567,2
23,913,255,255,255,677.875,1459.378,35.042,33.174,29.792,2
24,928,255,255,255,796.274,1467.727,34.774,33.978,47.370,2
25,883,255,255,255,929.270,1475.833,35.902,31.315,101.189,2
26,848,255,255,255,1070.745,1479.929,33.544,32.188,43.442,2
27,944,255,255,255,1189.638,1490.680,35.660,33.706,143.558,2
28,968,255,255,255,1325.410,1496.947,36.262,33.988,147.769,2
29,1038,255,255,255,1275.651,165.795,38.281,34.524,84.981,3
30,913,255,255,255,999.950,166.940,34.913,33.296,82.195,3
31,959,255,255,255,846.313,168.622,35.299,34.591,159.212,3
32,829,255,255,255,705.362,168.799,33.917,31.120,111.421,3
33,898,255,255,255,1136.512,169.803,34.326,33.309,33.773,3
34,886,255,255,255,420.489,171.700,35.578,31.708,116.412,3
35,874,255,255,255,555.704,170.760,33.442,33.276,163.139,3
36,989,255,255,255,472.905,1489.533,36.500,34.499,28.211,3
37,908,255,255,255,615.111,1489.544,35.114,32.924,34.441,3
38,862,255,255,255,1008.470,1491.117,33.812,32.459,32.848,3
39,934,255,255,255,733.480,1492.319,35.090,33.890,34.443,3
40,888,255,255,255,866.786,1493.943,36.117,31.305,101.870,3
41,943,255,255,255,1127.691,1495.980,35.629,33.699,142.115,3
42,953,255,255,255,1263.449,1495.755,35.853,33.843,153.507,3
43,1022,255,255,255,1333.649,119.214,37.887,34.345,83.220,4
44,859,255,255,255,1194.776,130.093,33.403,32.743,96.382,4
45,886,255,255,255,1057.992,133.806,34.655,32.552,83.975,4
46,941,255,255,255,904.675,143.052,34.801,34.427,2.293,4
47,794,255,255,255,763.791,149.825,33.257,30.398,113.407,4
48,839,255,255,255,614.780,159.386,33.034,32.338,134.212,4
49,852,255,255,255,479.599,166.403,34.931,31.055,113.996,4
50,948,255,255,255,1206.842,1498.838,35.642,33.866,154.034,4
51,932,255,255,255,1071.159,1505.783,35.342,33.576,153.995,4
52,858,255,255,255,951.931,1506.669,33.900,32.225,31.673,4
53,879,255,255,255,810.536,1516.143,35.668,31.378,108.356,4
