 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1041,255,255,255,1313.006,184.586,0.000,0.000,0.000,1
2,907,255,255,255,1037.103,186.539,0.000,0.000,0.000,1
3,959,255,255,255,883.348,188.437,0.000,0.000,0.000,1
4,812,255,255,255,742.479,188.735,0.000,0.000,0.000,1
5,880,255,255,255,1173.761,188.866,0.000,0.000,0.000,1
6,867,255,255,255,457.536,192.382,0.000,0.000,0.000,1
7,845,255,255,255,592.681,191.312,0.000,0.000,0.000,1
8,978,255,255,255,503.439,1516.798,0.000,0.000,0.000,1
9,916,255,255,255,645.750,1516.644,0.000,0.000,0.000,1
10,855,255,255,255,1039.005,1517.427,0.000,0.000,0.000,1
11,905,255,255,255,764.123,1519.237,0.000,0.000,0.000,1
12,874,255,255,255,897.366,1520.699,0.000,0.000,0.000,1
13,928,255,255,255,1158.383,1522.155,0.000,0.000,0.000,1
14,954,255,255,255,1294.231,1521.535,0.000,0.000,0.000,1
15,866,255,255,255,437.505,194.182,34.919,31.577,117.203,2
16,856,255,255,255,572.965,195.327,33.447,32.586,148.902,2
17,819,255,255,255,722.419,195.307,33.520,31.109,115.581,2
18,958,255,255,255,863.228,197.271,35.041,34.810,132.722,2
19,908,255,255,255,1017.056,198.054,34.971,33.059,85.234,2
20,1036,255,255,255,1292.933,200.961,37.844,34.855,81.301,2
21,891,255,255,255,1153.673,202.877,34.001,33.366,16.706,2
22,973,255,255,255,524.251,1501.761,35.804,34.601,32.456,2
23,903,255,255,255,666.445,1504.005,34.989,32.860,43.836,2
24,908,255,255,255,784.706,1508.881,34.756,33.264,55.579,2
25,874,255,255,255,917.947,1512.252,35.850,31.041,103.570,2
26,854,255,255,255,1059.411,1511.712,33.572,32.389,43.416,2
27,930,255,255,255,1178.809,1518.226,35.398,33.452,147.667,2
28,946,255,255,255,1314.629,1519.994,35.908,33.543,162.521,2
29,1023,255,255,255,1308.631,185.242,38.019,34.260,88.558,3
30,893,255,255,255,1032.877,186.828,34.582,32.878,90.128,3
31,930,255,255,255,879.077,188.655,34.557,34.266,58.824,3
32,799,255,255,255,738.207,188.922,33.181,30.660,117.216,3
33,871,255,255,255,1169.429,189.423,33.714,32.894,42.285,3
34,851,255,255,255,453.224,191.991,34.752,31.179,120.107,3
35,844,255,255,255,588.661,191.129,33.001,32.563,89.714,3
36,965,255,255,255,502.217,1511.499,35.840,34.282,35.228,3
37,909,255,255,255,644.649,1511.371,34.907,33.156,46.797,3
38,853,255,255,255,1037.832,1512.739,33.537,32.385,35.398,3
39,900,255,255,255,762.943,1514.150,34.396,33.315,63.160,3
40,872,255,255,255,896.188,1515.579,36.059,30.790,102.811,3
41,921,255,255,255,1157.105,1517.466,35.066,33.441,144.904,3
42,947,255,255,255,1292.950,1517.212,35.880,33.605,151.719,3
43,1033,255,255,255,1321.984,170.242,38.017,34.597,82.153,4
44,895,255,255,255,1046.120,175.749,34.793,32.752,87.682,4
45,878,255,255,255,1183.009,176.508,33.787,33.086,21.578,4
46,951,255,255,255,892.783,180.023,34.846,34.749,15.785,4
47,807,255,255,255,751.747,182.241,33.547,30.629,115.385,4
48,846,255,255,255,602.181,186.832,33.000,32.642,122.147,4
49,865,255,255,255,467.032,189.721,35.023,31.447,114.578,4
50,842,255,255,255,1017.647,1515.609,33.538,31.965,42.583,4
51,949,255,255,255,1272.937,1516.468,35.811,33.741,152.594,4
52,929,255,255,255,1137.199,1518.773,35.258,33.548,139.823,4
53,914,255,255,255,624.943,1520.374,35.290,32.977,32.267,4
54,885,255,255,255,876.408,1520.795,36.021,31.282,103.638,4
55,907,255,255,255,743.158,1521.238,34.497,33.476,68.532,4
56,979,255,255,255,482.354,1522.383,36.066,34.562,31.513,4
57,1035,255,255,255,1311.973,186.000,38.238,34.463,81.466,5
58,901,255,255,255,1036.226,187.633,34.753,33.010,85.666,5
59,959,255,255,255,882.394,189.621,35.241,34.648,167.683,5
60,822,255,255,255,741.412,189.901,33.829,30.938,110.267,5
61,875,255,255,255,1172.621,190.235,33.724,33.036,37.482,5
62,862,255,255,255,456.759,193.370,34.999,31.359,116.537,5
63,847,255,255,255,591.766,192.336,33.060,32.620,119.694,5
64,970,255,255,255,503.780,1516.082,36.161,34.154,21.273,5
65,913,255,255,255,645.990,1515.893,35.121,33.099,37.535,5
66,860,255,255,255,1039.320,1516.986,33.943,32.259,33.526,5
67,900,255,255,255,764.444,1518.581,34.457,33.256,55.800,5
68,873,255,255,255,897.637,1520.085,35.612,31.212,105.747,5
69,941,255,255,255,1158.480,1521.611,35.425,33.821,145.251,5
70,951,255,255,255,1294.380,1521.207,35.788,33.834,154.453,5
71,873,255,255,255,419.453,196.592,35.132,31.639,117.987,6
72,856,255,255,255,554.903,199.776,33.040,32.987,3.087,6
73,820,255,255,255,704.434,202.346,33.873,30.822,117.167,6
74,962,255,255,255,845.267,206.359,35.066,34.930,32.823,6
75,916,255,255,255,999.211,209.412,35.287,33.052,89.690,6
76,1046,255,255,255,1274.804,216.531,38.348,34.729,80.786,6
77,895,255,255,255,1135.455,216.506,33.846,33.668,59.730,6
78,976,255,255,255,543.264,1488.877,35.857,34.657,23.504,6
79,923,255,255,255,685.525,1493.420,34.981,33.595,44.581,6
80,912,255,255,255,803.833,1499.900,34.648,33.514,47.758,6
81,870,255,255,255,936.954,1505.607,35.824,30.921,102.716,6
82,847,255,255,255,1078.538,1507.139,33.482,32.209,36.017,6
83,935,255,255,255,1197.575,1515.649,35.323,33.702,146.558,6
84,951,255,255,255,1333.517,1519.493,35.964,33.668,146.874,6
85,1041,255,255,255,1307.463,185.694,38.290,34.616,85.010,7
86,895,255,255,255,1031.822,187.173,34.787,32.758,85.078,7
87,941,255,255,255,877.801,189.245,34.895,34.335,120.789,7
88,810,255,255,255,736.721,189.338,33.649,30.650,118.107,7
89,879,255,255,255,1168.222,189.786,33.748,33.163,27.065,7
90,859,255,255,255,452.044,192.417,35.013,31.237,116.881,7
91,844,255,255,255,587.335,191.488,32.818,32.744,27.035,7
92,977,255,255,255,501.400,1511.537,35.914,34.637,31.526,7
93,915,255,255,255,643.593,1511.440,35.065,33.225,39.533,7
94,854,255,255,255,1036.889,1512.795,33.774,32.194,31.734,7
95,912,255,255,255,762.099,1514.412,34.397,33.759,42.967,7
96,880,255,255,255,895.352,1515.749,36.084,31.051,104.389,7
97,919,255,255,255,1156.267,1517.482,35.017,33.416,145.882,7
98,946,255,255,255,1292.021,1517.210,35.821,33.625,146.732,7
99,1040,255,255,255,1340.529,154.792,38.211,34.654,84.908,8
100,894,255,255,255,1065.102,164.791,34.833,32.678,87.250,8
101,877,255,255,255,1201.491,163.219,33.665,33.169,50.614,8
102,943,255,255,255,911.665,171.292,34.897,34.406,151.398,8
103,813,255,255,255,770.514,176.007,33.440,30.955,120.083,8
104,844,255,255,255,621.353,182.770,33.000,32.564,130.915,8
105,867,255,255,255,486.101,187.871,35.047,31.497,117.115,8
106,947,255,255,255,1253.049,1517.540,35.656,33.816,154.637,8
107,855,255,255,255,998.012,1520.956,33.892,32.120,28.491,8
108,933,255,255,255,1117.348,1521.941,35.620,33.350,148.896,8
109,878,255,255,255,856.664,1528.294,35.824,31.206,102.628,8
110,911,255,255,255,723.398,1530.835,34.587,33.536,66.308,8
