 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1040,255,255,255,1302.114,173.350,0.000,0.000,0.000,1
2,905,255,255,255,1026.249,174.920,0.000,0.000,0.000,1
3,824,255,255,255,731.498,176.880,0.000,0.000,0.000,1
4,954,255,255,255,872.427,176.694,0.000,0.000,0.000,1
5,902,255,255,255,1162.890,177.674,0.000,0.000,0.000,1
6,860,255,255,255,446.749,179.958,0.000,0.000,0.000,1
7,848,255,255,255,581.982,179.047,0.000,0.000,0.000,1
8,985,255,255,255,495.547,1503.695,0.000,0.000,0.000,1
9,917,255,255,255,637.830,1503.796,0.000,0.000,0.000,1
10,859,255,255,255,1031.110,1505.062,0.000,0.000,0.000,1
11,918,255,255,255,756.240,1506.608,0.000,0.000,0.000,1
12,881,255,255,255,889.406,1508.187,0.000,0.000,0.000,1
13,940,255,255,255,1150.307,1509.873,0.000,0.000,0.000,1
14,953,255,255,255,1286.230,1509.578,0.000,0.000,0.000,1
15,871,255,255,255,429.321,182.211,34.964,31.718,123.274,2
16,854,255,255,255,564.528,183.608,33.358,32.597,130.469,2
17,818,255,255,255,714.237,183.619,33.631,30.968,116.424,2
18,952,255,255,255,855.101,185.446,34.942,34.690,91.297,2
19,925,255,255,255,1008.863,186.262,35.283,33.380,87.355,2
20,1038,255,255,255,1284.585,189.098,38.377,34.438,83.139,2
21,886,255,255,255,1145.471,191.046,34.167,33.017,69.291,2
22,981,255,255,255,515.983,1490.451,36.211,34.493,30.341,2
23,921,255,255,255,658.410,1492.645,35.275,33.244,42.337,2
24,912,255,255,255,776.764,1497.439,34.544,33.615,54.376,2
25,860,255,255,255,1051.359,1500.363,33.722,32.471,48.231,2
26,880,255,255,255,909.888,1501.108,35.755,31.337,101.014,2
27,940,255,255,255,1170.763,1507.086,35.472,33.741,146.922,2
28,946,255,255,255,1306.469,1508.897,35.857,33.592,154.111,2
29,1056,255,255,255,1300.634,173.406,38.457,34.962,81.934,3
30,935,255,255,255,1024.832,174.680,35.402,33.627,82.739,3
31,964,255,255,255,871.038,176.476,35.246,34.824,43.890,3
32,831,255,255,255,730.180,176.703,34.066,31.059,115.418,3
33,899,255,255,255,1161.461,177.437,34.172,33.496,30.553,3
34,892,255,255,255,445.413,179.852,35.575,31.925,117.763,3
35,876,255,255,255,580.574,178.830,33.741,33.056,170.476,3
36,994,255,255,255,494.625,1499.623,36.190,34.971,29.145,3
37,937,255,255,255,636.713,1499.588,35.542,33.567,29.164,3
38,870,255,255,255,1030.087,1500.947,33.821,32.753,26.716,3
39,930,255,255,255,755.209,1502.333,35.121,33.715,60.423,3
40,889,255,255,255,888.533,1503.792,36.161,31.302,104.940,3
41,953,255,255,255,1149.395,1505.721,35.672,34.016,145.614,3
42,956,255,255,255,1285.208,1505.360,35.682,34.113,147.245,3
43,1044,255,255,255,1313.383,158.177,38.216,34.783,83.107,4
44,922,255,255,255,1037.452,163.641,35.175,33.374,88.731,4
45,903,255,255,255,1174.253,164.359,34.542,33.286,60.912,4
46,970,255,255,255,883.980,167.914,35.435,34.854,58.501,4
47,837,255,255,255,742.987,170.070,34.197,31.164,115.483,4
48,862,255,255,255,593.606,174.557,33.381,32.879,120.747,4
49,879,255,255,255,458.340,177.408,35.187,31.807,121.113,4
50,861,255,255,255,1009.543,1503.840,33.875,32.362,33.072,4
51,969,255,255,255,1264.796,1504.574,35.984,34.287,155.209,4
52,957,255,255,255,1128.934,1506.872,35.758,34.076,137.972,4
53,933,255,255,255,616.785,1508.307,35.245,33.705,38.848,4
54,894,255,255,255,868.223,1508.918,36.141,31.495,104.258,4
55,931,255,255,255,734.936,1509.358,34.862,34.003,65.862,4
56,991,255,255,255,474.362,1510.421,36.232,34.825,39.302,4
57,1061,255,255,255,1303.042,173.433,38.703,34.904,82.642,5
58,920,255,255,255,1027.242,175.151,35.111,33.362,87.975,5
59,970,255,255,255,873.557,176.924,35.203,35.084,117.311,5
60,822,255,255,255,732.611,177.282,33.952,30.826,116.161,5
61,899,255,255,255,1163.968,177.706,34.447,33.229,27.037,5
62,873,255,255,255,447.926,180.738,35.338,31.455,117.088,5
63,869,255,255,255,583.204,179.577,33.599,32.931,125.089,5
64,987,255,255,255,495.275,1503.630,36.182,34.732,31.708,5
65,940,255,255,255,637.720,1503.582,35.412,33.797,40.795,5
66,869,255,255,255,1030.719,1504.781,33.886,32.652,40.928,5
67,930,255,255,255,755.903,1506.372,35.008,33.825,50.031,5
68,898,255,255,255,889.243,1507.726,36.106,31.667,102.937,5
69,946,255,255,255,1150.185,1509.518,35.499,33.930,141.987,5
70,955,255,255,255,1285.857,1508.961,36.083,33.699,152.447,5
71,887,255,255,255,411.418,184.269,35.672,31.659,112.983,6
72,845,255,255,255,546.720,187.725,32.954,32.648,128.568,6
73,829,255,255,255,696.362,189.967,33.970,31.072,113.342,6
74,965,255,255,255,837.124,194.242,35.146,34.959,178.317,6
75,927,255,255,255,990.869,197.409,35.324,33.413,77.457,6
76,1037,255,255,255,1266.600,204.660,38.065,34.687,83.001,6
77,901,255,255,255,1127.316,204.297,34.286,33.460,25.160,6
78,980,255,255,255,535.496,1476.913,36.019,34.642,14.646,6
79,930,255,255,255,677.559,1481.511,35.415,33.436,35.698,6
80,921,255,255,255,795.977,1488.132,34.522,33.968,38.798,6
81,890,255,255,255,929.163,1493.646,36.008,31.470,104.423,6
82,864,255,255,255,1070.370,1495.020,33.728,32.617,25.900,6
83,938,255,255,255,1189.849,1503.741,35.602,33.546,144.254,6
84,950,255,255,255,1325.687,1507.625,35.778,33.808,149.350,6
85,1047,255,255,255,1298.857,173.587,38.339,34.771,89.125,7
86,928,255,255,255,1023.069,175.030,35.439,33.341,89.318,7
87,834,255,255,255,728.329,177.225,33.835,31.384,117.419,7
88,964,255,255,255,869.209,177.111,35.252,34.818,143.215,7
89,891,255,255,255,1159.490,177.766,33.954,33.412,62.051,7
90,867,255,255,255,578.608,179.311,33.401,33.050,126.311,7
91,881,255,255,255,443.450,180.187,35.210,31.858,121.299,7
92,983,255,255,255,493.370,1499.427,36.050,34.718,35.159,7
93,920,255,255,255,635.732,1499.423,35.392,33.098,42.585,7
94,868,255,255,255,1028.916,1500.764,33.710,32.785,26.751,7
95,921,255,255,255,754.031,1502.138,34.619,33.873,47.646,7
96,886,255,255,255,887.256,1503.550,35.961,31.370,102.868,7
97,945,255,255,255,1148.166,1505.501,35.475,33.917,143.489,7
98,959,255,255,255,1283.974,1505.280,35.962,33.953,149.560,7
99,1047,255,255,255,1333.198,142.112,38.196,34.901,84.949,8
100,912,255,255,255,1057.404,152.353,34.960,33.215,84.657,8
101,887,255,255,255,1194.312,150.653,33.983,33.233,38.024,8
102,950,255,255,255,903.926,159.174,34.956,34.602,87.381,8
103,821,255,255,255,763.092,163.661,33.588,31.122,121.909,8
104,846,255,255,255,613.708,170.686,32.990,32.651,104.423,8
105,878,255,255,255,478.571,175.926,35.452,31.533,119.170,8
106,943,255,255,255,1244.340,1506.213,35.657,33.672,155.056,8
107,856,255,255,255,989.398,1509.812,33.732,32.310,41.161,8
108,944,255,255,255,1108.585,1510.810,35.450,33.905,146.785,8
109,885,255,255,255,847.911,1517.168,35.857,31.426,105.117,8
110,917,255,255,255,714.829,1519.835,34.587,33.757,53.969,8
111,928,255,255,255,596.425,1520.940,35.391,33.386,32.783,8
112,978,255,255,255,454.076,1525.369,36.002,34.588,22.808,8
113,1048,255,255,255,1303.676,173.375,38.418,34.733,80.787,9
114,923,255,255,255,1027.951,175.202,34.858,33.714,81.282,9
115,842,255,255,255,733.335,177.191,34.191,31.355,114.631,9
116,968,255,255,255,874.121,177.067,35.315,34.900,169.700,9
117,893,255,255,255,1164.558,177.795,33.996,33.445,54.711,9
118,878,255,255,255,448.475,180.483,35.611,31.392,119.324,9
119,868,255,255,255,583.819,179.593,33.575,32.917,119.350,9
120,998,255,255,255,495.802,1504.418,36.345,34.962,28.168,9
121,925,255,255,255,638.134,1504.242,35.198,33.461,42.202,9
122,852,255,255,255,1031.397,1505.437,33.511,32.371,31.316,9
123,917,255,255,255,756.533,1506.975,34.821,33.531,57.454,9
124,884,255,255,255,889.718,1508.421,35.989,31.274,103.173,9
125,950,255,255,255,1150.516,1510.036,35.751,33.834,147.855,9
126,963,255,255,255,1286.382,1509.601,35.970,34.087,154.231,9
127,887,255,255,255,391.156,186.198,35.477,31.834,110.656,10
128,866,255,255,255,526.335,191.939,33.566,32.850,152.706,10
129,832,255,255,255,675.825,196.754,34.183,30.990,110.979,10
130,950,255,255,255,816.712,203.285,34.888,34.670,123.555,10
131,928,255,255,255,970.485,208.981,35.447,33.333,82.516,10
132,1048,255,255,255,1246.024,220.741,38.424,34.727,82.507,10
133,909,255,255,255,1106.695,218.325,34.530,33.518,35.348,10
134,981,255,255,255,555.415,1461.481,36.233,34.473,30.158,10
135,926,255,255,255,697.557,1468.457,35.267,33.431,36.439,10
136,923,255,255,255,815.861,1476.928,34.599,33.966,52.227,10
137,881,255,255,255,948.796,1484.913,36.302,30.900,102.685,10
138,863,255,255,255,1090.059,1488.767,33.944,32.371,28.933,10
139,933,255,255,255,1209.218,1499.310,35.383,33.574,140.107,10
140,953,255,255,255,1345.086,1505.550,35.799,33.895,148.078,10
141,1047,255,255,255,1297.741,174.324,38.226,34.874,87.595,11
142,917,255,255,255,1021.852,175.669,35.289,33.086,89.725,11
143,962,255,255,255,868.320,177.381,35.032,34.964,172.052,11
144,821,255,255,255,727.354,177.580,33.601,31.110,112.038,11
145,886,255,255,255,1158.577,178.470,33.923,33.254,24.120,11
146,873,255,255,255,442.547,180.679,35.343,31.450,120.250,11
147,859,255,255,255,577.764,179.910,33.456,32.691,90.841,11
148,982,255,255,255,493.710,1498.827,36.159,34.578,25.886,11
149,932,255,255,255,636.075,1498.750,35.560,33.371,33.339,11
150,913,255,255,255,754.343,1501.638,34.566,33.630,55.686,11
151,848,255,255,255,1029.139,1500.242,33.594,32.139,31.182,11
152,884,255,255,255,887.574,1503.218,35.789,31.450,105.429,11
153,941,255,255,255,1148.448,1505.212,35.514,33.737,150.765,11
154,951,255,255,255,1284.244,1504.801,36.025,33.611,156.356,11
155,1042,255,255,255,1351.790,128.000,38.166,34.762,87.484,12
156,899,255,255,255,1212.853,138.620,34.135,33.533,43.297,12
157,905,255,255,255,1076.166,142.353,34.911,33.006,86.622,12
158,946,255,255,255,922.887,151.320,34.883,34.530,30.434,12
159,812,255,255,255,782.212,158.227,33.354,30.997,110.537,12
160,848,255,255,255,632.702,167.447,33.184,32.537,115.773,12
