 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,38671,255,255,255,551.402,336.285,0,0,0,1
2,39512,255,255,255,330.501,339.534,0,0,0,1
3,32682,255,255,255,992.508,331.375,0,0,0,1
4,32064,255,255,255,1383.002,325.702,0,0,0,1
5,40439,255,255,255,777.928,341.266,0,0,0,1
6,37006,255,255,255,1188.357,410.100,0,0,0,1
7,35160,255,255,255,1373.901,527.144,0,0,0,1
8,42110,255,255,255,982.601,552.191,0,0,0,1
9,35846,255,255,255,544.310,555.488,0,0,0,1
10,42575,255,255,255,760.376,577.103,0,0,0,1
11,38810,255,255,255,329.556,567.286,0,0,0,1
12,33175,255,255,255,1183.606,625.687,0,0,0,1
13,39709,255,255,255,1367.961,738.562,0,0,0,1
14,35290,255,255,255,623.262,754.316,0,0,0,1
15,29560,255,255,255,1030.252,762.605,0,0,0,1
16,37453,255,255,255,333.010,785.032,0,0,0,1
17,30499,255,255,255,833.207,786.492,0,0,0,1
18,35223,255,255,255,1171.885,905.164,0,0,0,1
19,45309,255,255,255,536.581,958.463,0,0,0,1
20,33825,255,255,255,1376.345,951.673,0,0,0,1
21,29945,255,255,255,972.223,955.419,0,0,0,1
22,37113,255,255,255,767.543,980.294,0,0,0,1
23,33741,255,255,255,316.906,995.392,0,0,0,1
24,28076,255,255,255,1105.187,1096.642,0,0,0,1
25,40389,255,255,255,903.171,1161.152,0,0,0,1
26,40814,255,255,255,640.607,1166.557,0,0,0,1
27,38649,255,255,255,1367.217,1164.995,0,0,0,1
28,37495,255,255,255,409.264,1183.583,0,0,0,1
29,38695,255,255,255,1180.562,1289.726,0,0,0,1
30,44058,255,255,255,755.821,1366.769,0,0,0,1
31,39667,255,255,255,528.619,1369.507,0,0,0,1
32,37510,255,255,255,981.287,1376.158,0,0,0,1
33,34326,255,255,255,316.499,1377.588,0,0,0,1
34,35303,255,255,255,1374.312,1382.342,0,0,0,1
35,38783,255,255,255,300.371,341.156,228.712,215.905,73.942,2
36,38017,255,255,255,515.560,350.434,227.864,212.429,79.047,2
37,39806,255,255,255,735.501,365.027,229.373,220.961,3.975,2
38,32284,255,255,255,948.888,372.792,208.730,196.931,103.876,2
39,31212,255,255,255,1340.720,391.734,209.053,190.097,166.859,2
40,36452,255,255,255,1143.390,452.250,218.323,212.585,95.187,2
41,37595,255,255,255,315.218,561.293,222.720,214.922,15.573,2
42,35353,255,255,255,531.872,564.404,213.576,210.758,49.871,2
43,37334,255,255,255,750.029,575.488,221.364,214.738,161.747,2
44,41059,255,255,255,970.696,588.805,233.256,224.122,94.235,2
45,32794,255,255,255,1350.847,582.204,211.470,197.450,173.431,2
46,30343,255,255,255,1170.127,661.340,201.210,192.008,113.839,2
47,36069,255,255,255,416.329,747.743,223.235,205.722,8.136,2
48,33783,255,255,255,636.696,747.261,218.111,197.211,152.586,2
49,28862,255,255,255,842.211,757.414,196.463,187.049,160.596,2
50,37897,255,255,255,1347.060,783.674,234.216,206.015,0.351,2
51,26676,255,255,255,1030.581,786.864,189.551,179.186,176.391,2
52,34846,255,255,255,1175.948,921.371,215.136,206.229,83.002,2
53,43982,255,255,255,544.033,935.652,242.351,231.068,158.531,2
54,33103,255,255,255,326.053,939.565,210.059,200.649,70.545,2
55,36520,255,255,255,775.859,942.542,220.869,210.527,144.455,2
56,28163,255,255,255,979.681,960.956,193.839,184.990,154.547,2
57,33315,255,255,255,1371.961,984.925,212.477,199.635,18.331,2
58,39605,255,255,255,665.690,1126.769,235.829,213.827,4.576,2
59,28126,255,255,255,1105.295,1112.136,191.354,187.146,120.400,2
60,36667,255,255,255,430.267,1123.233,230.054,202.935,170.303,2
61,39320,255,255,255,898.369,1141.810,232.085,215.713,149.739,2
62,37987,255,255,255,1379.625,1190.006,226.561,213.481,171.158,2
63,38375,255,255,255,1196.403,1309.308,230.108,212.338,98.804,2
64,38497,255,255,255,547.846,1313.376,228.848,214.185,103.597,2
65,32640,255,255,255,344.805,1307.571,213.085,195.032,106.624,2
66,42446,255,255,255,770.276,1326.159,234.721,230.247,123.359,2
67,36699,255,255,255,990.574,1344.908,223.584,208.989,97.790,2
68,31959,255,255,255,1394.368,1391.268,213.097,190.953,3.200,2
69,37711,255,255,255,544.978,338.566,226.183,212.284,84.914,3
70,39368,255,255,255,324.696,340.316,230.736,217.240,67.022,3
71,32973,255,255,255,986.087,334.249,212.632,197.443,95.742,3
72,32245,255,255,255,1384.554,328.770,208.120,197.269,146.488,3
73,39471,255,255,255,769.709,353.548,230.686,217.854,3.322,3
74,37174,255,255,255,1185.769,404.864,221.247,213.930,53.105,3
75,34023,255,255,255,1378.881,533.533,211.703,204.623,0.079,3
76,42632,255,255,255,982.648,557.164,236.968,229.063,82.853,3
77,35985,255,255,255,539.922,558.731,216.830,211.306,75.642,3
78,37791,255,255,255,323.189,564.570,220.420,218.297,9.977,3
79,38853,255,255,255,757.462,573.693,225.454,219.420,97.052,3
80,33617,255,255,255,1190.144,622.331,215.492,198.627,100.876,3
81,38784,255,255,255,1369.700,745.573,233.707,211.296,8.582,3
82,35182,255,255,255,634.028,753.381,217.581,205.878,158.072,3
83,36850,255,255,255,410.985,761.651,225.106,208.430,15.031,3
84,27645,255,255,255,1043.117,758.822,192.168,183.166,19.505,3
85,30167,255,255,255,845.609,765.052,200.167,191.889,1.032,3
86,35306,255,255,255,1172.864,910.156,214.153,209.910,77.957,3
87,44773,255,255,255,534.203,952.795,241.256,236.291,152.994,3
88,37151,255,255,255,764.425,955.715,219.108,215.885,109.542,3
89,33428,255,255,255,313.067,954.492,211.045,201.672,93.697,3
90,29203,255,255,255,970.802,948.654,193.632,192.027,35.229,3
91,34267,255,255,255,1378.956,956.769,213.721,204.145,23.181,3
92,27961,255,255,255,1094.221,1097.606,189.130,188.236,136.455,3
93,40364,255,255,255,889.285,1144.165,230.280,223.176,153.942,3
94,37519,255,255,255,417.492,1146.320,228.755,208.829,163.866,3
95,40786,255,255,255,652.968,1152.566,236.038,220.008,17.199,3
96,38643,255,255,255,1371.322,1173.297,224.793,218.876,151.003,3
97,38844,255,255,255,1179.247,1288.079,227.312,217.577,98.460,3
98,33486,255,255,255,311.444,1327.419,212.766,200.387,118.885,3
99,39238,255,255,255,523.776,1344.771,228.951,218.210,93.816,3
100,43869,255,255,255,751.105,1361.299,239.320,233.393,97.521,3
101,37611,255,255,255,976.974,1368.318,225.991,211.901,103.865,3
102,33276,255,255,255,1372.860,1385.484,212.782,199.116,12.840,3
103,32847,255,255,255,1027.752,295.608,212.878,196.460,101.405,4
104,38780,255,255,255,584.964,326.088,227.979,216.582,97.530,4
105,31131,255,255,255,1419.142,311.933,207.979,190.583,159.638,4
106,39235,255,255,255,362.460,341.651,231.630,215.670,76.111,4
107,39854,255,255,255,812.925,332.789,231.712,218.995,14.053,4
108,37350,255,255,255,1220.507,385.409,221.853,214.356,54.967,4
109,43868,255,255,255,1005.009,517.183,237.698,234.980,99.330,4
110,35314,255,255,255,1399.857,514.153,218.680,205.612,160.851,4
111,36085,255,255,255,561.981,546.007,217.270,211.464,74.964,4
112,43573,255,255,255,779.447,567.246,252.658,219.581,84.151,4
113,38523,255,255,255,346.381,568.542,223.125,219.828,115.083,4
114,34266,255,255,255,1205.710,605.768,219.764,198.526,74.257,4
115,40262,255,255,255,1379.704,731.031,232.500,220.487,21.494,4
116,27901,255,255,255,1039.200,727.040,192.755,184.300,29.940,4
117,36578,255,255,255,636.761,750.619,217.311,214.313,173.139,4
118,37038,255,255,255,414.157,776.473,225.623,209.014,11.840,4
119,30511,255,255,255,846.510,780.053,202.171,192.154,19.563,4
120,35396,255,255,255,1172.445,876.027,214.478,210.127,74.292,4
121,29713,255,255,255,973.489,930.447,197.308,191.740,65.802,4
122,34904,255,255,255,1372.862,948.588,213.433,208.220,169.720,4
123,45608,255,255,255,536.879,970.923,244.888,237.128,147.449,4
124,33996,255,255,255,311.689,965.689,211.121,205.025,112.248,4
125,37660,255,255,255,769.636,975.946,220.405,217.555,93.037,4
126,28012,255,255,255,1108.748,1069.307,189.742,187.971,142.668,4
127,40483,255,255,255,913.335,1149.292,230.446,223.673,175.109,4
128,37570,255,255,255,410.530,1160.062,228.152,209.666,160.680,4
129,39079,255,255,255,1351.415,1164.798,225.894,220.267,163.768,4
130,40960,255,255,255,643.681,1179.292,236.055,220.931,18.117,4
131,39141,255,255,255,1152.094,1273.427,227.975,218.602,89.489,4
132,34754,255,255,255,289.202,1332.685,215.093,205.725,132.557,4
133,39432,255,255,255,503.950,1364.785,229.354,218.903,88.115,4
134,44386,255,255,255,732.242,1392.533,239.433,236.033,78.216,4
135,37995,255,255,255,961.702,1386.042,225.843,214.205,111.861,4
136,33929,255,255,255,1341.805,1377.648,215.739,200.241,19.943,4
137,38623,255,255,255,552.721,336.669,226.228,217.376,92.195,5
138,40744,255,255,255,780.273,339.797,230.890,224.682,42.372,5
139,39729,255,255,255,331.903,340.341,235.182,215.087,67.237,5
140,32681,255,255,255,995.850,331.658,210.965,197.240,102.968,5
141,32645,255,255,255,1383.325,325.715,212.432,195.662,144.103,5
142,37221,255,255,255,1190.369,414.218,221.813,213.654,62.717,5
143,35193,255,255,255,1375.695,530.521,218.919,204.684,165.335,5
144,43431,255,255,255,987.629,552.976,237.020,233.306,73.809,5
145,35849,255,255,255,544.467,555.400,216.539,210.791,75.731,5
146,43252,255,255,255,761.532,575.306,251.373,219.078,90.081,5
147,39185,255,255,255,329.890,571.068,227.002,219.786,102.059,5
148,33868,255,255,255,1188.734,633.744,218.848,197.041,75.355,5
149,40456,255,255,255,1368.798,747.032,233.818,220.301,27.080,5
150,36322,255,255,255,623.111,756.172,218.638,211.522,166.190,5
151,27567,255,255,255,1028.419,759.951,191.478,183.308,27.205,5
