 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,39455,255,255,255,548.529,340.320,0,0,0,1
2,38812,255,255,255,330.635,343.261,0,0,0,1
3,32753,255,255,255,969.460,337.969,0,0,0,1
4,40140,255,255,255,763.059,348.802,0,0,0,1
5,39033,255,255,255,1375.916,339.142,0,0,0,1
6,43251,255,255,255,1165.487,424.789,0,0,0,1
7,36072,255,255,255,598.133,550.300,0,0,0,1
8,31261,255,255,255,1382.841,548.849,0,0,0,1
9,35335,255,255,255,813.514,565.320,0,0,0,1
10,37841,255,255,255,337.815,564.351,0,0,0,1
11,33920,255,255,255,1018.703,593.036,0,0,0,1
12,28932,255,255,255,1211.205,638.050,0,0,0,1
13,36724,255,255,255,476.179,726.346,0,0,0,1
14,34511,255,255,255,691.137,742.948,0,0,0,1
15,33712,255,255,255,1380.182,748.624,0,0,0,1
16,29550,255,255,255,891.578,753.582,0,0,0,1
17,33970,255,255,255,1182.077,833.524,0,0,0,1
18,44639,255,255,255,340.694,906.782,0,0,0,1
19,37130,255,255,255,572.335,920.383,0,0,0,1
20,40490,255,255,255,1000.626,939.520,0,0,0,1
21,34271,255,255,255,786.430,957.346,0,0,0,1
22,38416,255,255,255,1366.554,957.739,0,0,0,1
23,28157,255,255,255,1177.398,1052.301,0,0,0,1
24,39299,255,255,255,331.088,1138.896,0,0,0,1
25,44975,255,255,255,562.106,1146.018,0,0,0,1
26,37493,255,255,255,985.235,1162.261,0,0,0,1
27,30760,255,255,255,778.657,1164.267,0,0,0,1
28,37562,255,255,255,1364.480,1166.345,0,0,0,1
29,32761,255,255,255,1177.941,1256.832,0,0,0,1
30,43077,255,255,255,337.998,1369.908,0,0,0,1
31,40889,255,255,255,569.689,1377.424,0,0,0,1
32,37274,255,255,255,791.992,1378.071,0,0,0,1
33,38781,255,255,255,1010.092,1380.751,0,0,0,1
34,40824,255,255,255,1364.828,1380.325,0,0,0,1
35,39178,255,255,255,541.532,342.951,234.277,212.923,64.331,2
36,38992,255,255,255,325.798,341.237,231.116,214.810,79.738,2
37,40083,255,255,255,755.290,355.592,240.317,212.366,94.587,2
38,32778,255,255,255,961.577,347.737,220.660,189.134,79.005,2
39,38555,255,255,255,1369.011,353.995,223.580,219.563,32.942,2
40,43114,255,255,255,1157.450,433.931,236.640,231.974,111.725,2
41,35577,255,255,255,606.404,546.020,218.398,207.410,177.259,2
42,37839,255,255,255,335.395,563.186,231.385,208.216,35.400,2
43,35210,255,255,255,819.593,566.946,216.611,206.965,56.386,2
44,31035,255,255,255,1380.282,559.636,211.103,187.183,156.324,2
45,33475,255,255,255,1019.334,607.566,213.868,199.290,96.806,2
46,28675,255,255,255,1209.873,646.419,197.100,185.237,113.592,2
47,36326,255,255,255,481.139,717.173,216.141,213.989,125.164,2
48,33860,255,255,255,692.670,739.575,211.724,203.623,99.045,2
49,33387,255,255,255,1378.832,756.692,210.409,202.033,24.693,2
50,29381,255,255,255,888.740,761.760,196.121,190.745,60.287,2
51,33882,255,255,255,1183.237,841.430,217.220,198.600,142.652,2
52,44530,255,255,255,342.240,892.870,244.630,231.768,136.396,2
53,36952,255,255,255,572.178,913.252,222.439,211.513,1.827,2
54,38862,255,255,255,999.210,940.137,227.609,217.393,118.116,2
55,34198,255,255,255,785.924,948.611,213.175,204.256,58.731,2
56,38048,255,255,255,1368.165,962.576,233.414,207.546,4.927,2
57,28122,255,255,255,1174.364,1049.675,190.897,187.568,60.718,2
58,39222,255,255,255,337.866,1124.285,226.499,220.482,115.865,2
59,44863,255,255,255,569.123,1136.671,244.212,233.901,33.049,2
60,37425,255,255,255,992.281,1158.922,219.725,216.866,7.581,2
61,30639,255,255,255,786.030,1155.566,203.097,192.079,79.660,2
62,37414,255,255,255,1371.312,1168.731,236.017,201.838,167.268,2
63,32767,255,255,255,1185.287,1255.073,221.381,188.455,113.989,2
64,43137,255,255,255,347.985,1354.717,237.639,231.123,61.074,2
65,40894,255,255,255,579.555,1366.281,229.375,226.999,159.881,2
66,37099,255,255,255,800.989,1368.964,225.602,209.377,71.733,2
67,38507,255,255,255,1017.799,1376.077,223.382,219.484,131.342,2
68,40647,255,255,255,1372.212,1381.458,232.880,222.231,179.317,2
69,39245,255,255,255,323.015,339.963,232.816,214.626,84.409,3
70,39357,255,255,255,540.901,339.086,234.545,213.651,62.594,3
71,32699,255,255,255,962.519,337.963,219.073,190.044,82.068,3
72,40125,255,255,255,755.907,349.309,240.297,212.606,93.747,3
73,38986,255,255,255,1370.688,339.990,222.991,222.603,108.309,3
74,43174,255,255,255,1159.131,425.411,235.747,233.177,112.041,3
75,35705,255,255,255,599.091,546.225,218.423,208.133,175.265,3
76,31091,255,255,255,1379.851,548.226,209.631,188.838,158.207,3
77,35168,255,255,255,812.993,564.159,216.758,206.578,58.079,3
78,37760,255,255,255,328.944,562.989,231.395,207.773,31.011,3
79,33633,255,255,255,1015.875,598.077,213.110,200.943,94.497,3
80,28951,255,255,255,1208.308,637.826,197.042,187.074,111.584,3
81,36464,255,255,255,474.062,718.744,216.572,214.374,137.714,3
82,33898,255,255,255,687.504,739.702,211.903,203.679,95.965,3
83,33195,255,255,255,1377.296,746.867,209.036,202.191,27.311,3
84,29416,255,255,255,885.904,755.608,196.478,190.625,52.296,3
85,33835,255,255,255,1176.534,832.676,217.526,198.045,146.524,3
86,44684,255,255,255,333.537,895.894,244.224,232.956,136.430,3
87,37136,255,255,255,565.336,914.682,223.105,211.932,4.370,3
88,38506,255,255,255,993.342,934.929,225.061,217.841,117.266,3
89,34196,255,255,255,780.179,947.351,213.322,204.103,58.727,3
90,38236,255,255,255,1363.100,953.476,233.723,208.296,5.610,3
91,28145,255,255,255,1169.040,1042.221,190.880,187.737,57.995,3
92,39279,255,255,255,324.823,1129.051,226.637,220.668,113.790,3
93,44867,255,255,255,557.020,1139.366,244.120,234.010,33.333,3
94,37455,255,255,255,982.021,1153.926,219.318,217.443,9.354,3
95,30793,255,255,255,775.281,1155.493,203.398,192.759,82.027,3
96,37405,255,255,255,1362.573,1161.440,235.368,202.345,167.812,3
97,32874,255,255,255,1174.901,1248.980,220.589,189.749,112.399,3
98,43071,255,255,255,332.045,1361.108,237.073,231.320,73.023,3
99,40869,255,255,255,564.281,1369.860,229.680,226.559,155.040,3
100,37200,255,255,255,787.282,1370.311,225.081,210.433,70.553,3
101,38800,255,255,255,1005.900,1373.145,223.226,221.308,98.216,3
102,40441,255,255,255,1361.778,1374.213,231.564,222.362,179.736,3
103,39161,255,255,255,1384.735,326.367,225.398,221.214,76.448,4
104,39484,255,255,255,552.709,337.862,234.266,214.596,62.077,4
105,32519,255,255,255,976.279,328.884,218.199,189.755,80.821,4
