 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1054,255,255,255,202.560,411.798,0.000,0.000,0.000,1
2,1236,255,255,255,198.856,535.574,0.000,0.000,0.000,1
3,1032,255,255,255,1530.520,545.596,0.000,0.000,0.000,1
4,1048,255,255,255,202.858,657.614,0.000,0.000,0.000,1
5,1081,255,255,255,1530.241,672.173,0.000,0.000,0.000,1
6,1050,255,255,255,197.213,789.566,0.000,0.000,0.000,1
7,1056,255,255,255,1530.600,796.759,0.000,0.000,0.000,1
8,1088,255,255,255,200.522,902.288,0.000,0.000,0.000,1
9,1280,255,255,255,1526.844,907.748,0.000,0.000,0.000,1
10,1082,255,255,255,1528.798,1035.414,0.000,0.000,0.000,1
11,923,255,255,255,200.277,1035.993,0.000,0.000,0.000,1
12,1042,255,255,255,1525.897,1151.554,0.000,0.000,0.000,1
13,1211,255,255,255,199.423,1161.106,0.000,0.000,0.000,1
14,1063,255,255,255,1529.223,1286.581,0.000,0.000,0.000,1
15,1050,255,255,255,178.629,331.541,40.721,32.831,18.163,2
16,1245,255,255,255,183.212,455.418,42.029,37.717,13.599,2
17,1027,255,255,255,194.865,577.042,38.381,34.069,85.978,2
18,1038,255,255,255,1498.978,625.529,40.424,32.694,47.956,2
19,1057,255,255,255,197.801,709.012,40.178,33.496,44.970,2
20,1048,255,255,255,1507.101,751.535,38.835,34.360,35.231,2
21,1091,255,255,255,208.294,821.526,38.922,35.689,174.291,2
22,1061,255,255,255,1515.869,876.065,38.426,35.156,64.053,2
23,924,255,255,255,216.565,954.955,36.454,32.273,36.902,2
24,1290,255,255,255,1519.298,987.236,43.113,38.097,177.651,2
25,1194,255,255,255,223.652,1080.239,46.265,32.860,60.632,2
26,1083,255,255,255,1529.654,1114.324,38.736,35.598,75.889,2
27,1066,255,255,255,1534.395,1230.835,38.248,35.486,36.506,2
28,1057,255,255,255,1546.241,1365.071,37.322,36.059,69.857,2
29,1045,255,255,255,196.297,406.687,40.648,32.733,13.412,3
30,1240,255,255,255,192.698,530.260,41.877,37.701,6.129,3
31,1021,255,255,255,1527.095,543.918,40.531,32.073,43.818,3
32,1037,255,255,255,197.106,652.585,38.688,34.128,77.767,3
33,1034,255,255,255,1527.144,670.960,38.364,34.317,34.887,3
34,1044,255,255,255,191.440,784.455,39.935,33.285,40.754,3
35,1058,255,255,255,1527.616,795.178,38.785,34.732,60.417,3
36,1075,255,255,255,195.069,896.989,38.829,35.251,0.248,3
37,1270,255,255,255,1523.939,906.357,42.850,37.736,174.747,3
38,917,255,255,255,195.034,1030.508,36.123,32.322,34.160,3
39,1064,255,255,255,1526.123,1033.893,38.306,35.366,71.534,3
40,1033,255,255,255,1523.354,1149.720,37.523,35.052,39.396,3
41,1195,255,255,255,194.529,1155.782,46.163,32.959,55.865,3
42,1028,255,255,255,1526.619,1284.516,36.713,35.652,81.239,3
43,1026,255,255,255,1555.545,472.460,39.849,32.783,42.582,4
44,1024,255,255,255,225.244,483.690,40.839,31.925,9.433,4
45,1039,255,255,255,1547.442,598.499,38.609,34.263,30.280,4
46,1246,255,255,255,214.017,606.520,42.544,37.290,6.963,4
