 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,39288,255,255,255,553.532,331.541,0,0,0,1
2,38672,255,255,255,331.143,334.474,0,0,0,1
3,39072,255,255,255,809.470,333.955,0,0,0,1
4,32804,255,255,255,1020.925,326.795,0,0,0,1
5,38522,255,255,255,1378.826,332.982,0,0,0,1
6,41276,255,255,255,1188.678,459.325,0,0,0,1
7,34734,255,255,255,679.446,503.352,0,0,0,1
8,35671,255,255,255,930.141,520.377,0,0,0,1
9,29369,255,255,255,1389.975,537.647,0,0,0,1
10,37676,255,255,255,330.526,560.417,0,0,0,1
11,37540,255,255,255,524.414,651.845,0,0,0,1
12,29973,255,255,255,1192.667,665.096,0,0,0,1
13,33081,255,255,255,784.149,677.317,0,0,0,1
14,34581,255,255,255,994.705,722.904,0,0,0,1
15,33109,255,255,255,1385.389,733.569,0,0,0,1
16,44438,255,255,255,342.401,789.086,0,0,0,1
17,36988,255,255,255,639.848,838.280,0,0,0,1
18,32163,255,255,255,1174.653,855.823,0,0,0,1
19,28468,255,255,255,847.689,859.327,0,0,0,1
20,38043,255,255,255,1375.055,941.270,0,0,0,1
21,37674,255,255,255,1007.632,985.567,0,0,0,1
22,38581,255,255,255,325.823,1017.928,0,0,0,1
23,44878,255,255,255,549.216,1050.467,0,0,0,1
24,31517,255,255,255,768.412,1038.999,0,0,0,1
25,27551,255,255,255,1196.994,1048.990,0,0,0,1
26,35611,255,255,255,1375.649,1153.329,0,0,0,1
27,37026,255,255,255,916.809,1182.258,0,0,0,1
28,30114,255,255,255,679.751,1219.720,0,0,0,1
29,41133,255,255,255,331.370,1248.431,0,0,0,1
30,32514,255,255,255,1187.745,1240.140,0,0,0,1
31,39935,255,255,255,523.137,1365.901,0,0,0,1
32,38820,255,255,255,1028.965,1371.541,0,0,0,1
33,36810,255,255,255,809.746,1373.577,0,0,0,1
34,40431,255,255,255,1370.728,1370.893,0,0,0,1
35,37968,255,255,255,301.999,335.609,227.623,212.379,92.915,2
36,38967,255,255,255,515.999,344.723,233.060,212.882,54.780,2
37,37827,255,255,255,739.418,357.660,224.531,214.504,132.426,2
38,32325,255,255,255,945.278,370.337,212.562,193.625,77.359,2
39,37760,255,255,255,1330.541,395.388,225.654,213.059,4.499,2
40,40829,255,255,255,1121.920,480.610,233.300,222.825,40.163,2
41,33667,255,255,255,617.527,525.205,214.455,199.884,171.604,2
42,34509,255,255,255,830.959,550.862,215.141,204.230,37.919,2
43,37555,255,255,255,320.166,555.718,231.132,206.879,49.242,2
44,27304,255,255,255,1364.147,583.751,194.866,178.402,10.695,2
45,33563,255,255,255,998.952,665.894,215.179,198.596,102.234,2
46,35431,255,255,255,484.782,681.536,215.345,209.487,133.981,2
47,28784,255,255,255,1193.583,672.364,195.827,187.149,11.366,2
48,31890,255,255,255,691.170,709.933,208.232,194.992,39.554,2
49,32193,255,255,255,1365.810,771.927,208.030,197.036,6.974,2
50,27895,255,255,255,857.018,798.314,191.355,185.608,66.323,2
51,43995,255,255,255,341.624,846.932,244.380,229.218,136.660,2
52,30186,255,255,255,1180.348,858.962,202.015,190.254,162.845,2
53,36067,255,255,255,568.000,877.437,221.379,207.436,1.736,2
54,37275,255,255,255,992.908,943.403,220.430,215.306,58.141,2
55,31414,255,255,255,760.305,965.275,207.850,192.434,0.200,2
56,37300,255,255,255,1360.362,969.542,234.218,202.767,9.721,2
57,27502,255,255,255,1163.388,1048.926,189.649,184.639,33.410,2
58,37691,255,255,255,346.296,1072.435,222.299,215.879,32.787,2
59,44207,255,255,255,567.449,1097.925,241.691,232.885,76.480,2
60,36469,255,255,255,974.537,1154.257,219.517,211.527,1.194,2
61,29297,255,255,255,769.638,1154.372,198.702,187.729,44.551,2
62,32764,255,255,255,1391.091,1166.841,207.835,200.719,153.993,2
63,30720,255,255,255,1215.767,1238.801,214.887,182.020,112.837,2
64,42348,255,255,255,397.697,1292.014,237.434,227.091,73.320,2
65,39578,255,255,255,625.947,1317.636,226.724,222.263,12.158,2
66,35675,255,255,255,844.473,1336.248,218.633,207.758,58.271,2
67,37240,255,255,255,1054.783,1351.454,218.375,217.129,117.089,2
68,39271,255,255,255,1387.686,1373.926,230.926,216.525,1.453,2
69,39238,255,255,255,542.192,330.998,231.222,216.066,53.196,3
70,39138,255,255,255,322.608,332.805,231.963,214.827,86.258,3
71,33422,255,255,255,973.726,328.263,217.475,195.674,82.003,3
72,38894,255,255,255,763.924,335.264,231.011,214.368,109.122,3
73,38404,255,255,255,1375.121,334.869,222.287,219.975,49.308,3
74,41389,255,255,255,1164.526,425.912,235.200,224.056,33.416,3
75,34999,255,255,255,598.911,536.770,215.196,207.077,0.316,3
76,35098,255,255,255,814.125,550.059,216.929,206.004,47.693,3
77,28227,255,255,255,1390.521,538.012,195.271,184.050,22.452,3
78,37641,255,255,255,325.592,558.938,230.399,208.013,50.818,3
79,34454,255,255,255,1008.205,625.673,215.784,203.297,98.662,3
80,29853,255,255,255,1211.809,628.038,201.602,188.540,8.689,3
81,36570,255,255,255,473.557,711.047,216.034,215.533,9.729,3
