 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,976,255,255,255,1312.038,195.403,0.000,0.000,0.000,1
2,859,255,255,255,1036.221,197.460,0.000,0.000,0.000,1
3,780,255,255,255,741.364,199.856,0.000,0.000,0.000,1
4,908,255,255,255,882.325,199.404,0.000,0.000,0.000,1
5,824,255,255,255,1173.005,199.930,0.000,0.000,0.000,1
6,830,255,255,255,456.563,203.296,0.000,0.000,0.000,1
7,828,255,255,255,591.609,202.312,0.000,0.000,0.000,1
8,997,255,255,255,503.006,1530.161,0.000,0.000,0.000,1
9,946,255,255,255,645.122,1530.076,0.000,0.000,0.000,1
10,887,255,255,255,1038.621,1530.875,0.000,0.000,0.000,1
11,938,255,255,255,763.775,1532.577,0.000,0.000,0.000,1
12,902,255,255,255,896.950,1533.988,0.000,0.000,0.000,1
13,964,255,255,255,1293.649,1534.889,0.000,0.000,0.000,1
14,952,255,255,255,1157.821,1535.563,0.000,0.000,0.000,1
15,831,255,255,255,438.378,204.980,34.192,30.944,111.680,2
16,830,255,255,255,573.661,206.060,32.623,32.394,154.676,2
17,778,255,255,255,723.366,206.018,33.079,29.946,116.369,2
18,911,255,255,255,864.331,207.941,34.260,33.857,79.707,2
19,852,255,255,255,1018.130,208.452,33.976,31.929,86.634,2
20,978,255,255,255,1293.998,211.216,37.173,33.498,81.968,2
21,829,255,255,255,1154.599,213.136,32.901,32.081,19.980,2
22,995,255,255,255,523.844,1515.588,36.364,34.838,35.214,2
23,943,255,255,255,665.901,1517.834,35.819,33.520,44.633,2
24,945,255,255,255,784.465,1522.282,35.115,34.265,64.490,2
25,900,255,255,255,917.667,1525.844,36.354,31.521,103.563,2
26,877,255,255,255,1059.287,1525.001,33.995,32.847,30.219,2
27,960,255,255,255,1178.495,1531.694,35.766,34.176,140.016,2
28,964,255,255,255,1314.459,1533.310,35.864,34.224,151.271,2
29,995,255,255,255,1308.282,196.525,37.151,34.101,81.299,3
30,856,255,255,255,1032.175,198.357,34.164,31.902,92.660,3
31,921,255,255,255,878.466,199.927,34.604,33.888,157.802,3
32,788,255,255,255,737.626,200.345,33.022,30.383,114.947,3
33,851,255,255,255,1169.093,200.942,33.373,32.467,54.187,3
34,832,255,255,255,452.697,203.416,34.316,30.870,113.481,3
35,844,255,255,255,588.055,202.545,33.031,32.534,164.904,3
36,1005,255,255,255,501.533,1524.672,36.461,35.095,30.134,3
37,951,255,255,255,644.026,1524.689,35.898,33.730,39.504,3
38,882,255,255,255,1036.948,1525.831,34.202,32.834,40.255,3
39,955,255,255,255,762.179,1527.387,35.421,34.329,66.165,3
40,911,255,255,255,895.439,1528.805,36.604,31.688,105.000,3
41,954,255,255,255,1156.316,1530.684,35.649,34.073,145.486,3
42,970,255,255,255,1292.160,1530.237,36.224,34.095,152.151,3
43,981,255,255,255,1327.546,181.673,37.270,33.513,81.307,4
44,858,255,255,255,1051.810,187.594,33.709,32.408,87.519,4
