 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1012,255,255,255,206.707,423.273,0.000,0.000,0.000,1
2,1209,255,255,255,202.837,546.649,0.000,0.000,0.000,1
3,1005,255,255,255,1527.775,553.096,0.000,0.000,0.000,1
4,989,255,255,255,206.732,668.737,0.000,0.000,0.000,1
5,998,255,255,255,1527.562,679.552,0.000,0.000,0.000,1
6,999,255,255,255,200.675,800.975,0.000,0.000,0.000,1
7,1033,255,255,255,1527.977,804.456,0.000,0.000,0.000,1
8,1050,255,255,255,203.990,913.624,0.000,0.000,0.000,1
9,1234,255,255,255,1524.183,915.445,0.000,0.000,0.000,1
10,1045,255,255,255,1526.227,1043.217,0.000,0.000,0.000,1
11,883,255,255,255,203.541,1046.973,0.000,0.000,0.000,1
12,1019,255,255,255,1523.220,1159.059,0.000,0.000,0.000,1
13,1156,255,255,255,202.913,1172.087,0.000,0.000,0.000,1
14,1001,255,255,255,1526.280,1294.454,0.000,0.000,0.000,1
15,1019,255,255,255,179.615,340.288,40.409,32.108,18.694,2
16,1228,255,255,255,183.997,463.927,41.852,37.358,10.847,2
17,1007,255,255,255,195.817,585.635,37.872,33.855,81.143,2
18,1014,255,255,255,1498.205,632.726,40.079,32.213,45.692,2
19,1029,255,255,255,198.568,717.583,39.647,33.045,46.459,2
20,1035,255,255,255,1506.208,759.426,38.271,34.433,39.727,2
21,1049,255,255,255,209.204,829.974,38.422,34.762,175.665,2
22,1037,255,255,255,1514.767,883.567,38.323,34.453,61.964,2
23,886,255,255,255,217.683,963.503,35.527,31.753,35.394,2
24,1253,255,255,255,1518.415,994.656,42.613,37.438,176.032,2
25,1157,255,255,255,224.902,1088.619,45.512,32.368,61.625,2
26,1062,255,255,255,1528.740,1122.037,38.091,35.499,69.937,2
27,1008,255,255,255,1533.669,1238.402,37.455,34.266,47.824,2
28,1029,255,255,255,1545.478,1372.809,36.649,35.749,77.156,2
29,999,255,255,255,198.993,417.737,40.137,31.691,14.613,3
30,1195,255,255,255,195.323,541.440,41.263,36.874,9.524,3
31,991,255,255,255,1529.030,552.458,39.630,31.839,44.716,3
32,999,255,255,255,199.402,663.689,37.828,33.625,77.649,3
33,1012,255,255,255,1528.709,679.245,37.892,34.005,35.595,3
34,1005,255,255,255,193.949,795.760,38.905,32.891,35.691,3
35,1006,255,255,255,1529.290,803.836,37.735,33.944,60.990,3
36,1050,255,255,255,197.290,908.179,38.606,34.629,167.274,3
37,1231,255,255,255,1525.509,914.930,42.294,37.059,173.735,3
38,1029,255,255,255,1527.483,1042.502,37.888,34.580,71.352,3
39,874,255,255,255,196.903,1041.784,35.099,31.705,31.257,3
40,1023,255,255,255,1524.560,1158.407,37.600,34.642,33.688,3
41,1162,255,255,255,196.204,1166.956,45.717,32.362,56.327,3
42,1031,255,255,255,1527.700,1293.448,37.226,35.263,89.675,3
43,1008,255,255,255,1551.810,481.207,39.894,32.171,39.968,4
44,1003,255,255,255,223.072,491.738,40.244,31.733,8.608,4
45,1012,255,255,255,1543.963,607.243,38.074,33.842,25.722,4
46,1201,255,255,255,212.039,614.787,41.470,36.874,4.102,4
47,1051,255,255,255,1536.786,731.499,38.385,34.862,58.318,4
48,994,255,255,255,208.661,736.953,37.677,33.591,75.770,4
49,1248,255,255,255,1526.299,842.645,42.431,37.449,171.228,4
50,1000,255,255,255,194.745,868.360,38.579,33.003,37.440,4
51,1048,255,255,255,1520.303,970.213,38.462,34.693,64.982,4
52,1049,255,255,255,191.386,980.820,38.649,34.558,169.038,4
53,1001,255,255,255,1510.430,1085.862,36.969,34.475,33.096,4
