 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,38886,255,255,255,326.666,328.421,0,0,0,1
2,39176,255,255,255,541.856,335.988,0,0,0,1
3,35521,255,255,255,1161.990,327.319,0,0,0,1
4,32519,255,255,255,747.562,322.363,0,0,0,1
5,35120,255,255,255,952.120,329.549,0,0,0,1
6,39667,255,255,255,1373.708,338.952,0,0,0,1
7,40356,255,255,255,840.390,516.632,0,0,0,1
8,35285,255,255,255,1064.540,514.573,0,0,0,1
9,34809,255,255,255,618.902,541.691,0,0,0,1
10,37873,255,255,255,334.842,543.308,0,0,0,1
11,37570,255,255,255,1366.600,565.709,0,0,0,1
12,33901,255,255,255,1183.563,681.324,0,0,0,1
13,43312,255,255,255,961.858,718.679,0,0,0,1
14,31821,255,255,255,750.094,707.263,0,0,0,1
15,38907,255,255,255,546.900,748.036,0,0,0,1
16,40061,255,255,255,327.740,760.943,0,0,0,1
17,38838,255,255,255,1367.042,787.934,0,0,0,1
18,37496,255,255,255,1115.301,883.451,0,0,0,1
19,35798,255,255,255,785.616,917.961,0,0,0,1
20,44553,255,255,255,567.805,979.704,0,0,0,1
21,44002,255,255,255,331.548,992.710,0,0,0,1
22,32719,255,255,255,1298.324,986.898,0,0,0,1
23,27619,255,255,255,960.057,1016.415,0,0,0,1
24,39292,255,255,255,1093.021,1175.303,0,0,0,1
25,36970,255,255,255,679.784,1176.616,0,0,0,1
26,38544,255,255,255,451.267,1183.016,0,0,0,1
27,37495,255,255,255,1356.225,1179.456,0,0,0,1
28,28148,255,255,255,883.020,1192.811,0,0,0,1
29,37410,255,255,255,323.654,1365.669,0,0,0,1
30,39815,255,255,255,566.284,1368.453,0,0,0,1
31,37075,255,255,255,982.658,1370.023,0,0,0,1
32,32136,255,255,255,1187.145,1371.103,0,0,0,1
33,31136,255,255,255,776.672,1374.668,0,0,0,1
34,31181,255,255,255,1378.520,1379.877,0,0,0,1
35,38570,255,255,255,301.069,331.426,223.166,220.055,61.321,2
36,38738,255,255,255,518.157,346.780,234.848,210.020,74.020,2
37,32362,255,255,255,723.369,353.928,217.100,189.795,88.649,2
38,34872,255,255,255,921.646,370.276,217.379,204.254,101.531,2
39,34881,255,255,255,1125.047,382.629,219.098,202.703,99.700,2
40,38633,255,255,255,1331.933,403.014,229.948,213.914,63.454,2
41,36860,255,255,255,393.176,528.275,230.693,203.437,165.253,2
42,33967,255,255,255,617.559,532.997,214.133,201.969,6.541,2
43,37654,255,255,255,828.771,560.574,223.091,214.902,126.256,2
44,34647,255,255,255,1042.461,573.288,214.457,205.701,160.436,2
45,36689,255,255,255,1336.573,613.660,231.853,201.481,174.644,2
46,36122,255,255,255,532.947,716.660,217.532,211.426,155.142,2
47,38277,255,255,255,320.337,724.468,223.895,217.673,155.833,2
48,33533,255,255,255,1159.473,739.212,213.325,200.143,41.093,2
49,31217,255,255,255,734.735,748.671,206.041,192.907,81.692,2
50,42196,255,255,255,943.821,772.547,240.426,223.460,105.098,2
51,37122,255,255,255,1353.051,819.639,224.662,210.384,8.498,2
52,43544,255,255,255,584.349,930.308,236.599,234.329,164.768,2
53,43716,255,255,255,345.578,946.551,243.453,228.631,33.323,2
54,34460,255,255,255,803.457,943.562,214.903,204.165,96.164,2
55,36833,255,255,255,1168.408,947.555,218.438,214.694,19.752,2
56,25508,255,255,255,981.261,999.791,190.267,170.696,79.019,2
57,32408,255,255,255,1369.187,1017.605,215.077,191.853,179.897,2
58,37604,255,255,255,473.927,1125.386,228.003,209.993,4.607,2
59,36195,255,255,255,697.106,1127.574,217.051,212.323,174.258,2
60,38745,255,255,255,1106.133,1158.020,225.132,219.123,7.328,2
61,27295,255,255,255,895.015,1166.685,190.292,182.630,16.728,2
62,33786,255,255,255,1320.695,1204.641,217.615,197.678,175.959,2
63,36665,255,255,255,356.236,1300.529,222.960,209.380,137.682,2
64,39364,255,255,255,579.915,1313.437,227.706,220.107,22.996,2
65,30873,255,255,255,786.474,1331.721,208.938,188.136,91.858,2
66,36559,255,255,255,989.777,1343.194,219.141,212.413,114.807,2
67,31936,255,255,255,1193.701,1361.372,214.384,189.670,115.715,2
68,30885,255,255,255,1396.251,1384.367,206.404,190.519,178.484,2
69,39627,255,255,255,539.862,336.861,239.365,210.786,77.774,3
70,38905,255,255,255,321.234,332.466,225.275,219.889,71.313,3
71,35642,255,255,255,1163.141,331.394,219.769,206.494,97.197,3
72,32937,255,255,255,747.998,335.348,218.869,191.606,85.129,3
73,35798,255,255,255,952.637,332.004,220.116,207.070,96.866,3
74,38855,255,255,255,1375.385,358.054,230.155,214.950,71.287,3
75,42288,255,255,255,853.143,537.568,247.148,217.856,95.508,3
76,35256,255,255,255,1070.817,523.472,215.419,208.381,160.532,3
77,34973,255,255,255,634.612,531.453,216.115,206.043,19.967,3
78,37366,255,255,255,409.640,535.932,229.103,207.662,162.154,3
79,37784,255,255,255,1365.137,579.846,230.762,208.475,175.136,3
80,34291,255,255,255,1177.567,700.615,215.453,202.646,35.720,3
81,37779,255,255,255,543.638,724.751,221.067,217.589,161.697,3
82,39255,255,255,255,321.174,734.002,226.881,220.296,167.126,3
83,32047,255,255,255,754.482,740.576,209.298,194.955,83.821,3
84,43783,255,255,255,965.517,774.986,243.559,228.882,90.792,3
85,38396,255,255,255,1368.001,796.845,227.009,215.354,14.076,3
86,37830,255,255,255,1170.116,914.521,223.614,215.401,19.112,3
87,44526,255,255,255,564.206,954.070,239.944,236.273,74.808,3
88,35528,255,255,255,789.289,951.587,217.135,208.329,88.784,3
89,44256,255,255,255,326.681,964.372,243.279,231.620,40.773,3
90,26139,255,255,255,979.460,991.095,189.100,175.998,63.817,3
91,33526,255,255,255,1370.244,1004.741,216.901,196.803,175.391,3
92,37095,255,255,255,655.461,1163.067,220.380,214.315,26.188,3
93,39089,255,255,255,428.558,1168.512,228.862,217.466,13.267,3
94,39282,255,255,255,1073.278,1169.830,226.793,220.533,24.712,3
95,30710,255,255,255,861.530,1177.432,205.913,189.892,72.879,3
96,34149,255,255,255,1292.723,1193.708,212.888,204.238,0.507,3
97,40054,255,255,255,543.261,1358.928,229.655,222.065,38.404,3
98,37578,255,255,255,317.421,1359.679,224.337,213.277,133.731,3
99,37480,255,255,255,961.812,1363.740,222.740,214.246,110.073,3
100,32590,255,255,255,1170.946,1368.248,216.018,192.090,111.554,3
101,31251,255,255,255,754.329,1368.712,209.443,189.980,94.085,3
102,31285,255,255,255,1373.996,1378.078,207.048,192.387,8.284,3
103,36664,255,255,255,983.617,294.228,225.969,206.586,84.815,4
104,35089,255,255,255,1194.911,297.951,214.166,208.608,87.324,4
105,32982,255,255,255,780.229,304.154,219.173,191.602,86.858,4
106,39366,255,255,255,573.790,327.544,237.942,210.649,79.881,4
107,38619,255,255,255,357.110,333.976,228.317,215.364,85.295,4
108,39146,255,255,255,1405.536,342.485,229.410,217.263,77.012,4
109,35401,255,255,255,1090.301,484.815,215.701,208.965,168.654,4
110,42806,255,255,255,871.875,515.236,250.140,217.887,91.811,4
111,35645,255,255,255,652.274,533.598,216.330,209.794,27.771,4
112,37372,255,255,255,426.310,545.085,229.261,207.551,162.456,4
113,37511,255,255,255,1383.376,564.453,228.488,209.029,172.399,4
114,34584,255,255,255,1187.596,669.005,215.498,204.335,32.493,4
115,32463,255,255,255,769.497,719.702,211.806,195.146,89.030,4
116,38673,255,255,255,557.048,729.849,222.601,221.203,111.735,4
117,40136,255,255,255,333.143,743.545,229.301,222.863,147.668,4
118,44231,255,255,255,980.456,762.201,244.001,230.805,86.720,4
119,38439,255,255,255,1371.094,782.197,226.195,216.371,9.341,4
120,37840,255,255,255,1168.988,892.745,223.767,215.311,25.147,4
121,35601,255,255,255,787.294,935.384,217.144,208.749,96.531,4
122,45082,255,255,255,562.111,965.036,243.556,235.676,73.612,4
123,44381,255,255,255,323.819,977.429,242.048,233.456,47.505,4
124,26278,255,255,255,980.109,979.216,189.363,176.689,52.239,4
125,33600,255,255,255,1362.230,991.991,215.501,198.518,175.977,4
126,38153,255,255,255,1248.162,1178.499,231.536,209.807,49.138,4
127,39533,255,255,255,1023.115,1178.955,227.029,221.712,27.980,4
128,37478,255,255,255,604.444,1191.570,222.897,214.083,30.350,4
129,30921,255,255,255,811.949,1201.149,206.924,190.262,78.977,4
130,39259,255,255,255,378.518,1216.488,228.858,218.415,16.572,4
131,32502,255,255,255,1344.093,1363.680,209.103,197.907,44.270,4
132,34882,255,255,255,1136.765,1371.090,219.194,202.621,114.968,4
133,37426,255,255,255,924.041,1381.208,223.025,213.663,106.651,4
134,40859,255,255,255,508.691,1400.324,233.804,222.508,63.863,4
135,31350,255,255,255,718.267,1400.789,210.424,189.693,91.642,4
136,37893,255,255,255,285.668,1417.542,226.280,213.218,123.074,4
137,39356,255,255,255,542.620,334.315,238.621,209.997,79.877,5
138,35967,255,255,255,1162.173,326.462,221.688,206.572,90.230,5
139,38880,255,255,255,326.459,329.944,226.041,219.003,66.685,5
140,36000,255,255,255,951.761,331.159,222.425,206.076,87.082,5
141,39559,255,255,255,1373.358,339.366,235.402,213.967,85.024,5
142,31973,255,255,255,749.085,341.973,210.871,193.053,85.349,5
143,34824,255,255,255,1068.668,515.878,214.562,206.650,165.182,5
144,42484,255,255,255,855.504,543.097,250.650,215.808,95.789,5
145,35218,255,255,255,640.249,527.649,215.056,208.509,31.908,5
146,37248,255,255,255,416.460,531.203,228.989,207.109,165.593,5
147,37818,255,255,255,1361.808,563.087,230.845,208.587,177.523,5
148,33995,255,255,255,1177.179,687.598,215.711,200.656,38.132,5
149,38615,255,255,255,548.662,722.584,223.059,220.417,120.398,5
150,40764,255,255,255,327.280,731.626,231.140,224.549,128.533,5
151,32291,255,255,255,758.133,747.820,210.599,195.225,90.332,5
152,44143,255,255,255,970.654,778.217,243.283,231.026,89.051,5
153,38135,255,255,255,1365.827,780.734,225.494,215.327,14.990,5
154,37734,255,255,255,1167.800,899.870,223.708,214.764,23.392,5
155,44749,255,255,255,568.451,954.243,243.087,234.386,72.112,5
156,44281,255,255,255,332.179,966.246,243.107,231.916,40.290,5
157,35494,255,255,255,792.581,960.098,217.119,208.145,89.589,5
158,33739,255,255,255,1367.333,987.694,217.136,197.838,178.555,5
159,26062,255,255,255,984.282,993.084,188.998,175.574,57.068,5
160,37242,255,255,255,655.435,1163.594,222.289,213.317,27.399,5
161,38873,255,255,255,427.804,1171.744,229.439,215.720,12.350,5
162,39252,255,255,255,1070.227,1174.294,226.271,220.873,28.845,5
163,30751,255,255,255,860.031,1180.197,206.836,189.297,75.548,5
164,37806,255,255,255,1292.111,1188.101,230.187,209.117,44.078,5
165,41002,255,255,255,543.678,1362.991,233.793,223.297,68.989,5
166,37951,255,255,255,321.156,1364.981,227.424,212.469,122.110,5
167,37510,255,255,255,956.584,1368.637,223.726,213.472,103.435,5
168,35014,255,255,255,1168.712,1372.770,219.477,203.125,112.107,5
