 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1075,255,255,255,202.338,419.753,0.000,0.000,0.000,1
2,1292,255,255,255,198.805,543.239,0.000,0.000,0.000,1
3,1089,255,255,255,1518.065,554.053,0.000,0.000,0.000,1
4,1080,255,255,255,202.778,665.515,0.000,0.000,0.000,1
5,1089,255,255,255,1517.729,680.808,0.000,0.000,0.000,1
6,1080,255,255,255,197.058,797.444,0.000,0.000,0.000,1
7,1123,255,255,255,1518.407,805.665,0.000,0.000,0.000,1
8,1125,255,255,255,200.586,910.296,0.000,0.000,0.000,1
9,1349,255,255,255,1514.802,916.808,0.000,0.000,0.000,1
10,1141,255,255,255,1517.043,1044.235,0.000,0.000,0.000,1
11,953,255,255,255,200.307,1043.700,0.000,0.000,0.000,1
12,1097,255,255,255,1514.286,1160.450,0.000,0.000,0.000,1
13,1261,255,255,255,199.774,1168.670,0.000,0.000,0.000,1
14,1086,255,255,255,1517.466,1295.630,0.000,0.000,0.000,1
15,1067,255,255,255,190.831,419.701,41.294,32.899,14.794,2
16,1261,255,255,255,187.290,543.225,42.263,37.990,8.728,2
17,1062,255,255,255,1529.207,554.379,40.634,33.277,46.678,2
18,1060,255,255,255,191.371,665.353,38.706,34.869,78.486,2
19,1077,255,255,255,1529.004,680.966,39.285,34.906,38.266,2
20,1078,255,255,255,185.807,797.622,40.363,34.005,38.932,2
21,1112,255,255,255,1529.671,805.655,39.797,35.577,61.949,2
22,1110,255,255,255,189.029,910.209,39.483,35.795,166.003,2
23,1330,255,255,255,1525.966,916.776,43.910,38.566,171.694,2
24,1118,255,255,255,1528.352,1044.222,39.413,36.117,73.965,2
25,949,255,255,255,189.106,1043.656,36.770,32.862,26.507,2
26,1095,255,255,255,1525.452,1160.455,38.692,36.034,43.873,2
27,1262,255,255,255,188.315,1169.048,47.425,33.881,55.235,2
28,1078,255,255,255,1528.893,1295.648,37.683,36.424,93.603,2
29,1086,255,255,255,202.654,420.872,41.850,33.040,14.140,3
30,1284,255,255,255,198.727,544.349,42.987,38.031,6.822,3
31,1077,255,255,255,1521.435,554.759,41.397,33.125,43.024,3
