 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,953,255,255,255,197.855,419.724,0.000,0.000,0.000,1
2,1164,255,255,255,194.220,543.485,0.000,0.000,0.000,1
3,960,255,255,255,1512.866,554.543,0.000,0.000,0.000,1
4,974,255,255,255,198.313,665.733,0.000,0.000,0.000,1
5,993,255,255,255,1513.019,681.006,0.000,0.000,0.000,1
6,966,255,255,255,192.562,797.646,0.000,0.000,0.000,1
7,1011,255,255,255,1513.493,805.661,0.000,0.000,0.000,1
8,1006,255,255,255,195.950,910.341,0.000,0.000,0.000,1
9,1200,255,255,255,1509.974,916.732,0.000,0.000,0.000,1
10,1029,255,255,255,1512.418,1044.520,0.000,0.000,0.000,1
11,851,255,255,255,195.775,1043.883,0.000,0.000,0.000,1
12,1000,255,255,255,1509.417,1160.372,0.000,0.000,0.000,1
13,1132,255,255,255,195.157,1169.123,0.000,0.000,0.000,1
14,1014,255,255,255,1512.937,1295.308,0.000,0.000,0.000,1
15,965,255,255,255,192.465,402.146,39.882,30.808,13.051,2
16,1152,255,255,255,190.605,526.106,40.989,35.785,8.637,2
17,958,255,255,255,1508.790,574.209,38.752,31.476,42.617,2
18,954,255,255,255,196.596,648.242,36.829,32.981,82.623,2
19,969,255,255,255,1510.842,700.589,37.005,33.341,32.944,2
20,987,255,255,255,193.037,780.225,38.683,32.487,40.462,2
21,1014,255,255,255,1513.439,825.356,38.077,33.907,61.087,2
22,1011,255,255,255,198.166,892.877,38.081,33.803,175.623,2
23,1210,255,255,255,1511.850,936.533,41.777,36.878,177.002,2
24,850,255,255,255,199.942,1026.484,34.937,30.978,31.421,2
25,1022,255,255,255,1515.984,1064.107,37.564,34.640,70.063,2
26,1125,255,255,255,201.331,1151.862,44.745,32.012,55.920,2
27,1001,255,255,255,1515.066,1180.608,37.245,34.219,32.783,2
28,978,255,255,255,1520.428,1315.363,35.716,34.864,71.350,2
29,963,255,255,255,194.307,420.366,39.600,30.963,15.862,3
30,1155,255,255,255,190.389,543.958,40.992,35.875,5.215,3
31,955,255,255,255,1517.690,553.011,38.762,31.369,41.837,3
32,964,255,255,255,194.507,666.071,37.155,33.035,78.304,3
33,991,255,255,255,1517.437,679.745,37.912,33.282,32.872,3
34,971,255,255,255,188.624,798.001,38.788,31.874,40.153,3
35,1019,255,255,255,1518.055,804.256,37.728,34.389,61.172,3
36,1008,255,255,255,191.957,910.652,38.135,33.654,169.899,3
37,1201,255,255,255,1514.522,915.286,41.696,36.674,173.160,3
38,1019,255,255,255,1516.373,1043.079,37.328,34.758,68.071,3
39,857,255,255,255,191.526,1044.138,35.319,30.895,32.145,3
40,988,255,255,255,1513.704,1159.014,36.713,34.265,34.806,3
41,1133,255,255,255,190.727,1169.352,45.068,32.009,55.465,3
42,1005,255,255,255,1516.765,1294.019,36.458,35.099,86.317,3
43,963,255,255,255,195.707,435.095,39.632,30.938,14.271,4
44,976,255,255,255,1522.167,534.783,39.305,31.616,45.184,4
45,1163,255,255,255,190.438,558.660,40.775,36.316,11.331,4
46,982,255,255,255,1520.501,661.441,37.511,33.332,24.519,4
47,970,255,255,255,192.613,681.159,37.027,33.355,69.054,4
48,1015,255,255,255,1519.221,785.726,37.824,34.167,55.586,4
49,967,255,255,255,185.011,812.689,38.152,32.272,39.440,4
50,1215,255,255,255,1514.213,896.748,41.884,36.935,172.156,4
51,1006,255,255,255,186.917,925.393,37.859,33.833,174.111,4
52,1038,255,255,255,1514.301,1024.457,37.845,34.922,70.239,4
53,861,255,255,255,184.816,1058.936,35.276,31.077,30.829,4
54,988,255,255,255,1509.657,1140.467,36.897,34.094,38.849,4
55,1137,255,255,255,182.367,1184.163,45.109,32.093,54.341,4
56,998,255,255,255,1511.120,1275.212,36.230,35.073,76.537,4
57,934,255,255,255,197.815,422.964,39.078,30.431,11.914,5
58,1122,255,255,255,193.980,546.556,40.404,35.357,7.097,5
59,931,255,255,255,1520.533,553.078,38.814,30.540,42.006,5
60,926,255,255,255,197.731,668.734,36.338,32.446,75.301,5
