 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1047,255,255,255,206.144,418.921,0.000,0.000,0.000,1
2,1259,255,255,255,202.602,542.500,0.000,0.000,0.000,1
3,1064,255,255,255,1519.724,554.294,0.000,0.000,0.000,1
4,1049,255,255,255,206.744,664.674,0.000,0.000,0.000,1
5,1068,255,255,255,1519.831,680.648,0.000,0.000,0.000,1
6,1040,255,255,255,201.115,796.665,0.000,0.000,0.000,1
7,1087,255,255,255,1520.636,805.462,0.000,0.000,0.000,1
8,1088,255,255,255,204.708,909.295,0.000,0.000,0.000,1
9,1305,255,255,255,1517.013,916.439,0.000,0.000,0.000,1
10,1118,255,255,255,1519.326,1044.187,0.000,0.000,0.000,1
11,928,255,255,255,204.389,1042.806,0.000,0.000,0.000,1
12,1086,255,255,255,1516.550,1160.238,0.000,0.000,0.000,1
13,1228,255,255,255,203.834,1168.034,0.000,0.000,0.000,1
14,1091,255,255,255,1520.025,1295.519,0.000,0.000,0.000,1
15,1059,255,255,255,200.731,401.810,41.124,32.787,14.711,2
16,1275,255,255,255,199.581,525.339,42.911,37.831,7.967,2
17,1082,255,255,255,1515.957,573.922,40.928,33.660,44.670,2
18,1045,255,255,255,205.246,647.435,38.786,34.304,76.326,2
19,1073,255,255,255,1517.882,700.345,39.215,34.839,31.460,2
20,1066,255,255,255,201.724,779.750,40.139,33.815,40.492,2
21,1089,255,255,255,1520.683,824.880,39.169,35.399,62.399,2
22,1105,255,255,255,206.997,892.020,39.792,35.357,176.027,2
23,1316,255,255,255,1518.843,936.425,43.501,38.518,174.153,2
24,941,255,255,255,208.738,1025.715,36.908,32.463,31.371,2
25,1126,255,255,255,1523.115,1063.866,39.592,36.211,67.735,2
26,1244,255,255,255,210.106,1150.908,47.378,33.431,57.068,2
27,1085,255,255,255,1522.162,1180.225,38.509,35.873,30.062,2
28,1096,255,255,255,1527.612,1315.116,37.757,36.960,72.342,2
29,1058,255,255,255,201.483,419.486,41.592,32.388,12.572,3
30,1245,255,255,255,197.943,543.063,42.246,37.522,5.038,3
31,1070,255,255,255,1524.266,552.792,40.905,33.306,43.628,3
32,1062,255,255,255,201.700,665.456,38.422,35.193,78.156,3
33,1067,255,255,255,1523.991,679.574,39.230,34.630,37.232,3
34,1051,255,255,255,195.823,797.345,40.049,33.414,40.630,3
35,1099,255,255,255,1524.666,803.962,39.309,35.597,55.625,3
36,1114,255,255,255,199.072,909.865,39.569,35.846,169.060,3
37,1306,255,255,255,1521.274,915.106,43.194,38.498,171.871,3
38,1109,255,255,255,1523.236,1042.494,39.204,36.017,67.580,3
39,946,255,255,255,199.011,1043.299,36.642,32.871,30.602,3
40,1077,255,255,255,1520.266,1158.794,38.365,35.743,33.042,3
41,1236,255,255,255,198.303,1168.586,47.037,33.457,54.041,3
42,1099,255,255,255,1523.426,1293.555,37.869,36.951,91.656,3
43,1057,255,255,255,204.802,435.252,41.201,32.665,13.751,4
44,1078,255,255,255,1530.740,533.984,40.944,33.522,41.595,4
45,1280,255,255,255,199.445,558.741,42.866,38.020,8.300,4
46,1067,255,255,255,1528.613,660.731,38.939,34.890,31.942,4
47,1055,255,255,255,201.689,681.208,38.355,35.022,76.240,4
48,1096,255,255,255,1527.337,785.386,39.623,35.218,56.888,4
49,1055,255,255,255,194.139,812.726,39.943,33.630,38.022,4
50,1294,255,255,255,1522.319,896.291,42.988,38.326,174.101,4
51,1085,255,255,255,195.913,925.409,39.295,35.156,171.806,4
52,1117,255,255,255,1522.467,1023.838,39.101,36.373,68.920,4
53,937,255,255,255,193.588,1059.049,36.565,32.628,33.320,4
54,1089,255,255,255,1518.012,1139.854,38.681,35.846,33.238,4
55,1231,255,255,255,191.265,1184.241,46.943,33.389,54.801,4
56,1090,255,255,255,1519.268,1274.888,37.705,36.808,81.012,4
57,1060,255,255,255,204.715,420.324,41.480,32.537,12.900,5
58,1264,255,255,255,201.272,543.948,42.607,37.773,5.721,5
59,1059,255,255,255,1526.051,554.108,40.794,33.053,43.679,5
60,1055,255,255,255,205.084,666.339,38.567,34.830,73.278,5
61,1071,255,255,255,1525.778,680.967,39.162,34.820,34.334,5
62,1059,255,255,255,199.378,798.182,40.352,33.415,38.672,5
63,1080,255,255,255,1526.644,805.381,39.092,35.176,55.885,5
64,1111,255,255,255,203.033,910.730,39.918,35.437,171.704,5
65,1297,255,255,255,1523.128,916.438,42.965,38.436,174.708,5
66,1126,255,255,255,1525.161,1043.828,39.496,36.299,66.725,5
67,936,255,255,255,202.644,1044.471,36.710,32.464,32.232,5
68,1095,255,255,255,1522.200,1159.998,38.862,35.876,37.542,5
69,1238,255,255,255,202.023,1169.395,46.848,33.647,56.009,5
70,1108,255,255,255,1525.642,1294.845,38.184,36.946,88.275,5
71,1043,255,255,255,194.917,384.044,41.426,32.057,12.471,6
72,1251,255,255,255,195.004,507.839,42.357,37.605,8.854,6
73,1048,255,255,255,1510.936,592.735,40.533,32.920,47.647,6
74,1045,255,255,255,202.792,629.724,38.412,34.639,77.573,6
75,1053,255,255,255,1514.821,719.198,39.028,34.353,34.072,6
76,1058,255,255,255,201.062,761.900,40.439,33.311,41.485,6
77,1080,255,255,255,1519.298,844.052,38.843,35.402,60.218,6
78,1097,255,255,255,208.004,874.532,39.637,35.238,172.142,6
79,1293,255,255,255,1519.363,955.140,43.035,38.255,176.265,6
80,944,255,255,255,211.743,1007.872,36.775,32.683,31.852,6
81,1112,255,255,255,1525.337,1082.628,39.110,36.202,61.869,6
82,1222,255,255,255,214.970,1133.315,46.457,33.491,58.040,6
83,1085,255,255,255,1526.048,1198.666,38.768,35.634,35.163,6
84,1083,255,255,255,1533.741,1333.770,37.525,36.747,97.401,6
85,1050,255,255,255,200.870,418.839,41.260,32.402,13.281,7
86,1261,255,255,255,197.571,542.375,43.039,37.305,8.369,7
87,1069,255,255,255,1527.140,552.766,41.288,32.966,45.387,7
88,1049,255,255,255,201.320,664.488,38.198,34.966,78.150,7
89,1056,255,255,255,1526.920,679.090,38.925,34.542,30.251,7
90,1044,255,255,255,195.573,796.475,40.122,33.130,39.362,7
91,1088,255,255,255,1527.474,803.972,39.158,35.377,61.057,7
92,1101,255,255,255,199.125,909.209,39.871,35.159,176.419,7
93,1299,255,255,255,1524.087,915.118,43.427,38.086,174.264,7
94,1115,255,255,255,1526.076,1042.429,39.247,36.172,72.156,7
95,933,255,255,255,198.510,1042.782,36.402,32.634,24.918,7
96,1075,255,255,255,1523.221,1158.827,38.740,35.332,29.704,7
97,1218,255,255,255,198.056,1167.845,46.656,33.239,54.783,7
98,1079,255,255,255,1526.442,1293.879,37.730,36.412,87.934,7
99,1046,255,255,255,211.960,455.954,41.076,32.423,11.577,8
100,1060,255,255,255,1541.533,515.532,40.599,33.243,42.876,8
101,1257,255,255,255,204.813,579.218,42.987,37.231,4.711,8
102,1047,255,255,255,1537.470,641.881,39.070,34.120,34.660,8
103,1058,255,255,255,205.116,701.327,38.625,34.876,70.202,8
104,1087,255,255,255,1533.989,766.485,39.191,35.314,47.101,8
105,1050,255,255,255,195.240,833.309,39.891,33.514,37.993,8
106,1290,255,255,255,1526.875,877.261,43.070,38.135,175.270,8
107,1108,255,255,255,195.103,945.816,39.720,35.517,172.617,8
108,1119,255,255,255,1524.912,1004.993,39.622,35.959,67.489,8
109,942,255,255,255,190.759,1079.297,36.645,32.730,25.961,8
110,1083,255,255,255,1518.456,1121.039,38.401,35.908,32.685,8
111,1246,255,255,255,186.405,1204.386,47.032,33.731,52.912,8
