 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,933,255,255,255,1303.722,180.639,0.000,0.000,0.000,1
2,828,255,255,255,1027.874,181.622,0.000,0.000,0.000,1
3,861,255,255,255,873.830,183.390,0.000,0.000,0.000,1
4,742,255,255,255,732.973,183.491,0.000,0.000,0.000,1
5,789,255,255,255,1164.482,184.756,0.000,0.000,0.000,1
6,797,255,255,255,448.024,186.868,0.000,0.000,0.000,1
7,779,255,255,255,583.196,185.767,0.000,0.000,0.000,1
8,983,255,255,255,498.938,1517.569,0.000,0.000,0.000,1
9,899,255,255,255,641.106,1517.522,0.000,0.000,0.000,1
10,905,255,255,255,759.441,1520.348,0.000,0.000,0.000,1
11,851,255,255,255,1034.518,1519.088,0.000,0.000,0.000,1
12,872,255,255,255,892.808,1522.058,0.000,0.000,0.000,1
13,925,255,255,255,1153.639,1523.824,0.000,0.000,0.000,1
14,945,255,255,255,1289.391,1523.627,0.000,0.000,0.000,1
15,808,255,255,255,431.597,190.780,33.766,30.468,124.127,2
16,808,255,255,255,566.845,192.001,32.370,31.782,10.692,2
17,767,255,255,255,716.413,192.168,32.663,29.899,117.315,2
18,869,255,255,255,857.338,194.171,33.769,32.765,167.351,2
19,824,255,255,255,1011.152,194.894,33.155,31.643,88.778,2
20,936,255,255,255,1287.194,197.728,35.633,33.445,80.437,2
21,789,255,255,255,1147.764,199.823,32.436,30.971,41.419,2
22,981,255,255,255,519.930,1505.145,36.380,34.333,22.242,2
23,927,255,255,255,662.262,1507.456,35.364,33.375,30.133,2
24,916,255,255,255,780.843,1512.056,34.580,33.727,59.620,2
25,871,255,255,255,913.846,1515.536,35.602,31.149,103.745,2
26,863,255,255,255,1055.596,1514.995,33.818,32.491,37.469,2
27,922,255,255,255,1174.828,1521.611,35.121,33.425,146.800,2
28,963,255,255,255,1310.548,1523.385,36.106,33.959,158.440,2
29,962,255,255,255,1303.710,183.027,36.707,33.368,85.561,3
30,827,255,255,255,1027.635,184.644,33.622,31.318,85.181,3
31,760,255,255,255,732.937,186.943,32.168,30.081,114.717,3
32,858,255,255,255,873.859,186.723,33.579,32.534,13.239,3
33,800,255,255,255,1164.341,187.472,32.744,31.108,39.919,3
34,814,255,255,255,448.075,190.265,33.857,30.611,119.805,3
35,801,255,255,255,583.129,189.179,31.998,31.872,2.457,3
36,968,255,255,255,496.807,1514.260,36.143,34.100,21.498,3
37,922,255,255,255,639.015,1514.194,35.218,33.333,39.281,3
