 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,961,255,255,255,1315.435,192.087,0.000,0.000,0.000,1
2,841,255,255,255,1039.647,193.534,0.000,0.000,0.000,1
3,896,255,255,255,885.921,195.681,0.000,0.000,0.000,1
4,827,255,255,255,1176.433,196.304,0.000,0.000,0.000,1
5,767,255,255,255,744.780,195.900,0.000,0.000,0.000,1
6,824,255,255,255,460.320,199.323,0.000,0.000,0.000,1
7,824,255,255,255,595.336,198.248,0.000,0.000,0.000,1
8,995,255,255,255,507.269,1526.302,0.000,0.000,0.000,1
9,939,255,255,255,649.436,1526.187,0.000,0.000,0.000,1
10,877,255,255,255,1042.848,1527.042,0.000,0.000,0.000,1
11,932,255,255,255,768.036,1528.697,0.000,0.000,0.000,1
12,897,255,255,255,901.139,1530.167,0.000,0.000,0.000,1
13,946,255,255,255,1162.141,1531.817,0.000,0.000,0.000,1
14,972,255,255,255,1298.038,1531.371,0.000,0.000,0.000,1
15,844,255,255,255,402.143,205.187,34.742,30.931,115.211,2
16,836,255,255,255,537.222,210.797,33.094,32.163,173.018,2
17,771,255,255,255,686.929,215.608,32.962,29.782,110.652,2
18,900,255,255,255,827.481,222.427,33.974,33.729,176.268,2
19,861,255,255,255,981.298,228.020,33.923,32.316,73.627,2
20,837,255,255,255,1117.709,237.463,33.254,32.047,19.023,2
21,970,255,255,255,1256.970,240.271,36.955,33.420,79.939,2
22,995,255,255,255,567.953,1482.576,36.417,34.788,23.466,2
23,943,255,255,255,710.218,1489.611,35.504,33.818,29.347,2
24,928,255,255,255,828.228,1498.018,34.632,34.118,48.026,2
25,873,255,255,255,961.318,1505.988,35.276,31.510,105.837,2
26,873,255,255,255,1102.644,1510.075,34.187,32.513,18.653,2
27,945,255,255,255,1221.765,1520.746,35.788,33.621,149.823,2
28,961,255,255,255,1357.524,1526.811,36.162,33.836,150.019,2
29,1002,255,255,255,1306.518,192.692,37.563,33.964,85.014,3
30,854,255,255,255,1030.602,193.612,34.188,31.805,90.240,3
31,912,255,255,255,876.931,195.543,34.195,33.958,100.017,3
32,781,255,255,255,735.969,195.656,32.827,30.292,113.191,3
33,845,255,255,255,1167.122,196.578,33.527,32.091,36.558,3
34,846,255,255,255,451.041,198.262,34.810,30.944,118.612,3
35,846,255,255,255,586.294,197.499,33.279,32.367,147.809,3
36,997,255,255,255,504.321,1517.774,36.520,34.760,30.733,3
37,951,255,255,255,646.869,1518.115,35.710,33.908,38.358,3
38,949,255,255,255,765.081,1520.732,35.300,34.230,61.843,3
39,872,255,255,255,1039.630,1519.714,33.994,32.661,33.980,3
40,895,255,255,255,898.313,1522.537,36.143,31.529,104.495,3
41,956,255,255,255,1159.141,1524.753,35.759,34.039,150.060,3
42,972,255,255,255,1294.979,1524.251,36.309,34.085,154.581,3
43,983,255,255,255,1365.214,146.851,37.345,33.514,82.692,4
44,834,255,255,255,1226.265,157.954,33.166,32.018,34.801,4
