 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1007,255,255,255,1326.379,192.785,0.000,0.000,0.000,1
2,871,255,255,255,1050.265,193.657,0.000,0.000,0.000,1
3,925,255,255,255,896.598,195.300,0.000,0.000,0.000,1
4,797,255,255,255,755.312,195.356,0.000,0.000,0.000,1
5,861,255,255,255,1186.923,196.702,0.000,0.000,0.000,1
6,852,255,255,255,470.642,198.442,0.000,0.000,0.000,1
7,865,255,255,255,605.888,197.513,0.000,0.000,0.000,1
8,996,255,255,255,522.434,1528.571,0.000,0.000,0.000,1
9,945,255,255,255,664.793,1528.696,0.000,0.000,0.000,1
10,885,255,255,255,1057.914,1530.386,0.000,0.000,0.000,1
11,953,255,255,255,783.134,1531.548,0.000,0.000,0.000,1
12,912,255,255,255,916.272,1533.203,0.000,0.000,0.000,1
13,985,255,255,255,1313.099,1534.990,0.000,0.000,0.000,1
14,955,255,255,255,1177.129,1535.360,0.000,0.000,0.000,1
15,864,255,255,255,456.992,202.712,35.133,31.312,119.405,2
16,859,255,255,255,592.127,203.607,33.123,33.019,104.243,2
17,808,255,255,255,741.900,203.650,33.658,30.566,119.849,2
18,891,255,255,255,1036.543,205.957,34.728,32.667,90.093,2
19,929,255,255,255,882.870,205.666,34.476,34.309,172.278,2
20,1003,255,255,255,1312.453,208.974,37.711,33.864,81.164,2
21,850,255,255,255,1173.066,211.081,33.129,32.668,27.132,2
22,1004,255,255,255,543.900,1517.582,36.484,35.038,27.204,2
23,930,255,255,255,686.153,1519.798,35.403,33.446,42.462,2
24,949,255,255,255,804.488,1524.273,35.307,34.223,65.718,2
25,879,255,255,255,1079.152,1527.016,34.288,32.640,24.564,2
26,905,255,255,255,937.704,1527.978,36.058,31.956,107.621,2
27,941,255,255,255,1198.489,1533.617,35.805,33.462,152.737,2
28,970,255,255,255,1334.215,1535.266,36.195,34.122,153.375,2
29,1006,255,255,255,1322.553,195.352,37.615,34.052,83.481,3
30,868,255,255,255,1046.537,196.165,34.334,32.188,87.271,3
31,913,255,255,255,892.936,197.916,34.260,33.931,137.158,3
32,784,255,255,255,752.000,197.814,32.760,30.471,117.784,3
33,844,255,255,255,1183.274,199.258,33.077,32.488,46.416,3
34,855,255,255,255,467.119,200.882,34.516,31.540,119.567,3
35,854,255,255,255,602.281,199.953,33.319,32.635,160.251,3
36,992,255,255,255,521.123,1522.707,36.444,34.658,23.479,3
37,932,255,255,255,663.595,1522.905,35.495,33.432,34.605,3
38,940,255,255,255,782.000,1525.783,34.983,34.212,48.512,3
39,875,255,255,255,1056.550,1524.697,33.915,32.849,42.485,3
40,904,255,255,255,915.025,1527.364,36.177,31.816,104.329,3
41,928,255,255,255,1176.121,1529.648,35.422,33.356,149.432,3
42,968,255,255,255,1311.781,1529.372,36.149,34.095,149.709,3
43,998,255,255,255,1342.198,180.247,37.333,34.036,83.211,4
44,878,255,255,255,1066.175,185.808,34.291,32.600,89.140,4
45,847,255,255,255,1202.890,186.407,33.147,32.534,23.265,4
46,910,255,255,255,912.792,189.987,34.263,33.816,24.043,4
47,799,255,255,255,771.666,192.115,33.067,30.765,118.321,4
48,856,255,255,255,622.173,196.757,33.312,32.718,174.413,4
49,862,255,255,255,487.137,199.642,35.122,31.249,115.001,4
50,880,255,255,255,1037.734,1529.875,34.285,32.680,36.954,4
51,969,255,255,255,1292.910,1530.629,36.120,34.157,152.512,4
52,959,255,255,255,1157.207,1532.953,35.777,34.129,148.016,4
53,951,255,255,255,644.742,1534.703,35.949,33.682,41.484,4
54,915,255,255,255,896.330,1535.049,36.564,31.862,103.521,4
55,947,255,255,255,762.978,1535.444,35.251,34.205,69.179,4
56,1017,255,255,255,502.333,1536.670,36.791,35.196,29.323,4
57,1003,255,255,255,1329.588,195.952,37.638,33.930,83.621,5
58,875,255,255,255,1053.773,197.431,34.326,32.456,79.396,5
59,793,255,255,255,759.023,199.534,33.331,30.293,109.871,5
60,921,255,255,255,900.054,199.513,34.286,34.202,148.936,5
61,847,255,255,255,1190.172,200.206,33.025,32.655,7.595,5
62,863,255,255,255,474.125,203.060,35.150,31.260,115.578,5
63,854,255,255,255,609.356,201.833,33.376,32.579,162.691,5
64,1012,255,255,255,523.090,1529.101,36.535,35.268,35.495,5
65,944,255,255,255,665.431,1529.153,35.711,33.657,42.772,5
66,883,255,255,255,1058.580,1530.369,34.186,32.887,39.227,5
67,946,255,255,255,783.862,1531.675,35.355,34.069,56.985,5
68,904,255,255,255,917.010,1533.298,36.432,31.593,104.869,5
69,947,255,255,255,1177.793,1535.086,35.642,33.829,148.261,5
70,974,255,255,255,1313.622,1534.676,36.257,34.204,157.260,5
71,868,255,255,255,438.321,206.351,34.859,31.704,122.037,6
72,871,255,255,255,573.601,209.532,33.598,33.008,158.538,6
73,821,255,255,255,723.338,212.037,33.776,30.949,115.088,6
74,918,255,255,255,864.150,216.175,34.296,34.081,16.922,6
75,900,255,255,255,1017.874,219.248,34.767,32.960,88.271,6
76,1031,255,255,255,1293.750,226.398,38.269,34.302,79.371,6
77,876,255,255,255,1154.469,226.346,33.884,32.917,31.893,6
78,1011,255,255,255,563.112,1503.372,36.792,34.987,27.491,6
79,955,255,255,255,705.192,1507.826,35.661,34.097,42.344,6
80,968,255,255,255,823.611,1514.329,35.550,34.669,56.925,6
81,907,255,255,255,956.734,1520.139,36.688,31.477,101.201,6
82,894,255,255,255,1098.129,1521.568,34.348,33.139,32.714,6
83,948,255,255,255,1217.575,1530.196,35.694,33.816,150.008,6
84,982,255,255,255,1353.238,1533.994,36.633,34.131,155.954,6
85,994,255,255,255,1322.402,195.712,37.271,33.957,80.273,7
86,859,255,255,255,1046.579,197.147,34.145,32.032,83.173,7
87,921,255,255,255,892.925,198.900,34.435,34.054,122.139,7
88,789,255,255,255,751.700,198.788,32.949,30.489,121.765,7
89,850,255,255,255,467.024,201.792,34.864,31.042,115.468,7
90,851,255,255,255,602.209,200.783,33.334,32.505,159.052,7
91,841,255,255,255,1183.219,200.048,33.092,32.358,23.731,7
