 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,42255,255,255,255,544.846,335.749,0,0,0,1
2,38072,255,255,255,325.371,331.894,0,0,0,1
3,30268,255,255,255,753.713,323.650,0,0,0,1
4,36969,255,255,255,953.919,330.869,0,0,0,1
5,38705,255,255,255,1378.658,334.874,0,0,0,1
6,36802,255,255,255,1163.541,350.784,0,0,0,1
7,37042,255,255,255,859.054,527.057,0,0,0,1
8,36083,255,255,255,648.562,533.534,0,0,0,1
9,37121,255,255,255,1282.407,533.228,0,0,0,1
10,37007,255,255,255,1068.130,556.261,0,0,0,1
11,37607,255,255,255,332.268,552.305,0,0,0,1
12,35209,255,255,255,508.099,684.845,0,0,0,1
13,37417,255,255,255,1378.791,724.277,0,0,0,1
14,30023,255,255,255,932.864,718.631,0,0,0,1
15,40687,255,255,255,722.420,749.088,0,0,0,1
16,46327,255,255,255,1147.073,774.654,0,0,0,1
17,32144,255,255,255,320.475,760.451,0,0,0,1
18,36044,255,255,255,549.645,892.726,0,0,0,1
19,30037,255,255,255,956.407,909.914,0,0,0,1
20,40863,255,255,255,1371.160,948.912,0,0,0,1
21,36677,255,255,255,332.221,962.702,0,0,0,1
22,39233,255,255,255,755.711,976.846,0,0,0,1
23,40154,255,255,255,1148.920,1002.680,0,0,0,1
24,36859,255,255,255,531.579,1103.059,0,0,0,1
25,34174,255,255,255,929.589,1110.138,0,0,0,1
26,36142,255,255,255,1309.781,1158.633,0,0,0,1
27,35425,255,255,255,325.211,1168.143,0,0,0,1
28,34770,255,255,255,730.975,1190.093,0,0,0,1
29,28185,255,255,255,1108.317,1203.717,0,0,0,1
30,43259,255,255,255,534.436,1333.401,0,0,0,1
31,42813,255,255,255,953.743,1337.428,0,0,0,1
32,38177,255,255,255,1374.213,1364.495,0,0,0,1
33,32379,255,255,255,320.789,1370.414,0,0,0,1
34,28829,255,255,255,1166.191,1381.730,0,0,0,1
35,29230,255,255,255,746.825,1381.945,0,0,0,1
36,41825,255,255,255,537.324,339.501,238.380,223.396,78.195,2
37,38164,255,255,255,319.157,331.267,227.205,213.868,79.864,2
38,30244,255,255,255,747.011,331.283,208.167,184.985,87.830,2
39,37132,255,255,255,947.454,340.263,228.304,207.084,109.153,2
40,37731,255,255,255,1158.396,353.282,232.528,206.601,81.351,2
41,38516,255,255,255,1372.519,350.052,225.601,217.375,105.127,2
42,36898,255,255,255,852.325,535.606,223.710,210.004,101.343,2
43,35897,255,255,255,643.462,532.599,215.972,211.627,129.196,2
44,36776,255,255,255,1272.278,543.920,224.723,208.366,14.746,2
45,36835,255,255,255,1060.117,558.964,231.270,202.792,98.054,2
46,37409,255,255,255,330.647,550.147,225.448,211.271,17.427,2
47,34925,255,255,255,506.249,684.236,221.689,200.587,127.645,2
48,37315,255,255,255,1378.084,728.266,223.963,212.137,56.413,2
49,29819,255,255,255,931.101,724.589,199.886,189.942,15.097,2
50,40524,255,255,255,720.831,745.948,232.781,221.654,109.776,2
51,46379,255,255,255,1146.034,774.719,258.410,228.519,32.527,2
52,31788,255,255,255,319.545,755.623,210.243,192.510,159.388,2
53,35805,255,255,255,550.631,890.563,221.817,205.522,3.490,2
54,29862,255,255,255,958.760,914.108,197.200,192.806,23.753,2
55,40623,255,255,255,1374.271,951.584,233.903,221.129,144.645,2
56,36323,255,255,255,335.510,954.869,226.310,204.356,6.599,2
57,39232,255,255,255,756.475,973.263,225.396,221.618,81.276,2
58,40098,255,255,255,1152.737,1003.110,229.287,222.666,175.196,2
59,36732,255,255,255,537.506,1100.337,218.039,214.497,100.465,2
60,34208,255,255,255,936.626,1114.339,211.731,205.709,26.964,2
61,36109,255,255,255,1316.563,1161.319,219.683,209.281,3.508,2
62,35098,255,255,255,330.584,1157.607,220.529,202.641,170.293,2
63,34166,255,255,255,735.338,1185.317,217.692,199.831,173.835,2
64,28068,255,255,255,1115.873,1204.098,189.947,188.143,158.378,2
65,43417,255,255,255,545.001,1331.302,242.068,228.366,93.934,2
66,43201,255,255,255,965.725,1344.333,252.131,218.161,112.813,2
67,38066,255,255,255,1384.361,1365.691,221.790,218.528,19.268,2
68,32366,255,255,255,329.577,1357.245,208.843,197.323,164.124,2
69,28545,255,255,255,1177.159,1379.627,203.055,178.989,39.291,2
70,28999,255,255,255,757.187,1374.214,200.013,184.602,2.528,2
71,42355,255,255,255,542.792,338.647,240.526,224.209,78.219,3
72,37980,255,255,255,322.187,334.926,226.938,213.087,91.477,3
