 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,988,255,255,255,1303.626,175.754,0.000,0.000,0.000,1
2,868,255,255,255,1027.778,176.752,0.000,0.000,0.000,1
3,911,255,255,255,874.046,178.136,0.000,0.000,0.000,1
4,772,255,255,255,733.049,177.984,0.000,0.000,0.000,1
5,833,255,255,255,448.291,181.085,0.000,0.000,0.000,1
6,844,255,255,255,1164.448,179.615,0.000,0.000,0.000,1
7,850,255,255,255,583.509,180.116,0.000,0.000,0.000,1
8,998,255,255,255,501.514,1498.879,0.000,0.000,0.000,1
9,931,255,255,255,643.651,1499.128,0.000,0.000,0.000,1
10,942,255,255,255,762.158,1501.999,0.000,0.000,0.000,1
11,879,255,255,255,1037.040,1500.844,0.000,0.000,0.000,1
12,898,255,255,255,895.393,1503.762,0.000,0.000,0.000,1
13,953,255,255,255,1156.210,1505.855,0.000,0.000,0.000,1
14,965,255,255,255,1292.056,1505.612,0.000,0.000,0.000,1
15,848,255,255,255,432.507,184.072,34.754,31.067,112.370,2
16,847,255,255,255,567.851,185.119,33.011,32.669,161.233,2
17,791,255,255,255,717.519,185.487,33.130,30.399,116.489,2
18,881,255,255,255,1012.268,188.115,34.558,32.460,82.742,2
19,916,255,255,255,858.341,187.463,34.267,34.036,148.096,2
20,993,255,255,255,1288.179,191.223,37.156,34.028,83.372,2
21,836,255,255,255,1148.761,193.156,32.841,32.411,51.161,2
22,1004,255,255,255,521.406,1486.674,36.722,34.811,29.612,2
23,929,255,255,255,663.655,1488.977,35.252,33.554,39.621,2
24,947,255,255,255,781.927,1493.587,35.200,34.254,63.519,2
25,905,255,255,255,915.180,1497.348,36.422,31.637,104.927,2
26,870,255,255,255,1056.717,1496.637,33.687,32.882,42.373,2
27,939,255,255,255,1176.101,1503.341,35.721,33.470,142.685,2
28,974,255,255,255,1311.848,1505.177,36.321,34.144,147.114,2
29,975,255,255,255,1304.151,178.104,37.068,33.490,81.247,3
30,837,255,255,255,1028.353,179.328,33.847,31.485,87.085,3
31,890,255,255,255,874.672,180.857,33.876,33.451,133.068,3
32,771,255,255,255,733.770,181.171,32.987,29.759,117.246,3
33,824,255,255,255,1164.888,182.041,32.669,32.114,53.964,3
34,832,255,255,255,448.657,184.416,34.207,30.968,119.195,3
35,821,255,255,255,584.035,183.420,32.558,32.107,159.408,3
36,1005,255,255,255,500.071,1495.859,36.490,35.067,34.696,3
37,935,255,255,255,642.439,1495.882,35.424,33.606,36.956,3
38,946,255,255,255,760.747,1498.605,35.140,34.276,65.647,3
39,879,255,255,255,1035.144,1497.487,34.138,32.784,34.721,3
40,884,255,255,255,893.931,1500.334,36.083,31.193,104.503,3
41,946,255,255,255,1154.755,1502.166,35.680,33.758,143.597,3
42,969,255,255,255,1290.617,1502.142,35.956,34.313,149.386,3
43,976,255,255,255,1319.496,162.611,37.003,33.583,83.632,4
44,863,255,255,255,1043.755,168.279,33.919,32.395,87.234,4
45,831,255,255,255,1180.375,168.951,33.089,31.976,36.274,4
46,899,255,255,255,889.994,172.369,34.078,33.589,18.303,4
47,777,255,255,255,749.077,174.715,32.921,30.051,114.938,4
48,824,255,255,255,599.567,179.066,32.648,32.135,31.094,4
49,832,255,255,255,464.309,181.992,34.219,30.958,113.888,4
50,865,255,255,255,1014.892,1500.442,33.974,32.418,34.315,4
51,970,255,255,255,1270.089,1501.066,36.028,34.280,157.899,4
52,934,255,255,255,1134.237,1503.332,35.341,33.650,146.780,4
53,938,255,255,255,621.937,1504.864,35.555,33.590,37.950,4
54,939,255,255,255,740.179,1505.686,35.057,34.103,63.769,4
55,900,255,255,255,873.443,1505.480,36.025,31.808,105.549,4
56,1004,255,255,255,479.476,1507.142,36.495,35.028,21.739,4
57,1010,255,255,255,1307.357,178.557,37.682,34.127,79.087,5
58,874,255,255,255,1031.310,180.103,34.376,32.371,81.617,5
59,927,255,255,255,877.631,181.947,34.611,34.102,117.287,5
60,800,255,255,255,736.651,182.042,33.243,30.640,111.252,5
61,865,255,255,255,1168.238,182.802,33.699,32.682,61.120,5
62,859,255,255,255,451.892,185.195,34.743,31.480,115.036,5
63,866,255,255,255,587.255,184.339,33.209,33.203,151.228,5
64,1017,255,255,255,501.265,1499.252,36.808,35.180,30.457,5
65,947,255,255,255,643.614,1499.277,35.666,33.807,43.609,5
66,879,255,255,255,1036.640,1500.646,34.048,32.870,40.796,5
67,958,255,255,255,761.991,1502.175,35.527,34.334,62.453,5
68,913,255,255,255,895.194,1503.570,36.465,31.879,105.126,5
69,984,255,255,255,1291.751,1505.045,36.243,34.569,149.498,5
70,961,255,255,255,1156.005,1505.337,36.148,33.849,150.077,5
71,849,255,255,255,414.824,187.767,34.835,31.031,120.152,6
72,844,255,255,255,549.917,191.153,32.924,32.639,15.921,6
73,781,255,255,255,699.686,193.652,32.669,30.438,105.093,6
74,893,255,255,255,840.300,197.815,33.797,33.642,32.596,6
75,874,255,255,255,994.327,201.141,34.359,32.388,85.678,6
76,991,255,255,255,1269.893,208.671,36.771,34.314,74.185,6
77,845,255,255,255,1130.635,208.222,33.133,32.472,41.178,6
78,1000,255,255,255,540.855,1472.425,36.420,34.960,22.149,6
79,933,255,255,255,683.223,1477.033,35.181,33.767,34.314,6
80,945,255,255,255,801.308,1483.569,35.065,34.314,72.637,6
81,893,255,255,255,934.501,1489.475,36.097,31.498,103.584,6
82,872,255,255,255,1075.966,1491.008,34.134,32.526,19.063,6
83,948,255,255,255,1195.210,1499.580,35.785,33.730,146.046,6
84,963,255,255,255,1330.870,1503.539,36.061,34.002,150.399,6
85,1005,255,255,255,1303.573,178.375,37.321,34.287,78.874,7
86,868,255,255,255,1027.664,179.476,34.427,32.102,82.849,7
87,920,255,255,255,873.875,181.205,34.526,33.927,144.985,7
88,793,255,255,255,732.972,181.325,33.330,30.293,113.011,7
89,856,255,255,255,1164.171,182.498,33.404,32.628,57.325,7
90,856,255,255,255,448.127,184.131,34.572,31.525,116.913,7
91,857,255,255,255,583.390,183.422,33.073,32.993,115.872,7
92,1011,255,255,255,499.552,1494.027,36.516,35.252,27.240,7
93,943,255,255,255,641.976,1494.224,35.493,33.829,31.222,7
94,872,255,255,255,1034.981,1495.812,34.103,32.556,35.666,7
95,947,255,255,255,760.082,1497.117,35.079,34.373,64.972,7
96,913,255,255,255,893.409,1498.695,36.698,31.677,106.519,7
97,948,255,255,255,1154.385,1500.775,35.643,33.864,146.205,7
98,977,255,255,255,1290.224,1500.525,36.436,34.141,151.947,7
99,992,255,255,255,1337.522,148.090,37.139,34.008,88.340,8
100,847,255,255,255,1061.848,157.793,33.924,31.790,88.912,8
101,829,255,255,255,1198.619,156.286,33.221,31.773,47.984,8
102,909,255,255,255,908.140,164.454,34.163,33.878,25.194,8
103,780,255,255,255,767.528,168.903,32.967,30.125,123.539,8
104,835,255,255,255,617.942,175.686,33.011,32.206,88.341,8
105,831,255,255,255,482.778,180.700,33.972,31.145,118.530,8
106,969,255,255,255,1251.145,1501.602,36.228,34.056,148.763,8
107,881,255,255,255,995.976,1504.901,34.424,32.586,33.324,8
108,963,255,255,255,1115.411,1506.079,35.893,34.161,147.141,8
109,905,255,255,255,854.551,1512.325,36.208,31.824,106.402,8
110,952,255,255,255,721.341,1514.668,35.460,34.183,64.029,8
111,951,255,255,255,603.071,1515.677,35.881,33.746,41.891,8
112,1010,255,255,255,460.786,1520.043,36.676,35.063,34.852,8
113,1005,255,255,255,1307.278,178.266,37.425,34.191,84.743,9
114,859,255,255,255,1031.267,179.441,34.246,31.937,87.483,9
115,918,255,255,255,877.612,181.343,34.478,33.901,109.282,9
116,793,255,255,255,736.846,181.438,33.469,30.167,120.658,9
117,853,255,255,255,1168.035,182.458,33.297,32.618,60.866,9
118,841,255,255,255,452.034,184.946,34.659,30.895,122.735,9
119,856,255,255,255,587.249,183.820,33.162,32.865,7.909,9
120,1007,255,255,255,500.885,1498.921,36.534,35.095,33.613,9
121,953,255,255,255,643.347,1498.976,35.780,33.913,29.759,9
122,883,255,255,255,1036.169,1500.129,34.345,32.735,39.410,9
123,939,255,255,255,761.602,1501.614,35.137,34.026,64.300,9
124,902,255,255,255,894.788,1503.061,36.056,31.852,103.555,9
125,954,255,255,255,1155.614,1504.883,35.888,33.847,148.963,9
126,973,255,255,255,1291.579,1504.538,36.160,34.261,152.966,9
127,842,255,255,255,394.287,190.223,34.670,30.922,112.424,10
128,840,255,255,255,529.311,195.785,33.009,32.401,171.791,10
129,789,255,255,255,678.956,200.935,32.725,30.698,120.364,10
130,882,255,255,255,819.810,207.659,33.886,33.140,119.130,10
131,876,255,255,255,973.597,213.545,34.644,32.195,88.183,10
132,984,255,255,255,1249.038,225.612,37.201,33.678,76.315,10
133,834,255,255,255,1109.775,223.118,33.071,32.110,55.902,10
134,993,255,255,255,561.179,1456.630,36.163,34.962,28.636,10
135,935,255,255,255,703.317,1463.664,35.510,33.525,23.693,10
136,937,255,255,255,821.435,1472.279,35.147,33.944,51.349,10
