 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,42002,255,255,255,555.197,343.580,0,0,0,1
2,40309,255,255,255,331.455,336.470,0,0,0,1
3,29812,255,255,255,760.728,329.167,0,0,0,1
4,38577,255,255,255,1370.691,338.834,0,0,0,1
5,37357,255,255,255,1156.262,343.426,0,0,0,1
6,34930,255,255,255,951.198,380.004,0,0,0,1
7,36072,255,255,255,678.706,531.060,0,0,0,1
8,35883,255,255,255,1299.386,541.447,0,0,0,1
9,34419,255,255,255,1086.672,550.058,0,0,0,1
10,35992,255,255,255,324.294,553.733,0,0,0,1
11,36699,255,255,255,882.585,587.406,0,0,0,1
12,35201,255,255,255,506.004,652.409,0,0,0,1
13,37083,255,255,255,1362.471,740.517,0,0,0,1
14,39667,255,255,255,696.262,756.224,0,0,0,1
15,47463,255,255,255,1124.876,773.501,0,0,0,1
16,32219,255,255,255,323.715,760.769,0,0,0,1
17,29606,255,255,255,900.312,791.886,0,0,0,1
18,35851,255,255,255,511.908,869.545,0,0,0,1
19,38838,255,255,255,1364.028,955.270,0,0,0,1
20,36163,255,255,255,323.674,965.907,0,0,0,1
21,39476,255,255,255,709.725,987.736,0,0,0,1
22,29404,255,255,255,935.996,978.570,0,0,0,1
23,39684,255,255,255,1147.051,1004.357,0,0,0,1
24,36402,255,255,255,509.279,1084.459,0,0,0,1
25,33679,255,255,255,874.146,1165.926,0,0,0,1
26,36604,255,255,255,1360.059,1170.269,0,0,0,1
27,35148,255,255,255,319.656,1180.057,0,0,0,1
28,32883,255,255,255,677.680,1207.835,0,0,0,1
29,28573,255,255,255,1084.469,1201.391,0,0,0,1
30,41866,255,255,255,529.128,1365.976,0,0,0,1
31,42291,255,255,255,951.346,1373.172,0,0,0,1
32,38595,255,255,255,1360.021,1383.947,0,0,0,1
33,29988,255,255,255,1155.477,1385.927,0,0,0,1
34,32351,255,255,255,316.849,1385.730,0,0,0,1
35,28707,255,255,255,739.428,1395.981,0,0,0,1
36,39385,255,255,255,309.632,337.470,226.808,221.097,54.689,2
37,41655,255,255,255,528.661,352.345,239.321,221.614,79.628,2
38,29656,255,255,255,736.502,349.693,205.635,183.623,93.745,2
39,36121,255,255,255,931.019,375.707,225.335,204.099,91.560,2
40,36892,255,255,255,1137.316,382.091,228.773,205.323,99.717,2
41,38167,255,255,255,1347.347,392.090,225.023,215.959,107.272,2
42,34547,255,255,255,645.463,533.275,210.758,208.707,135.642,2
43,35715,255,255,255,317.927,550.161,216.631,209.913,7.417,2
44,33753,255,255,255,1044.825,572.249,215.133,199.763,107.185,2
45,36055,255,255,255,844.503,578.297,222.772,206.070,94.247,2
46,34776,255,255,255,1250.572,581.046,213.633,207.263,172.374,2
47,34464,255,255,255,495.345,666.872,221.641,197.982,108.682,2
48,38786,255,255,255,699.041,745.753,228.505,216.118,113.899,2
49,36819,255,255,255,1356.622,758.290,226.841,206.662,12.820,2
50,31310,255,255,255,316.483,751.434,210.595,189.298,163.015,2
51,43845,255,255,255,1122.258,776.262,249.599,223.659,12.578,2
52,29243,255,255,255,902.083,772.994,198.450,187.620,34.961,2
53,35301,255,255,255,535.834,880.314,220.377,203.953,123.366,2
54,35571,255,255,255,336.765,944.919,225.667,200.696,162.864,2
55,39000,255,255,255,736.078,969.247,223.794,221.884,96.072,2
56,29014,255,255,255,943.917,956.010,194.762,189.676,12.314,2
57,38128,255,255,255,1367.219,969.748,224.648,216.098,26.738,2
58,39140,255,255,255,1148.756,996.425,225.512,220.984,149.721,2
59,36250,255,255,255,544.044,1094.382,216.598,213.090,87.258,2
60,33990,255,255,255,339.689,1145.855,214.597,201.668,162.636,2
61,33730,255,255,255,928.251,1151.257,210.857,203.676,156.603,2
62,36284,255,255,255,1370.115,1178.469,225.748,204.645,8.351,2
63,31661,255,255,255,728.195,1183.048,207.045,194.702,83.973,2
64,28210,255,255,255,1128.731,1198.415,192.746,186.350,168.622,2
65,41710,255,255,255,563.781,1324.703,242.086,219.372,101.073,2
66,41456,255,255,255,984.605,1357.681,238.407,221.400,36.314,2
67,31958,255,255,255,350.157,1341.419,208.036,195.592,165.272,2
68,28411,255,255,255,770.933,1368.996,198.519,182.219,24.658,2
69,29018,255,255,255,1186.621,1380.644,209.587,176.284,65.089,2
70,36654,255,255,255,1387.231,1386.053,221.577,210.624,158.371,2
71,41702,255,255,255,549.535,348.162,238.587,222.546,88.770,3
72,40480,255,255,255,325.598,340.903,233.002,221.203,57.613,3
73,37723,255,255,255,1163.013,349.379,230.951,207.968,95.098,3
74,30096,255,255,255,755.819,333.961,208.218,184.035,92.698,3
75,36339,255,255,255,953.730,347.632,226.134,204.606,92.550,3
76,38260,255,255,255,1378.483,345.481,224.305,217.178,100.411,3
77,36034,255,255,255,662.535,540.980,215.891,212.514,129.579,3
78,35087,255,255,255,1292.578,542.885,214.705,208.073,168.668,3
79,36890,255,255,255,874.668,556.380,222.715,210.896,93.829,3
80,34479,255,255,255,1083.466,555.462,216.016,203.226,107.249,3
81,35965,255,255,255,321.743,561.082,214.618,213.365,61.297,3
82,35282,255,255,255,501.320,675.000,221.189,203.096,105.185,3
83,37330,255,255,255,1371.288,736.818,228.519,207.991,11.250,3
84,39591,255,255,255,704.016,761.143,230.279,218.903,106.923,3
85,44485,255,255,255,1134.576,772.754,254.638,222.434,30.107,3
86,29813,255,255,255,913.502,760.469,198.749,190.990,30.420,3
87,31929,255,255,255,317.691,768.485,210.614,193.022,167.138,3
88,36005,255,255,255,531.017,893.025,220.514,207.891,117.801,3
89,38779,255,255,255,1369.599,953.627,225.864,218.605,30.249,3
90,29590,255,255,255,939.674,952.939,196.110,192.113,8.288,3
91,36320,255,255,255,328.062,969.460,225.932,204.681,170.067,3
92,39258,255,255,255,731.007,989.206,225.156,222.001,110.391,3
