 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,38545,255,255,255,336.967,334.425,0,0,0,1
2,43015,255,255,255,571.139,344.813,0,0,0,1
3,29429,255,255,255,781.072,326.050,0,0,0,1
4,36381,255,255,255,980.547,338.518,0,0,0,1
5,38181,255,255,255,1376.465,334.803,0,0,0,1
6,36160,255,255,255,1177.194,412.915,0,0,0,1
7,39197,255,255,255,865.114,519.227,0,0,0,1
8,35179,255,255,255,435.457,524.438,0,0,0,1
9,37837,255,255,255,1369.773,547.539,0,0,0,1
10,38170,255,255,255,645.398,569.739,0,0,0,1
11,37649,255,255,255,1082.640,606.242,0,0,0,1
12,23229,255,255,255,309.994,667.217,0,0,0,1
13,36905,255,255,255,491.925,733.012,0,0,0,1
14,34468,255,255,255,905.232,729.752,0,0,0,1
15,36691,255,255,255,1275.353,734.797,0,0,0,1
16,39956,255,255,255,700.832,793.521,0,0,0,1
17,29540,255,255,255,1088.167,814.264,0,0,0,1
18,31924,255,255,255,323.180,856.486,0,0,0,1
19,38874,255,255,255,1375.504,932.650,0,0,0,1
20,43476,255,255,255,935.406,956.676,0,0,0,1
21,36465,255,255,255,514.691,955.612,0,0,0,1
22,39300,255,255,255,1163.487,1008.636,0,0,0,1
23,34231,255,255,255,722.289,1009.432,0,0,0,1
24,35898,255,255,255,328.164,1065.478,0,0,0,1
25,46088,255,255,255,1346.996,1157.853,0,0,0,1
26,42396,255,255,255,879.967,1180.493,0,0,0,1
27,31658,255,255,255,664.525,1200.250,0,0,0,1
28,31897,255,255,255,465.420,1210.487,0,0,0,1
29,35975,255,255,255,1106.362,1212.577,0,0,0,1
30,36802,255,255,255,328.645,1371.046,0,0,0,1
31,38065,255,255,255,779.741,1378.891,0,0,0,1
32,36277,255,255,255,1375.230,1378.949,0,0,0,1
33,29873,255,255,255,983.720,1380.974,0,0,0,1
34,33041,255,255,255,565.111,1383.960,0,0,0,1
35,27269,255,255,255,1172.110,1395.125,0,0,0,1
36,38755,255,255,255,331.506,335.368,228.119,216.310,56.745,2
37,29737,255,255,255,772.682,332.938,203.465,186.088,86.334,2
38,42470,255,255,255,562.827,348.364,239.536,225.747,100.237,2
39,36171,255,255,255,971.460,348.238,227.655,202.299,93.559,2
40,37674,255,255,255,1370.359,349.085,222.655,215.436,161.845,2
41,36030,255,255,255,1168.900,414.268,221.549,207.064,106.294,2
42,38928,255,255,255,858.415,526.866,240.320,206.244,160.005,2
43,35042,255,255,255,428.491,526.290,214.877,207.639,167.943,2
44,37996,255,255,255,638.938,568.563,228.083,212.107,79.946,2
45,37587,255,255,255,1367.355,559.030,233.358,205.081,171.951,2
46,37584,255,255,255,1077.834,608.327,221.769,215.780,158.919,2
47,23057,255,255,255,308.503,671.931,174.344,168.386,138.565,2
48,36642,255,255,255,490.069,733.373,221.021,211.084,97.874,2
49,34386,255,255,255,903.704,735.752,215.178,203.467,88.974,2
50,36498,255,255,255,1275.751,744.556,224.129,207.339,153.923,2
51,39729,255,255,255,698.259,790.263,229.164,220.735,91.624,2
52,29232,255,255,255,1087.349,815.499,197.946,188.027,124.081,2
53,31688,255,255,255,325.251,859.252,202.573,199.170,107.841,2
54,38623,255,255,255,1380.019,937.508,224.901,218.658,152.333,2
55,42579,255,255,255,938.580,958.179,247.001,219.486,139.549,2
56,36427,255,255,255,516.098,954.829,222.551,208.403,103.764,2
57,39288,255,255,255,1167.371,1007.682,228.555,218.866,22.325,2
58,34197,255,255,255,723.891,1004.569,212.764,204.644,165.131,2
59,35839,255,255,255,331.540,1066.938,220.850,206.618,54.791,2
60,45885,255,255,255,1350.027,1160.724,254.546,229.517,1.267,2
61,42130,255,255,255,890.130,1178.043,245.739,218.286,131.234,2
62,31379,255,255,255,674.198,1196.204,207.015,192.996,143.837,2
63,31658,255,255,255,477.252,1200.517,209.413,192.482,58.934,2
64,35709,255,255,255,1116.164,1211.398,225.154,201.934,172.107,2
65,36693,255,255,255,337.811,1356.868,224.596,208.014,117.052,2
66,37754,255,255,255,790.444,1372.217,224.743,213.888,177.105,2
67,32730,255,255,255,576.458,1373.324,207.909,200.439,31.831,2
68,29690,255,255,255,993.789,1377.535,207.917,181.815,87.533,2
69,36340,255,255,255,1385.126,1380.313,216.081,214.130,168.408,2
70,27417,255,255,255,1181.899,1393.532,190.562,183.186,20.001,2
71,38826,255,255,255,333.026,336.185,227.309,217.479,56.656,3
72,42791,255,255,255,561.273,347.935,241.933,225.200,95.641,3
73,29816,255,255,255,771.783,327.628,202.450,187.517,93.093,3
74,36499,255,255,255,972.941,341.240,229.118,202.829,96.956,3
75,38049,255,255,255,1380.207,336.998,223.690,216.574,164.066,3
76,36403,255,255,255,1175.009,405.759,220.973,209.753,107.704,3
77,39031,255,255,255,857.663,521.096,240.602,206.547,161.819,3
78,35143,255,255,255,427.109,529.331,214.963,208.154,171.349,3
79,37608,255,255,255,1375.300,549.684,232.125,206.285,169.704,3
80,38093,255,255,255,637.758,570.304,228.549,212.215,78.409,3
81,37727,255,255,255,1078.036,600.468,221.221,217.138,162.724,3
82,23360,255,255,255,305.068,675.510,176.309,168.698,145.862,3
