 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1073,255,255,255,210.475,408.245,0.000,0.000,0.000,1
2,1250,255,255,255,206.642,531.807,0.000,0.000,0.000,1
3,1083,255,255,255,1545.712,543.506,0.000,0.000,0.000,1
4,1061,255,255,255,210.590,653.709,0.000,0.000,0.000,1
5,1085,255,255,255,1545.830,669.855,0.000,0.000,0.000,1
6,1051,255,255,255,205.059,786.185,0.000,0.000,0.000,1
7,1101,255,255,255,1546.425,794.533,0.000,0.000,0.000,1
8,1112,255,255,255,208.517,898.567,0.000,0.000,0.000,1
9,1330,255,255,255,1542.770,905.837,0.000,0.000,0.000,1
10,1105,255,255,255,1544.923,1033.438,0.000,0.000,0.000,1
11,957,255,255,255,207.986,1031.985,0.000,0.000,0.000,1
12,1087,255,255,255,1542.223,1149.693,0.000,0.000,0.000,1
13,1212,255,255,255,207.396,1157.667,0.000,0.000,0.000,1
14,1083,255,255,255,1545.360,1284.807,0.000,0.000,0.000,1
15,1053,255,255,255,194.037,350.546,40.779,32.878,17.588,2
16,1254,255,255,255,196.365,474.001,42.603,37.477,12.761,2
17,1038,255,255,255,206.016,595.900,38.767,34.092,80.295,2
18,1051,255,255,255,1527.034,600.197,40.254,33.243,48.591,2
19,1041,255,255,255,206.580,728.197,39.261,33.760,45.237,2
20,1051,255,255,255,1532.815,727.012,38.794,34.495,34.140,2
21,1100,255,255,255,215.137,840.505,38.885,36.018,171.526,2
22,1062,255,255,255,1539.073,851.194,38.411,35.203,65.468,2
23,1289,255,255,255,1540.837,962.495,43.208,37.984,176.428,2
24,938,255,255,255,221.111,973.584,36.267,32.931,25.393,2
25,1087,255,255,255,1548.810,1089.827,38.476,35.970,72.548,2
26,1206,255,255,255,225.932,1099.305,46.582,32.964,60.155,2
27,1051,255,255,255,1551.781,1205.936,37.944,35.267,36.073,2
28,1059,255,255,255,1561.182,1340.629,37.332,36.119,90.811,2
29,1067,255,255,255,204.067,404.212,41.304,32.892,15.327,3
30,1250,255,255,255,200.515,527.759,42.270,37.652,9.314,3
31,1074,255,255,255,1546.954,541.138,40.948,33.395,45.512,3
32,1058,255,255,255,204.786,649.862,38.828,34.694,80.987,3
33,1084,255,255,255,1546.774,667.551,39.116,35.284,34.459,3
34,1053,255,255,255,199.335,782.094,39.637,33.825,43.448,3
35,1089,255,255,255,1547.620,792.277,39.385,35.205,63.726,3
36,1103,255,255,255,202.668,894.505,39.293,35.741,169.556,3
37,1303,255,255,255,1543.939,903.261,42.942,38.634,173.705,3
38,938,255,255,255,202.610,1028.049,36.257,32.940,31.241,3
39,1093,255,255,255,1546.014,1030.956,38.739,35.923,72.847,3
40,1063,255,255,255,1543.125,1146.977,38.036,35.584,55.094,3
41,1232,255,255,255,202.248,1153.171,47.394,33.097,56.200,3
42,1065,255,255,255,1546.450,1282.081,37.561,36.101,88.073,3
43,1042,255,255,255,225.441,462.011,40.269,32.947,8.945,4
44,1066,255,255,255,1567.574,485.177,40.866,33.213,41.717,4
45,1237,255,255,255,216.044,585.328,42.180,37.340,3.600,4
46,1060,255,255,255,1561.376,611.422,39.136,34.485,28.987,4
47,1044,255,255,255,214.559,707.298,38.279,34.726,79.226,4
48,1089,255,255,255,1556.203,735.952,39.217,35.356,62.158,4
49,1035,255,255,255,202.807,839.088,39.732,33.168,38.367,4
50,1302,255,255,255,1547.030,846.897,43.712,37.924,169.208,4
51,1090,255,255,255,201.041,951.683,39.064,35.527,175.055,4
52,1080,255,255,255,1543.244,974.541,38.457,35.757,71.496,4
53,937,255,255,255,194.553,1084.713,35.978,33.160,25.166,4
54,1062,255,255,255,1534.583,1090.489,37.961,35.620,43.742,4
55,1230,255,255,255,188.327,1210.110,46.875,33.410,54.670,4
