 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,31081,255,255,255,328.719,330.448,0,0,0,1
2,36730,255,255,255,716.761,342.155,0,0,0,1
3,37157,255,255,255,929.519,339.136,0,0,0,1
4,39200,255,255,255,1154.329,339.236,0,0,0,1
5,41274,255,255,255,1378.474,352.526,0,0,0,1
6,40270,255,255,255,521.842,421.114,0,0,0,1
7,41390,255,255,255,342.762,549.120,0,0,0,1
8,37857,255,255,255,945.936,555.411,0,0,0,1
9,36520,255,255,255,1165.564,554.217,0,0,0,1
10,37644,255,255,255,727.863,565.820,0,0,0,1
11,39286,255,255,255,1383.485,583.904,0,0,0,1
12,39061,255,255,255,535.439,669.346,0,0,0,1
13,44011,255,255,255,1161.704,771.571,0,0,0,1
14,35301,255,255,255,924.702,767.150,0,0,0,1
15,37359,255,255,255,340.285,774.388,0,0,0,1
16,34061,255,255,255,715.449,791.657,0,0,0,1
17,30239,255,255,255,1387.381,793.387,0,0,0,1
18,37831,255,255,255,528.890,897.757,0,0,0,1
19,34506,255,255,255,938.297,978.661,0,0,0,1
20,37142,255,255,255,334.158,993.122,0,0,0,1
21,34251,255,255,255,1148.724,984.714,0,0,0,1
22,41390,255,255,255,1370.746,1000.665,0,0,0,1
23,38827,255,255,255,722.219,1006.869,0,0,0,1
24,32142,255,255,255,493.582,1122.947,0,0,0,1
25,32627,255,255,255,880.058,1183.144,0,0,0,1
26,43121,255,255,255,1102.204,1192.767,0,0,0,1
27,23321,255,255,255,315.980,1188.946,0,0,0,1
28,33699,255,255,255,673.995,1210.475,0,0,0,1
29,36066,255,255,255,1337.361,1213.152,0,0,0,1
30,37125,255,255,255,539.775,1374.613,0,0,0,1
31,39778,255,255,255,984.158,1376.072,0,0,0,1
32,33028,255,255,255,331.720,1379.175,0,0,0,1
33,30289,255,255,255,1195.192,1388.269,0,0,0,1
34,33994,255,255,255,759.563,1389.188,0,0,0,1
35,28152,255,255,255,1390.015,1399.894,0,0,0,1
36,31237,255,255,255,324.068,330.535,206.472,192.627,63.444,2
