 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,993,255,255,255,205.968,417.351,0.000,0.000,0.000,1
2,1179,255,255,255,202.104,540.838,0.000,0.000,0.000,1
3,999,255,255,255,1534.019,550.044,0.000,0.000,0.000,1
4,995,255,255,255,206.145,663.598,0.000,0.000,0.000,1
5,1027,255,255,255,1533.827,676.819,0.000,0.000,0.000,1
6,1004,255,255,255,200.373,795.163,0.000,0.000,0.000,1
7,1020,255,255,255,1534.567,801.319,0.000,0.000,0.000,1
8,1037,255,255,255,203.534,907.865,0.000,0.000,0.000,1
9,1224,255,255,255,1530.712,912.288,0.000,0.000,0.000,1
10,1037,255,255,255,1532.846,1040.082,0.000,0.000,0.000,1
11,875,255,255,255,203.033,1041.039,0.000,0.000,0.000,1
12,1019,255,255,255,1529.791,1156.235,0.000,0.000,0.000,1
13,1165,255,255,255,202.432,1166.580,0.000,0.000,0.000,1
14,1008,255,255,255,1533.193,1290.893,0.000,0.000,0.000,1
15,1016,255,255,255,188.459,357.822,40.517,31.928,16.177,2
16,1207,255,255,255,190.772,481.556,41.572,36.967,11.956,2
17,977,255,255,255,200.380,603.457,37.300,33.350,80.709,2
18,1018,255,255,255,1515.237,609.484,39.932,32.459,49.787,2
19,1025,255,255,255,201.014,735.575,39.262,33.240,49.323,2
20,1024,255,255,255,1521.256,735.888,38.175,34.153,40.211,2
21,1045,255,255,255,209.556,847.908,38.477,34.580,177.099,2
22,1038,255,255,255,1528.016,860.394,38.218,34.581,67.630,2
23,1236,255,255,255,1529.454,971.462,42.225,37.270,175.716,2
24,888,255,255,255,215.544,981.280,35.325,32.007,28.592,2
25,1053,255,255,255,1537.717,1099.051,38.020,35.264,78.263,2
26,1159,255,255,255,221.142,1106.598,45.399,32.505,59.851,2
27,1022,255,255,255,1540.260,1214.988,37.330,34.858,37.239,2
28,1022,255,255,255,1550.342,1349.802,36.970,35.197,90.781,2
29,1024,255,255,255,201.579,414.587,40.429,32.249,12.114,3
30,1204,255,255,255,197.694,537.968,41.144,37.259,11.752,3
31,1010,255,255,255,1537.006,549.432,39.684,32.405,45.248,3
32,1029,255,255,255,201.793,660.398,38.696,33.858,78.971,3
33,1053,255,255,255,1536.774,675.830,38.606,34.728,43.142,3
34,1012,255,255,255,196.247,792.343,39.375,32.724,41.584,3
35,1045,255,255,255,1537.382,800.403,38.647,34.428,66.599,3
36,1088,255,255,255,199.548,904.967,39.293,35.256,171.860,3
37,1271,255,255,255,1533.472,911.554,42.881,37.739,172.781,3
38,1049,255,255,255,1535.396,1039.137,38.465,34.724,76.336,3
39,911,255,255,255,199.319,1038.107,35.515,32.660,29.812,3
40,1038,255,255,255,1532.563,1155.163,38.057,34.727,43.089,3
41,1173,255,255,255,198.682,1163.672,46.038,32.440,55.668,3
42,1041,255,255,255,1535.859,1290.223,37.402,35.438,86.782,3
43,989,255,255,255,218.760,470.030,39.524,31.860,13.735,4
44,1004,255,255,255,1554.148,494.889,39.943,32.004,38.647,4
45,1214,255,255,255,209.390,593.150,41.585,37.170,5.164,4
46,1018,255,255,255,1548.348,621.025,38.382,33.770,33.605,4
47,1010,255,255,255,207.792,715.324,37.770,34.048,73.694,4
48,1043,255,255,255,1543.148,745.359,38.291,34.681,65.500,4
49,1031,255,255,255,196.154,847.102,39.284,33.416,38.455,4
50,1276,255,255,255,1534.244,856.599,42.627,38.113,172.055,4
51,1072,255,255,255,194.473,959.654,39.400,34.642,169.509,4
52,1052,255,255,255,1530.460,984.234,38.205,35.059,75.192,4
53,903,255,255,255,188.136,1092.851,35.676,32.227,19.793,4
54,1026,255,255,255,1522.209,1100.051,37.536,34.802,31.501,4
55,1170,255,255,255,181.864,1218.317,45.983,32.397,53.775,4
56,1027,255,255,255,1519.143,1235.228,36.758,35.573,86.231,4
57,1007,255,255,255,206.767,418.212,40.026,32.033,13.805,5
58,1192,255,255,255,202.779,541.740,40.994,37.023,10.336,5
59,1005,255,255,255,1535.298,550.592,39.746,32.195,43.702,5
60,1004,255,255,255,206.996,663.829,37.523,34.068,76.198,5
61,1021,255,255,255,1535.119,677.138,38.056,34.159,36.806,5
62,998,255,255,255,201.140,795.841,38.946,32.627,45.274,5
63,1042,255,255,255,1535.899,801.653,38.097,34.825,66.210,5
64,1069,255,255,255,204.611,908.581,38.891,34.998,168.623,5
65,1270,255,255,255,1532.085,913.043,42.690,37.878,171.755,5
66,1052,255,255,255,1534.059,1040.621,37.990,35.258,70.172,5
67,894,255,255,255,204.145,1041.895,35.495,32.068,34.092,5
68,1025,255,255,255,1531.231,1156.718,37.370,34.923,48.743,5
69,1175,255,255,255,203.590,1166.983,46.201,32.382,56.720,5
70,1026,255,255,255,1534.418,1292.013,37.024,35.284,78.515,5
71,1000,255,255,255,164.842,413.426,40.073,31.773,14.516,6
72,1198,255,255,255,161.332,536.894,41.325,36.911,6.185,6
73,1015,255,255,255,1569.417,550.223,39.859,32.423,45.293,6
74,1005,255,255,255,165.509,659.148,38.110,33.576,82.005,6
75,1015,255,255,255,1569.431,676.819,37.991,34.017,29.455,6
76,1027,255,255,255,160.205,790.973,39.435,33.159,43.566,6
77,1035,255,255,255,1570.335,801.508,38.298,34.409,67.847,6
78,1057,255,255,255,163.846,903.792,38.883,34.612,171.466,6
79,1250,255,255,255,1566.804,912.670,42.237,37.682,172.459,6
80,869,255,255,255,163.715,1037.018,35.071,31.549,28.852,6
81,1057,255,255,255,1569.108,1040.270,37.944,35.468,74.865,6
82,1039,255,255,255,1566.393,1156.469,37.397,35.375,37.051,6
83,1173,255,255,255,163.288,1162.670,45.956,32.499,56.947,6
84,1032,255,255,255,1569.661,1291.705,37.121,35.397,83.269,6
85,1000,255,255,255,206.286,416.598,40.283,31.607,14.917,7
86,1194,255,255,255,202.595,540.292,41.025,37.056,8.112,7
87,988,255,255,255,1534.751,552.116,39.255,32.045,47.029,7
88,988,255,255,255,206.879,662.346,37.626,33.433,78.927,7
89,1038,255,255,255,1534.515,678.560,38.736,34.119,34.205,7
90,1002,255,255,255,200.916,794.482,39.105,32.625,41.621,7
91,1031,255,255,255,1534.990,803.130,38.106,34.449,65.744,7
92,1054,255,255,255,204.651,907.026,38.663,34.710,167.098,7
