 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,30572,255,255,255,325.486,324.820,0,0,0,1
2,39295,255,255,255,1160.491,341.943,0,0,0,1
3,36783,255,255,255,727.733,341.028,0,0,0,1
4,36983,255,255,255,938.836,336.530,0,0,0,1
5,40945,255,255,255,1383.169,349.794,0,0,0,1
6,42292,255,255,255,525.394,413.416,0,0,0,1
7,41604,255,255,255,334.317,538.229,0,0,0,1
8,37809,255,255,255,952.259,552.574,0,0,0,1
9,36554,255,255,255,1169.966,562.904,0,0,0,1
10,37457,255,255,255,732.901,566.018,0,0,0,1
11,39427,255,255,255,1387.205,581.228,0,0,0,1
12,38633,255,255,255,526.194,647.546,0,0,0,1
13,36775,255,255,255,872.537,759.604,0,0,0,1
14,41300,255,255,255,1083.617,773.105,0,0,0,1
15,37801,255,255,255,334.992,769.848,0,0,0,1
16,29528,255,255,255,1290.918,766.345,0,0,0,1
17,32707,255,255,255,673.353,794.100,0,0,0,1
18,38251,255,255,255,539.304,957.651,0,0,0,1
19,41757,255,255,255,1379.701,963.519,0,0,0,1
20,34155,255,255,255,962.168,963.816,0,0,0,1
21,34408,255,255,255,1167.159,981.533,0,0,0,1
22,37002,255,255,255,755.811,988.511,0,0,0,1
23,37658,255,255,255,329.387,994.018,0,0,0,1
24,32275,255,255,255,489.839,1168.043,0,0,0,1
25,32562,255,255,255,900.319,1167.015,0,0,0,1
26,46293,255,255,255,1127.361,1197.718,0,0,0,1
27,34148,255,255,255,692.286,1187.927,0,0,0,1
28,36534,255,255,255,1373.412,1188.436,0,0,0,1
29,23100,255,255,255,308.149,1191.731,0,0,0,1
30,39805,255,255,255,980.772,1372.913,0,0,0,1
31,37617,255,255,255,545.136,1372.754,0,0,0,1
32,34434,255,255,255,760.086,1381.107,0,0,0,1
33,34105,255,255,255,328.990,1378.942,0,0,0,1
34,28482,255,255,255,1393.533,1389.059,0,0,0,1
35,29603,255,255,255,1199.613,1392.078,0,0,0,1
36,29825,255,255,255,302.242,322.679,196.117,193.631,85.449,2
37,36160,255,255,255,703.959,360.687,227.866,202.050,97.159,2
38,40583,255,255,255,497.646,375.598,246.603,209.534,93.884,2
39,36466,255,255,255,910.222,367.346,221.890,209.248,66.344,2
40,38703,255,255,255,1128.724,379.099,228.916,215.268,37.856,2
41,40800,255,255,255,1351.436,401.263,234.191,221.820,89.801,2
42,40861,255,255,255,324.332,528.806,228.732,227.453,117.427,2
43,37093,255,255,255,959.206,575.665,218.932,215.721,61.146,2
44,36802,255,255,255,744.874,578.083,218.398,214.552,114.709,2
45,35512,255,255,255,1171.443,585.789,218.553,206.885,57.554,2
46,38240,255,255,255,528.985,608.255,225.956,215.479,64.372,2
47,38488,255,255,255,1375.423,628.988,228.990,214.003,86.740,2
48,37083,255,255,255,357.930,748.832,223.674,211.091,153.113,2
49,36011,255,255,255,857.154,771.726,229.512,199.774,96.518,2
50,39682,255,255,255,1062.580,777.364,232.665,217.156,94.674,2
51,32369,255,255,255,658.224,771.380,203.997,202.030,57.637,2
52,28897,255,255,255,1265.810,799.414,196.974,186.790,143.689,2
53,37503,255,255,255,542.919,941.414,230.287,207.352,117.055,2
54,36157,255,255,255,754.721,962.150,217.936,211.239,121.526,2
55,36879,255,255,255,336.550,963.112,219.052,214.359,81.432,2
56,41160,255,255,255,1379.185,978.712,235.082,222.928,72.524,2
57,33579,255,255,255,960.042,970.800,213.243,200.495,103.638,2
58,33717,255,255,255,1164.921,970.522,209.973,204.454,157.748,2
59,30816,255,255,255,503.351,1147.055,202.161,194.084,95.349,2
60,33651,255,255,255,703.955,1163.470,212.051,202.054,139.824,2
61,32451,255,255,255,911.334,1170.076,205.592,200.971,8.503,2
62,45902,255,255,255,1148.162,1185.513,252.373,231.579,169.420,2
63,22737,255,255,255,325.319,1155.012,172.827,167.507,174.715,2
64,36158,255,255,255,1386.018,1197.256,229.325,200.754,18.517,2
65,36834,255,255,255,580.396,1336.911,219.445,213.714,34.978,2
66,33276,255,255,255,364.934,1332.496,213.994,197.988,177.749,2
67,33577,255,255,255,791.184,1348.490,218.964,195.244,51.492,2
68,39086,255,255,255,1009.506,1359.896,236.012,210.861,156.118,2
69,29233,255,255,255,1226.512,1380.146,203.031,183.325,34.661,2
70,27770,255,255,255,1415.233,1391.213,191.435,184.699,78.032,2
71,30697,255,255,255,319.674,328.478,200.226,195.203,97.644,3
72,41336,255,255,255,518.784,359.163,255.950,205.629,83.877,3
73,36649,255,255,255,728.176,344.388,229.747,203.106,92.894,3
74,37190,255,255,255,938.112,343.204,224.847,210.596,71.465,3
75,39572,255,255,255,1159.983,342.809,226.507,222.442,134.725,3
76,41316,255,255,255,1385.545,353.933,240.470,218.760,92.430,3
77,41461,255,255,255,330.143,542.505,233.199,226.372,104.163,3
78,37439,255,255,255,968.986,562.316,223.657,213.133,75.703,3
79,36481,255,255,255,1180.285,564.134,223.826,207.523,73.866,3
80,37144,255,255,255,756.854,568.544,221.570,213.446,92.270,3
81,39375,255,255,255,1391.804,590.517,230.745,217.270,89.404,3
82,38481,255,255,255,542.982,597.332,226.413,216.399,76.840,3
83,40736,255,255,255,1070.604,765.506,235.104,220.612,86.212,3
84,37702,255,255,255,393.385,763.819,223.638,214.649,149.006,3
85,36941,255,255,255,858.005,769.754,231.153,203.479,92.976,3
86,29729,255,255,255,1279.047,767.492,197.214,191.934,143.838,3
87,33127,255,255,255,653.121,778.154,208.457,202.337,44.187,3
88,42007,255,255,255,1381.662,959.275,237.479,225.220,86.594,3
89,38204,255,255,255,536.140,956.323,229.554,211.901,113.810,3
90,36834,255,255,255,750.823,967.582,219.336,213.821,93.263,3
91,34221,255,255,255,959.656,967.765,214.908,202.745,94.445,3
92,34438,255,255,255,1165.883,967.390,211.258,207.556,121.457,3
93,37561,255,255,255,326.115,988.553,223.727,213.761,93.366,3
94,31607,255,255,255,488.042,1165.597,205.118,196.196,95.571,3
95,33041,255,255,255,901.644,1169.770,206.111,204.109,16.494,3
96,34501,255,255,255,691.842,1174.761,213.412,205.837,127.653,3
97,46760,255,255,255,1131.736,1188.536,252.428,235.856,174.178,3
98,36780,255,255,255,1376.560,1183.417,230.427,203.231,9.803,3
99,23258,255,255,255,305.521,1186.206,174.954,169.262,157.874,3
100,37864,255,255,255,546.692,1368.467,222.326,216.844,55.273,3
101,40179,255,255,255,985.815,1369.408,236.825,216.013,157.150,3
102,34484,255,255,255,761.806,1372.143,221.934,197.835,54.493,3
103,34045,255,255,255,328.711,1373.221,213.522,203.011,166.470,3
104,28018,255,255,255,1397.656,1383.010,193.962,183.921,86.293,3
105,29726,255,255,255,1205.933,1385.447,203.187,186.273,27.275,3
106,41633,255,255,255,1410.353,304.408,241.615,219.394,83.671,4
107,39469,255,255,255,1182.086,308.018,224.948,223.400,22.813,4
108,37555,255,255,255,956.766,316.019,226.099,211.485,68.094,4
109,36966,255,255,255,744.954,327.041,232.122,202.766,93.567,4
