 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,987,255,255,255,1319.670,174.430,0.000,0.000,0.000,1
2,866,255,255,255,1043.562,175.732,0.000,0.000,0.000,1
3,787,255,255,255,748.956,177.731,0.000,0.000,0.000,1
4,916,255,255,255,889.746,177.571,0.000,0.000,0.000,1
5,857,255,255,255,1180.444,178.577,0.000,0.000,0.000,1
6,854,255,255,255,464.036,180.852,0.000,0.000,0.000,1
7,848,255,255,255,599.393,179.849,0.000,0.000,0.000,1
8,883,255,255,255,1049.302,1506.213,0.000,0.000,0.000,1
9,1021,255,255,255,513.938,1507.979,0.000,0.000,0.000,1
10,936,255,255,255,656.418,1507.125,0.000,0.000,0.000,1
11,944,255,255,255,774.824,1509.090,0.000,0.000,0.000,1
12,893,255,255,255,908.002,1510.151,0.000,0.000,0.000,1
13,967,255,255,255,1169.154,1510.326,0.000,0.000,0.000,1
14,987,255,255,255,1304.834,1509.267,0.000,0.000,0.000,1
15,850,255,255,255,412.848,189.745,34.733,31.159,109.752,2
16,852,255,255,255,548.095,195.055,33.322,32.555,145.223,2
17,796,255,255,255,697.554,200.005,32.774,30.924,110.914,2
18,888,255,255,255,838.421,206.334,34.111,33.146,140.693,2
19,879,255,255,255,992.261,211.936,34.353,32.579,92.179,2
20,855,255,255,255,1128.530,221.080,33.470,32.525,23.637,2
21,987,255,255,255,1267.964,223.489,36.918,34.040,80.138,2
22,1000,255,255,255,574.963,1466.754,36.333,35.043,26.166,2
23,952,255,255,255,717.149,1472.644,35.669,33.982,33.572,2
24,936,255,255,255,835.412,1480.363,34.964,34.086,71.754,2
25,881,255,255,255,968.549,1487.477,35.989,31.168,103.335,2
26,869,255,255,255,1109.967,1490.345,34.059,32.486,20.912,2
27,957,255,255,255,1229.153,1500.073,36.107,33.747,149.339,2
28,972,255,255,255,1364.860,1505.371,36.531,33.878,149.468,2
29,883,255,255,255,410.048,220.505,35.428,31.734,114.111,3
30,858,255,255,255,545.198,225.983,33.562,32.550,163.286,3
31,818,255,255,255,694.759,231.363,33.517,31.074,111.073,3
