 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1062,255,255,255,201.186,412.712,0.000,0.000,0.000,1
2,1256,255,255,255,197.677,536.129,0.000,0.000,0.000,1
3,1048,255,255,255,1546.550,549.363,0.000,0.000,0.000,1
4,1031,255,255,255,201.776,658.317,0.000,0.000,0.000,1
5,1084,255,255,255,1546.302,676.109,0.000,0.000,0.000,1
6,1078,255,255,255,196.555,790.712,0.000,0.000,0.000,1
7,1069,255,255,255,1547.301,800.652,0.000,0.000,0.000,1
8,1092,255,255,255,199.636,903.193,0.000,0.000,0.000,1
9,1289,255,255,255,1543.558,911.830,0.000,0.000,0.000,1
10,952,255,255,255,199.639,1036.817,0.000,0.000,0.000,1
11,1087,255,255,255,1545.523,1039.544,0.000,0.000,0.000,1
12,1059,255,255,255,1542.893,1155.580,0.000,0.000,0.000,1
13,1225,255,255,255,199.095,1162.308,0.000,0.000,0.000,1
14,1063,255,255,255,1546.598,1290.594,0.000,0.000,0.000,1
15,1049,255,255,255,197.220,395.516,40.935,32.628,16.386,2
16,1238,255,255,255,195.294,519.265,42.447,37.135,9.869,2
17,1029,255,255,255,1543.699,568.963,40.149,32.633,44.756,2
18,1041,255,255,255,201.475,641.236,37.983,34.896,76.553,2
19,1058,255,255,255,1545.584,695.629,38.777,34.739,36.075,2
20,1047,255,255,255,197.896,773.709,39.776,33.515,40.417,2
21,1076,255,255,255,1548.349,820.104,38.767,35.340,63.953,2
22,1103,255,255,255,203.119,886.285,39.538,35.520,176.467,2
23,1288,255,255,255,1546.455,931.211,43.035,38.107,177.802,2
24,945,255,255,255,204.834,1019.755,36.856,32.647,26.808,2
25,1083,255,255,255,1550.480,1058.976,38.119,36.174,75.029,2
26,1216,255,255,255,206.454,1145.261,46.823,33.066,57.118,2
27,1065,255,255,255,1549.555,1174.787,38.275,35.428,38.092,2
28,1065,255,255,255,1554.950,1310.032,37.378,36.278,75.886,2
29,1054,255,255,255,185.854,393.738,41.123,32.633,13.648,3
30,1250,255,255,255,184.146,517.449,42.600,37.360,8.623,3
31,1029,255,255,255,1552.769,569.104,40.466,32.377,44.635,3
32,1050,255,255,255,190.259,639.532,38.620,34.617,75.870,3
33,1060,255,255,255,1554.739,695.516,39.326,34.319,34.892,3
34,1067,255,255,255,186.851,771.992,40.399,33.629,40.360,3
35,1071,255,255,255,1557.570,820.051,38.471,35.445,62.545,3
36,1100,255,255,255,192.127,884.654,39.482,35.473,168.663,3
37,1265,255,255,255,1555.852,931.245,42.974,37.479,178.490,3
38,931,255,255,255,194.028,1018.390,36.193,32.752,27.510,3
39,1084,255,255,255,1559.893,1059.061,38.493,35.855,74.592,3
40,1217,255,255,255,195.593,1143.787,46.316,33.456,55.873,3
41,1053,255,255,255,1559.175,1175.059,37.996,35.286,40.050,3
42,1066,255,255,255,1564.805,1309.946,37.243,36.444,67.406,3
43,1071,255,255,255,183.511,413.795,41.535,32.831,11.494,4
44,1258,255,255,255,179.867,537.127,42.567,37.628,6.415,4
45,1054,255,255,255,1562.415,549.468,40.800,32.892,41.736,4
46,1068,255,255,255,184.051,659.782,39.072,34.803,77.906,4
47,1074,255,255,255,1562.243,675.944,39.201,34.884,34.427,4
48,1080,255,255,255,178.374,791.681,40.377,34.057,38.498,4
49,1071,255,255,255,1562.768,800.343,38.506,35.413,57.624,4
50,1117,255,255,255,181.566,904.390,40.072,35.491,173.934,4
51,1291,255,255,255,1559.301,911.519,43.168,38.078,171.073,4
52,1101,255,255,255,1561.101,1039.060,38.828,36.104,68.383,4
53,951,255,255,255,181.302,1037.897,36.921,32.796,28.051,4
54,1079,255,255,255,1558.471,1155.287,38.518,35.667,31.453,4
55,1249,255,255,255,180.806,1163.373,47.314,33.611,55.696,4
56,1063,255,255,255,1561.573,1290.119,37.298,36.288,79.202,4
57,1052,255,255,255,185.870,428.819,41.035,32.642,14.429,5
58,1057,255,255,255,1568.033,529.342,41.151,32.705,41.142,5
59,1255,255,255,255,180.329,552.385,42.552,37.552,7.651,5
60,1065,255,255,255,1566.597,656.262,39.173,34.616,31.454,5
61,1059,255,255,255,182.666,675.008,38.340,35.169,73.683,5
62,1063,255,255,255,1565.281,780.379,38.556,35.103,61.676,5
63,1068,255,255,255,175.317,806.742,40.457,33.612,38.421,5
64,1289,255,255,255,1559.952,891.487,43.049,38.124,174.972,5
65,1102,255,255,255,176.907,919.435,39.624,35.411,171.094,5
66,1089,255,255,255,1560.078,1019.241,38.602,35.919,68.603,5
67,960,255,255,255,174.609,1052.993,36.781,33.232,21.931,5
68,1076,255,255,255,1555.546,1135.199,38.722,35.380,40.960,5
69,1252,255,255,255,172.458,1178.679,46.803,34.060,53.601,5
70,1066,255,255,255,1556.932,1269.996,37.861,35.849,76.210,5
71,1061,255,255,255,197.845,431.678,41.449,32.592,12.261,6
72,1062,255,255,255,1557.825,530.171,41.094,32.904,40.513,6
73,1259,255,255,255,192.379,554.777,42.249,37.942,8.927,6
74,1082,255,255,255,1555.533,656.918,39.240,35.108,35.502,6
75,1066,255,255,255,194.756,677.447,38.886,34.904,72.466,6
76,1092,255,255,255,1554.469,781.374,38.943,35.703,60.977,6
77,1056,255,255,255,186.997,809.168,40.170,33.471,40.595,6
78,1297,255,255,255,1548.918,892.514,43.067,38.345,172.160,6
79,1103,255,255,255,188.789,921.883,39.545,35.513,171.657,6
80,1094,255,255,255,1548.901,1020.108,38.603,36.083,71.004,6
81,962,255,255,255,186.181,1055.142,37.009,33.097,22.764,6
82,1083,255,255,255,1544.272,1136.228,38.402,35.908,32.574,6
83,1233,255,255,255,183.997,1180.834,46.520,33.747,54.353,6
84,1065,255,255,255,1545.373,1270.983,37.737,35.933,88.137,6
85,1068,255,255,255,209.392,432.500,41.778,32.549,14.245,7
86,1045,255,255,255,1546.407,530.477,40.528,32.830,41.974,7
87,1244,255,255,255,203.813,556.106,42.213,37.522,6.782,7
88,1049,255,255,255,1544.078,657.277,38.967,34.276,35.630,7
89,1060,255,255,255,205.975,678.138,38.747,34.832,75.123,7
90,1066,255,255,255,1542.809,781.696,38.526,35.230,56.763,7
91,1047,255,255,255,198.184,810.061,39.833,33.467,38.490,7
92,1279,255,255,255,1537.487,892.711,42.723,38.117,171.270,7
93,1105,255,255,255,199.651,922.975,39.945,35.221,171.171,7
94,1097,255,255,255,1537.278,1020.628,38.429,36.346,67.767,7
95,952,255,255,255,197.379,1056.241,36.572,33.144,21.454,7
96,1056,255,255,255,1532.917,1136.509,37.855,35.518,36.654,7
97,1227,255,255,255,194.880,1181.802,46.907,33.306,54.299,7
98,1066,255,255,255,1533.784,1271.674,37.418,36.274,65.196,7
