 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,28215,255,255,255,507.486,337.761,0,0,0,1
2,36656,255,255,255,705.774,344.764,0,0,0,1
3,37559,255,255,255,925.950,348.741,0,0,0,1
4,37246,255,255,255,1138.153,353.789,0,0,0,1
5,42292,255,255,255,1361.241,357.052,0,0,0,1
6,31631,255,255,255,318.550,363.463,0,0,0,1
7,35148,255,255,255,600.191,528.487,0,0,0,1
8,35844,255,255,255,817.992,533.442,0,0,0,1
9,32099,255,255,255,1025.438,542.683,0,0,0,1
10,33721,255,255,255,1227.441,549.241,0,0,0,1
11,38793,255,255,255,383.227,564.341,0,0,0,1
12,28347,255,255,255,1418.930,563.927,0,0,0,1
13,38553,255,255,255,746.081,729.282,0,0,0,1
14,37542,255,255,255,534.581,737.008,0,0,0,1
15,39200,255,255,255,964.655,751.810,0,0,0,1
16,29205,255,255,255,1163.856,739.922,0,0,0,1
17,40333,255,255,255,1386.198,769.507,0,0,0,1
18,45546,255,255,255,331.707,799.650,0,0,0,1
19,28655,255,255,255,1237.781,915.878,0,0,0,1
20,33387,255,255,255,699.069,938.476,0,0,0,1
21,29251,255,255,255,882.579,951.270,0,0,0,1
22,34844,255,255,255,501.217,958.697,0,0,0,1
23,30567,255,255,255,1062.523,987.992,0,0,0,1
24,29101,255,255,255,316.750,1024.789,0,0,0,1
25,37199,255,255,255,1394.782,1040.748,0,0,0,1
26,43470,255,255,255,1192.968,1158.897,0,0,0,1
27,39244,255,255,255,728.455,1159.755,0,0,0,1
28,36083,255,255,255,950.513,1162.650,0,0,0,1
29,35156,255,255,255,515.684,1175.855,0,0,0,1
30,28244,255,255,255,317.877,1212.376,0,0,0,1
31,30753,255,255,255,1395.726,1242.433,0,0,0,1
32,37922,255,255,255,1016.060,1372.658,0,0,0,1
33,43894,255,255,255,791.423,1381.584,0,0,0,1
34,38173,255,255,255,1227.784,1383.800,0,0,0,1
35,37157,255,255,255,566.523,1389.094,0,0,0,1
36,32013,255,255,255,358.312,1401.035,0,0,0,1
37,22470,255,255,255,1413.601,1419.777,0,0,0,1
38,28001,255,255,255,506.119,342.726,201.314,177.097,92.421,2
39,32599,255,255,255,315.018,345.380,208.840,198.747,94.453,2
40,36287,255,255,255,706.033,352.479,219.541,210.449,129.950,2
41,37561,255,255,255,926.027,358.884,223.756,213.734,121.264,2
42,36955,255,255,255,1137.896,367.513,230.793,203.874,83.502,2
43,42232,255,255,255,1360.301,375.740,237.824,226.097,47.979,2
44,35031,255,255,255,598.387,531.188,221.048,201.779,135.818,2
45,35812,255,255,255,816.408,540.610,220.656,206.644,154.412,2
46,38914,255,255,255,378.318,549.558,227.248,218.030,8.075,2
47,32132,255,255,255,1024.031,554.626,209.760,195.040,100.185,2
48,33676,255,255,255,1226.463,561.219,208.578,205.571,77.892,2
49,28483,255,255,255,1417.181,583.151,199.517,181.767,85.092,2
50,37367,255,255,255,539.158,736.750,233.633,203.640,111.416,2
51,38281,255,255,255,752.512,737.645,240.777,202.432,134.235,2
52,39220,255,255,255,970.888,766.122,235.684,211.879,112.492,2
53,29127,255,255,255,1169.842,752.748,195.789,189.417,56.565,2
54,45507,255,255,255,333.413,786.825,260.474,222.446,97.493,2
55,40515,255,255,255,1387.158,789.594,241.067,213.987,150.791,2
56,33117,255,255,255,696.487,941.457,217.855,193.550,94.910,2
57,28561,255,255,255,1234.283,931.657,196.075,185.465,70.409,2
58,34647,255,255,255,499.544,951.442,216.899,203.385,101.326,2
59,29326,255,255,255,878.839,960.154,212.788,175.476,87.104,2
60,30488,255,255,255,1058.086,996.558,206.749,187.757,99.705,2
61,29068,255,255,255,317.714,1013.384,202.314,182.936,131.344,2
62,37187,255,255,255,1400.863,1041.113,220.523,214.707,11.065,2
63,43593,255,255,255,1199.298,1159.180,244.927,226.616,40.733,2
64,39234,255,255,255,733.155,1159.966,227.703,219.383,80.565,2
65,34937,255,255,255,521.538,1166.912,217.273,204.734,73.255,2
66,35963,255,255,255,953.776,1173.929,219.454,208.652,4.032,2
67,28153,255,255,255,324.970,1202.427,194.909,183.909,2.352,2
68,30917,255,255,255,1404.319,1242.450,208.426,188.867,0.473,2
69,43705,255,255,255,805.243,1375.497,248.480,223.950,48.933,2
70,38285,255,255,255,1029.454,1379.279,232.854,209.341,86.916,2
71,37190,255,255,255,579.287,1377.333,223.257,212.095,81.022,2
72,38023,255,255,255,1239.939,1383.047,231.292,209.313,72.970,2
73,31891,255,255,255,371.624,1387.599,202.616,200.403,5.641,2
74,22594,255,255,255,1425.335,1420.082,174.848,164.529,21.408,2
75,32621,255,255,255,305.939,353.646,208.072,199.615,92.593,3
76,28479,255,255,255,500.821,353.778,201.224,180.200,92.825,3
77,36425,255,255,255,711.101,361.869,220.727,210.113,135.678,3
78,37525,255,255,255,932.250,369.756,223.092,214.164,126.823,3
79,36840,255,255,255,1144.467,378.716,230.060,203.887,83.291,3
80,42273,255,255,255,1367.015,386.374,236.943,227.159,52.074,3
81,35036,255,255,255,603.466,538.947,222.035,200.911,137.108,3
82,38801,255,255,255,383.176,551.726,227.123,217.516,1.794,3
83,35839,255,255,255,822.156,550.926,220.622,206.832,150.967,3
84,32271,255,255,255,1030.464,565.773,209.745,195.899,101.618,3
85,33713,255,255,255,1234.553,571.376,207.995,206.373,76.119,3
86,28315,255,255,255,1425.171,595.534,199.926,180.326,93.404,3
87,37300,255,255,255,529.122,736.247,233.373,203.502,115.701,3
88,38088,255,255,255,744.420,741.131,239.995,202.067,137.705,3
89,45425,255,255,255,323.145,783.804,260.860,221.716,98.728,3
90,39235,255,255,255,963.531,773.359,236.030,211.649,111.625,3
91,29085,255,255,255,1162.266,757.153,195.332,189.586,52.589,3
92,40575,255,255,255,1395.725,801.993,239.950,215.302,152.301,3
93,33295,255,255,255,688.315,943.899,217.524,194.886,93.357,3
94,28460,255,255,255,1232.698,933.024,194.967,185.859,70.089,3
95,34673,255,255,255,489.551,949.350,216.191,204.204,103.158,3
96,29314,255,255,255,871.683,967.391,212.144,175.936,88.261,3
97,30751,255,255,255,1054.151,996.460,206.566,189.544,100.872,3
98,28916,255,255,255,306.907,1009.943,201.192,182.994,127.754,3
99,37283,255,255,255,1409.253,1028.846,220.914,214.881,6.467,3
100,43553,255,255,255,1207.502,1149.490,245.245,226.114,36.443,3
101,39106,255,255,255,723.278,1162.113,227.517,218.846,75.064,3
102,34993,255,255,255,511.339,1164.594,217.073,205.251,70.166,3
103,35964,255,255,255,945.220,1171.797,219.395,208.714,3.998,3
104,28190,255,255,255,313.756,1199.765,195.389,183.698,5.622,3
105,30846,255,255,255,1413.482,1230.816,207.881,188.927,0.187,3
106,43624,255,255,255,817.317,1366.353,247.402,224.508,46.943,3
107,38275,255,255,255,1041.202,1368.477,233.804,208.437,85.566,3
108,37105,255,255,255,591.653,1366.615,223.946,210.960,85.202,3
109,37961,255,255,255,1250.527,1372.356,231.426,208.850,75.602,3
110,31830,255,255,255,384.701,1376.912,202.691,199.946,21.615,3
111,22629,255,255,255,1434.606,1409.783,173.258,166.296,19.897,3
112,32718,255,255,255,303.892,359.599,207.805,200.466,92.099,4
113,29461,255,255,255,502.926,356.958,201.317,186.328,95.717,4
114,36662,255,255,255,713.606,362.078,221.001,211.219,131.023,4
115,37813,255,255,255,936.018,365.824,223.407,215.504,117.147,4
116,37280,255,255,255,1150.005,371.558,232.454,204.197,81.431,4
117,41469,255,255,255,1373.332,383.584,236.039,223.692,31.358,4
118,35298,255,255,255,606.366,542.524,221.960,202.481,138.294,4
119,36087,255,255,255,827.080,550.408,220.934,207.969,151.916,4
120,38819,255,255,255,384.335,556.460,227.269,217.477,5.128,4
121,32462,255,255,255,1036.392,561.200,210.974,195.910,99.730,4
122,33862,255,255,255,1240.681,566.082,209.025,206.265,85.293,4
123,28699,255,255,255,1433.304,591.304,200.617,182.142,93.877,4
124,37421,255,255,255,523.033,739.074,232.951,204.532,113.460,4
125,38276,255,255,255,737.492,737.400,239.794,203.235,135.370,4
126,29172,255,255,255,1157.017,748.856,195.614,189.879,56.506,4
127,39452,255,255,255,957.527,767.401,236.167,212.696,112.351,4
128,45588,255,255,255,315.411,786.991,261.139,222.274,99.352,4
129,40423,255,255,255,1399.427,798.140,238.939,215.403,151.497,4
130,28897,255,255,255,1230.428,925.160,196.294,187.438,65.427,4
131,33551,255,255,255,681.918,943.080,218.328,195.662,94.004,4
