 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,949,255,255,255,1311.628,193.452,0.000,0.000,0.000,1
2,827,255,255,255,1035.620,194.866,0.000,0.000,0.000,1
3,870,255,255,255,882.138,196.562,0.000,0.000,0.000,1
4,751,255,255,255,741.023,196.789,0.000,0.000,0.000,1
5,826,255,255,255,1172.607,197.985,0.000,0.000,0.000,1
6,814,255,255,255,456.100,200.041,0.000,0.000,0.000,1
7,798,255,255,255,591.429,199.122,0.000,0.000,0.000,1
8,907,255,255,255,648.191,1529.596,0.000,0.000,0.000,1
9,846,255,255,255,1041.200,1528.352,0.000,0.000,0.000,1
10,980,255,255,255,505.740,1530.509,0.000,0.000,0.000,1
11,908,255,255,255,766.554,1531.568,0.000,0.000,0.000,1
12,955,255,255,255,1296.707,1531.197,0.000,0.000,0.000,1
13,869,255,255,255,899.785,1532.140,0.000,0.000,0.000,1
14,925,255,255,255,1160.750,1532.316,0.000,0.000,0.000,1
15,830,255,255,255,440.718,204.166,34.379,30.739,114.126,2
16,804,255,255,255,575.894,205.012,32.443,31.553,146.600,2
17,757,255,255,255,725.611,204.927,32.094,30.032,117.199,2
18,862,255,255,255,1020.450,207.660,33.669,32.598,72.262,2
19,865,255,255,255,866.493,206.961,33.502,32.874,19.382,2
20,965,255,255,255,1296.318,210.555,36.697,33.482,78.999,2
21,822,255,255,255,1156.973,212.353,32.693,32.013,80.182,2
22,984,255,255,255,527.018,1518.085,36.109,34.697,27.316,2
23,925,255,255,255,669.204,1519.304,35.535,33.143,32.068,2
24,919,255,255,255,787.767,1522.936,34.787,33.636,52.413,2
25,854,255,255,255,1062.507,1524.084,33.859,32.114,31.951,2
26,883,255,255,255,921.044,1525.576,35.791,31.412,104.468,2
27,938,255,255,255,1181.834,1529.860,35.411,33.726,137.783,2
28,947,255,255,255,1317.659,1530.685,35.842,33.641,152.467,2
29,834,255,255,255,439.203,213.977,34.371,30.895,118.944,3
30,826,255,255,255,574.559,215.069,32.684,32.178,147.699,3
31,755,255,255,255,724.189,215.160,32.468,29.607,117.414,3
32,842,255,255,255,1019.005,217.862,33.796,31.721,75.728,3
33,866,255,255,255,864.976,217.308,33.417,32.996,22.130,3
34,993,255,255,255,1294.783,221.201,37.299,33.897,78.148,3
35,845,255,255,255,1155.563,222.855,33.240,32.367,29.272,3
36,982,255,255,255,526.200,1507.449,36.164,34.573,24.667,3
37,903,255,255,255,668.877,1508.766,34.871,32.971,27.431,3
38,919,255,255,255,787.058,1512.503,34.360,34.054,44.150,3
39,849,255,255,255,1061.851,1513.321,34.068,31.730,32.157,3
40,872,255,255,255,920.469,1515.181,35.777,31.033,104.616,3
41,936,255,255,255,1181.357,1519.105,35.573,33.501,151.598,3
42,953,255,255,255,1317.221,1519.824,35.844,33.852,153.764,3
43,976,255,255,255,1311.327,209.358,36.693,33.867,83.845,4
44,862,255,255,255,1035.700,211.232,34.213,32.080,94.129,4
45,904,255,255,255,881.687,213.303,34.349,33.509,163.104,4
46,771,255,255,255,740.828,213.783,32.528,30.179,113.293,4
47,848,255,255,255,1172.092,214.019,33.205,32.517,0.178,4
48,843,255,255,255,455.838,217.190,34.749,30.889,119.428,4
49,850,255,255,255,591.142,215.838,33.547,32.261,166.952,4
50,854,255,255,255,1039.506,1513.321,33.690,32.275,35.481,4
51,984,255,255,255,503.751,1515.963,36.099,34.706,21.795,4
52,932,255,255,255,646.205,1514.987,35.462,33.463,31.217,4
53,966,255,255,255,1294.699,1516.090,36.034,34.133,148.322,4
54,929,255,255,255,764.766,1516.724,34.770,34.019,52.948,4
55,883,255,255,255,898.062,1517.200,35.809,31.397,106.293,4
56,937,255,255,255,1158.734,1517.233,35.540,33.568,152.443,4
57,963,255,255,255,1325.023,194.250,37.313,32.861,85.434,5
58,858,255,255,255,1049.218,200.196,33.361,32.746,72.930,5
59,830,255,255,255,1185.975,200.766,33.152,31.877,36.752,5
60,886,255,255,255,895.728,204.252,34.084,33.098,8.494,5
61,759,255,255,255,754.803,206.727,32.249,29.967,118.792,5
62,815,255,255,255,605.127,211.131,32.580,31.851,11.639,5
63,833,255,255,255,469.951,214.366,34.466,30.773,121.876,5
64,953,255,255,255,1275.339,1513.729,35.891,33.808,151.468,5
65,862,255,255,255,1019.984,1514.915,33.905,32.371,31.784,5
66,937,255,255,255,1139.535,1517.151,35.470,33.635,152.096,5
67,890,255,255,255,878.502,1520.951,35.889,31.574,105.805,5
68,927,255,255,255,627.070,1522.222,35.393,33.348,38.116,5
69,924,255,255,255,745.245,1522.289,34.645,33.958,34.318,5
70,984,255,255,255,484.393,1525.393,36.151,34.656,31.258,5
71,978,255,255,255,1326.863,182.003,37.173,33.498,80.885,6
72,841,255,255,255,1050.859,188.118,33.462,32.000,77.861,6
73,825,255,255,255,1187.557,188.448,32.786,32.039,41.546,6
74,885,255,255,255,897.138,192.307,33.806,33.332,150.667,6
75,764,255,255,255,756.233,195.045,32.373,30.048,115.579,6
76,817,255,255,255,606.816,199.673,32.367,32.139,133.019,6
77,829,255,255,255,471.594,202.907,34.238,30.828,121.960,6
78,956,255,255,255,1274.780,1527.221,35.533,34.256,157.214,6
79,854,255,255,255,1019.473,1528.014,33.935,32.042,39.425,6
80,935,255,255,255,1139.045,1530.347,35.086,33.930,151.049,6
81,887,255,255,255,878.110,1533.978,36.177,31.218,106.570,6
82,921,255,255,255,626.708,1535.160,35.147,33.365,37.956,6
83,915,255,255,255,744.938,1535.333,34.625,33.647,62.495,6
84,986,255,255,255,484.021,1538.298,36.294,34.590,24.680,6
85,934,255,255,255,1328.163,170.084,36.176,32.873,88.868,7
86,807,255,255,255,1052.189,176.375,32.644,31.476,89.237,7
87,795,255,255,255,1188.754,176.564,32.071,31.562,46.083,7
88,847,255,255,255,898.390,180.783,33.091,32.590,149.947,7
89,735,255,255,255,757.447,183.324,31.563,29.649,114.486,7
90,803,255,255,255,607.887,188.347,32.478,31.480,154.384,7
91,796,255,255,255,472.564,191.602,33.683,30.090,126.620,7
92,938,255,255,255,1274.597,1538.774,35.806,33.355,156.013,7
93,851,255,255,255,1019.320,1539.680,33.628,32.221,31.321,7
94,932,255,255,255,1138.736,1541.929,35.258,33.656,148.089,7
95,871,255,255,255,877.870,1545.346,35.679,31.083,106.179,7
96,915,255,255,255,626.477,1546.606,35.315,32.989,28.160,7
97,910,255,255,255,744.719,1546.937,34.626,33.462,44.445,7
98,977,255,255,255,483.785,1549.487,36.116,34.444,31.008,7
99,971,255,255,255,1315.378,184.066,37.186,33.247,84.580,8
100,847,255,255,255,1039.624,185.743,33.571,32.124,85.070,8
101,761,255,255,255,744.681,188.306,32.428,29.880,120.145,8
102,883,255,255,255,885.671,188.042,33.647,33.414,99.895,8
103,832,255,255,255,1175.998,188.559,33.193,31.914,49.794,8
104,822,255,255,255,459.838,192.187,34.106,30.687,117.634,8
105,822,255,255,255,594.951,190.843,32.840,31.870,170.564,8
106,928,255,255,255,648.475,1541.520,35.413,33.365,33.104,8
107,872,255,255,255,1041.972,1540.599,34.238,32.428,29.762,8
108,997,255,255,255,506.216,1542.308,36.363,34.910,26.838,8
109,925,255,255,255,766.977,1543.484,34.721,33.921,71.982,8
110,950,255,255,255,1297.134,1543.669,35.857,33.733,153.074,8
111,881,255,255,255,900.316,1544.354,35.766,31.363,107.594,8
112,935,255,255,255,1161.235,1544.860,35.305,33.720,133.411,8
113,972,255,255,255,1313.094,196.343,36.855,33.580,80.274,9
114,827,255,255,255,1037.224,197.889,33.529,31.405,82.140,9
115,865,255,255,255,883.500,199.701,33.404,32.971,54.107,9
116,808,255,255,255,1173.880,200.501,32.667,31.493,42.959,9
117,743,255,255,255,742.522,200.247,31.693,29.850,122.445,9
118,808,255,255,255,457.434,203.720,33.862,30.382,117.753,9
119,810,255,255,255,592.709,202.532,32.417,31.815,157.370,9
120,846,255,255,255,1042.044,1526.865,33.792,31.876,28.795,9
121,969,255,255,255,506.511,1528.796,35.861,34.404,33.011,9
122,919,255,255,255,649.017,1527.931,35.097,33.339,33.012,9
123,910,255,255,255,767.309,1529.907,34.618,33.470,48.203,9
124,870,255,255,255,900.667,1530.536,35.657,31.066,103.573,9
125,932,255,255,255,1161.533,1530.901,35.200,33.712,145.812,9
126,949,255,255,255,1297.465,1529.763,35.894,33.664,156.098,9
127,825,255,255,255,421.292,207.432,34.159,30.751,114.736,10
128,801,255,255,255,556.632,210.594,32.307,31.568,158.730,10
129,755,255,255,255,706.434,213.472,32.720,29.379,118.900,10
130,820,255,255,255,847.223,217.534,32.957,31.680,179.341,10
131,836,255,255,255,1000.903,220.610,33.483,31.790,84.522,10
132,933,255,255,255,1276.691,227.837,36.399,32.636,79.851,10
133,822,255,255,255,1137.213,227.745,33.110,31.610,20.978,10
134,974,255,255,255,547.361,1499.097,36.214,34.244,23.192,10
135,885,255,255,255,689.665,1502.873,34.388,32.768,30.511,10
136,911,255,255,255,807.897,1508.735,34.218,33.898,21.613,10
137,871,255,255,255,941.032,1513.919,35.831,30.950,103.825,10
138,851,255,255,255,1082.471,1514.556,33.611,32.237,26.581,10
139,919,255,255,255,1201.729,1522.620,35.119,33.318,146.184,10
140,937,255,255,255,1337.414,1525.927,35.532,33.576,156.375,10
141,852,255,255,255,418.973,226.728,34.663,31.295,116.408,11
142,839,255,255,255,554.268,230.250,33.288,32.091,179.565,11
143,777,255,255,255,703.943,232.970,32.875,30.093,118.107,11
144,866,255,255,255,844.846,237.498,33.478,32.936,0.596,11
145,874,255,255,255,998.565,240.768,33.958,32.770,79.101,11
146,990,255,255,255,1274.375,248.409,37.362,33.738,86.054,11
147,861,255,255,255,1135.112,248.103,33.612,32.615,20.754,11
148,990,255,255,255,545.793,1479.725,36.413,34.617,22.460,11
149,922,255,255,255,688.156,1483.465,34.992,33.549,35.999,11
150,918,255,255,255,806.522,1489.235,34.649,33.733,56.248,11
151,876,255,255,255,939.604,1494.337,35.727,31.219,103.823,11
152,849,255,255,255,1081.230,1495.097,33.631,32.143,26.498,11
153,939,255,255,255,1200.599,1503.031,35.355,33.816,149.111,11
154,950,255,255,255,1336.344,1506.192,35.665,33.915,148.721,11
155,970,255,255,255,1309.702,221.284,37.123,33.269,81.176,12
156,847,255,255,255,1033.913,222.720,33.788,31.918,90.335,12
157,901,255,255,255,880.076,224.765,33.943,33.797,40.224,12
158,768,255,255,255,739.229,224.996,32.449,30.135,117.826,12
159,838,255,255,255,1170.352,225.298,33.357,31.986,9.694,12
160,841,255,255,255,454.095,228.246,34.205,31.306,116.465,12
161,835,255,255,255,589.567,227.088,32.975,32.241,163.896,12
162,871,255,255,255,1039.081,1500.820,34.137,32.487,27.306,12
163,915,255,255,255,645.656,1502.284,34.996,33.289,38.475,12
164,983,255,255,255,503.233,1503.320,35.973,34.792,23.624,12
165,965,255,255,255,1294.244,1503.492,36.145,33.993,144.753,12
166,936,255,255,255,764.088,1503.978,34.744,34.301,57.367,12
167,885,255,255,255,897.387,1504.833,35.757,31.514,106.825,12
