 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1051,255,255,255,191.999,405.124,0.000,0.000,0.000,1
2,1256,255,255,255,188.355,528.826,0.000,0.000,0.000,1
3,1073,255,255,255,1546.702,537.692,0.000,0.000,0.000,1
4,1057,255,255,255,192.442,650.803,0.000,0.000,0.000,1
5,1051,255,255,255,1546.578,664.418,0.000,0.000,0.000,1
6,1057,255,255,255,186.625,782.972,0.000,0.000,0.000,1
7,1071,255,255,255,1546.886,789.109,0.000,0.000,0.000,1
8,1105,255,255,255,189.975,895.678,0.000,0.000,0.000,1
9,1302,255,255,255,1543.283,900.147,0.000,0.000,0.000,1
10,1084,255,255,255,1545.259,1027.777,0.000,0.000,0.000,1
11,959,255,255,255,189.695,1028.906,0.000,0.000,0.000,1
12,1079,255,255,255,1542.380,1143.930,0.000,0.000,0.000,1
13,1248,255,255,255,189.188,1154.510,0.000,0.000,0.000,1
14,1074,255,255,255,1545.612,1279.089,0.000,0.000,0.000,1
15,1068,255,255,255,175.305,346.833,41.380,32.861,16.919,2
16,1261,255,255,255,177.386,470.224,42.541,37.741,10.711,2
17,1053,255,255,255,187.081,592.339,38.340,34.969,80.197,2
18,1076,255,255,255,1528.312,596.125,40.907,33.491,43.529,2
19,1069,255,255,255,1534.102,722.547,39.116,34.797,33.461,2
20,1073,255,255,255,187.501,724.596,40.777,33.504,43.682,2
21,1106,255,255,255,196.014,836.968,39.419,35.724,174.394,2
22,1084,255,255,255,1540.751,846.880,38.762,35.607,68.130,2
23,1310,255,255,255,1542.137,958.297,43.165,38.641,175.498,2
24,953,255,255,255,201.930,970.353,36.790,32.982,25.499,2
25,1111,255,255,255,1550.098,1085.528,38.937,36.330,74.780,2
26,1228,255,255,255,207.393,1095.640,46.706,33.476,57.359,2
27,1096,255,255,255,1552.707,1201.655,38.460,36.284,30.990,2
28,1095,255,255,255,1562.260,1336.326,37.857,36.828,96.477,2
29,1093,255,255,255,142.465,340.818,41.942,33.181,15.521,3
30,1253,255,255,255,144.756,464.418,42.925,37.167,8.906,3
31,1074,255,255,255,154.980,586.420,38.780,35.262,75.321,3
32,1071,255,255,255,1555.338,597.832,41.105,33.174,45.200,3
33,1073,255,255,255,155.630,718.530,40.092,34.076,44.316,3
34,1081,255,255,255,1561.500,724.329,39.242,35.074,36.640,3
35,1103,255,255,255,164.407,831.210,39.816,35.272,175.767,3
36,1079,255,255,255,1568.311,848.424,38.601,35.591,58.640,3
37,1317,255,255,255,1569.837,959.864,43.623,38.440,179.568,3
38,969,255,255,255,170.495,964.303,37.124,33.234,26.130,3
39,1106,255,255,255,1577.935,1087.210,38.814,36.281,71.873,3
40,1238,255,255,255,175.907,1090.009,47.074,33.485,57.804,3
41,1080,255,255,255,1580.811,1203.271,38.396,35.813,31.603,3
42,1086,255,255,255,1590.532,1338.080,37.574,36.801,87.384,3
43,1072,255,255,255,149.633,400.396,41.538,32.860,13.370,4
44,1262,255,255,255,146.048,523.903,42.407,37.891,8.992,4
45,1091,255,255,255,1579.986,536.481,41.788,33.241,40.880,4
46,1059,255,255,255,150.359,646.212,38.958,34.610,73.312,4
47,1086,255,255,255,1579.915,662.764,39.524,34.985,33.762,4
48,1069,255,255,255,144.727,778.315,40.336,33.744,38.804,4
49,1108,255,255,255,1580.428,787.550,39.286,35.910,64.163,4
50,1108,255,255,255,147.949,891.111,39.961,35.303,172.319,4
51,1322,255,255,255,1576.787,898.751,43.967,38.284,175.792,4
52,962,255,255,255,147.759,1024.479,37.051,33.059,29.545,4
53,1101,255,255,255,1578.676,1026.138,38.826,36.106,64.720,4
54,1103,255,255,255,1575.933,1142.413,38.665,36.322,32.271,4
55,1260,255,255,255,147.471,1150.066,47.041,34.104,54.749,4
56,1098,255,255,255,1578.967,1277.475,37.869,36.917,87.936,4
57,1051,255,255,255,168.851,459.259,41.481,32.260,11.873,5
58,1080,255,255,255,1598.532,479.439,41.441,33.182,38.838,5
59,1252,255,255,255,159.637,582.522,42.717,37.317,6.022,5
60,1061,255,255,255,1592.544,605.743,39.020,34.621,25.121,5
61,1054,255,255,255,158.008,705.234,38.498,34.859,76.770,5
62,1081,255,255,255,1587.384,730.451,38.812,35.463,59.329,5
63,1064,255,255,255,146.307,836.404,40.385,33.545,35.093,5
