 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,37384,255,255,255,720.335,343.513,0,0,0,1
2,33202,255,255,255,313.703,335.035,0,0,0,1
3,28269,255,255,255,513.027,322.563,0,0,0,1
4,37847,255,255,255,949.849,342.021,0,0,0,1
5,42825,255,255,255,1387.881,347.445,0,0,0,1
6,37441,255,255,255,1164.075,350.765,0,0,0,1
7,35189,255,255,255,579.735,507.605,0,0,0,1
8,35976,255,255,255,846.336,528.373,0,0,0,1
9,31606,255,255,255,1050.077,533.643,0,0,0,1
10,39151,255,255,255,325.455,551.099,0,0,0,1
11,28361,255,255,255,1418.553,559.199,0,0,0,1
12,34343,255,255,255,1235.960,611.589,0,0,0,1
13,35208,255,255,255,709.362,681.382,0,0,0,1
14,37497,255,255,255,511.411,709.782,0,0,0,1
15,29770,255,255,255,1080.305,738.159,0,0,0,1
16,40373,255,255,255,1392.412,776.225,0,0,0,1
17,44928,255,255,255,319.981,793.402,0,0,0,1
18,38999,255,255,255,891.922,807.149,0,0,0,1
19,31410,255,255,255,1218.678,885.489,0,0,0,1
20,33931,255,255,255,701.911,901.982,0,0,0,1
21,34595,255,255,255,501.353,933.396,0,0,0,1
22,32619,255,255,255,1043.722,968.971,0,0,0,1
23,37682,255,255,255,1393.296,1003.498,0,0,0,1
24,28156,255,255,255,856.545,1015.240,0,0,0,1
25,29358,255,255,255,311.040,1011.494,0,0,0,1
26,43871,255,255,255,1201.922,1129.767,0,0,0,1
27,35047,255,255,255,499.289,1147.953,0,0,0,1
28,37914,255,255,255,707.963,1157.196,0,0,0,1
29,35625,255,255,255,980.577,1169.902,0,0,0,1
30,28795,255,255,255,306.680,1196.156,0,0,0,1
31,31514,255,255,255,1400.054,1215.822,0,0,0,1
32,40052,255,255,255,1218.915,1367.992,0,0,0,1
33,44297,255,255,255,756.016,1372.485,0,0,0,1
34,38337,255,255,255,521.803,1372.762,0,0,0,1
35,38509,255,255,255,993.363,1380.165,0,0,0,1
36,32541,255,255,255,311.968,1388.562,0,0,0,1
37,22889,255,255,255,1411.651,1401.422,0,0,0,1
38,32767,255,255,255,297.330,333.713,206.403,202.130,85.329,2
39,27859,255,255,255,494.169,338.099,196.611,180.413,60.728,2
40,35811,255,255,255,725.638,354.799,221.938,205.445,136.636,2
41,36821,255,255,255,937.851,373.838,224.462,208.864,103.285,2
42,37112,255,255,255,1144.001,391.725,235.887,200.318,88.459,2
43,42041,255,255,255,1362.603,395.985,236.127,226.692,0.024,2
44,34129,255,255,255,602.209,509.859,224.291,193.741,142.328,2
45,38945,255,255,255,312.824,545.973,223.283,222.078,49.456,2
46,35806,255,255,255,817.955,553.249,220.398,206.851,125.166,2
47,31200,255,255,255,1018.021,571.258,206.827,192.069,84.723,2
48,33986,255,255,255,1213.467,601.732,213.558,202.625,97.157,2
49,27825,255,255,255,1402.418,599.721,193.575,183.019,88.302,2
50,35146,255,255,255,491.831,672.592,226.745,197.355,119.285,2
51,34891,255,255,255,690.079,714.250,221.951,200.155,100.588,2
52,29328,255,255,255,1089.775,760.833,198.402,188.212,95.881,2
53,37612,255,255,255,315.637,777.272,221.962,215.753,136.947,2
54,39189,255,255,255,891.779,793.035,233.728,213.483,118.797,2
55,39679,255,255,255,1382.790,801.764,239.427,211.007,148.594,2
56,33536,255,255,255,500.425,886.029,209.510,203.806,71.424,2
57,30725,255,255,255,1217.376,913.118,212.699,183.923,97.493,2
58,33291,255,255,255,692.726,928.278,220.352,192.363,64.640,2
59,31305,255,255,255,1037.326,959.451,210.734,189.142,96.997,2
60,28940,255,255,255,320.729,975.768,206.290,178.620,167.470,2
61,27427,255,255,255,859.015,1003.246,200.740,173.962,82.012,2
62,37464,255,255,255,1395.570,1021.270,224.664,212.320,5.132,2
63,34797,255,255,255,512.724,1097.183,218.897,202.401,88.322,2
64,43468,255,255,255,1197.279,1136.546,243.190,227.580,110.189,2
65,37254,255,255,255,712.585,1145.252,220.487,215.130,46.238,2
66,35298,255,255,255,975.018,1160.699,221.005,203.357,25.726,2
67,28619,255,255,255,324.627,1156.542,197.837,184.186,3.876,2
68,31179,255,255,255,1412.393,1223.835,205.856,192.845,17.801,2
69,37725,255,255,255,565.981,1316.570,225.998,212.537,87.979,2
70,43938,255,255,255,797.673,1343.452,246.180,227.247,13.943,2
71,31923,255,255,255,359.277,1341.329,204.951,198.319,172.466,2
72,39366,255,255,255,1248.537,1363.811,231.993,216.051,98.201,2
73,37863,255,255,255,1029.673,1360.414,225.183,214.087,28.356,2
74,23104,255,255,255,1436.649,1404.404,176.410,166.753,21.163,2
75,32544,255,255,255,260.661,356.838,206.549,200.613,117.365,3
76,28093,255,255,255,455.264,361.444,202.098,176.989,62.281,3
77,35649,255,255,255,732.209,384.240,219.416,206.866,142.906,3
78,36301,255,255,255,945.528,402.158,220.713,209.412,103.051,3
79,36738,255,255,255,1151.618,417.597,231.987,201.633,85.181,3
80,40875,255,255,255,1367.723,424.653,232.893,223.466,26.508,3
81,33944,255,255,255,582.290,516.033,221.259,195.331,141.421,3
82,38424,255,255,255,285.380,562.807,226.596,215.904,177.895,3
83,35046,255,255,255,826.701,576.629,218.080,204.613,140.426,3
84,30936,255,255,255,1029.303,594.838,202.025,194.970,74.683,3
85,33834,255,255,255,1232.272,617.110,210.545,204.606,101.536,3
86,27410,255,255,255,1426.551,613.146,199.037,175.342,33.011,3
87,34774,255,255,255,472.442,680.406,221.574,199.824,124.650,3
88,35081,255,255,255,677.174,713.113,219.383,203.601,114.312,3
89,39291,255,255,255,900.643,780.521,234.798,213.064,156.961,3
90,37467,255,255,255,287.740,777.492,224.369,212.617,165.014,3
91,28951,255,255,255,1108.928,773.491,194.109,189.901,95.762,3
92,39489,255,255,255,1404.988,803.179,242.296,207.510,168.957,3
93,33558,255,255,255,473.119,890.290,209.109,204.331,68.730,3
94,30904,255,255,255,1234.386,920.978,209.368,187.938,87.150,3
95,33302,255,255,255,670.488,921.196,218.535,194.025,46.446,3
96,30461,255,255,255,1037.330,954.858,200.892,193.060,104.854,3
97,27360,255,255,255,850.386,976.902,196.239,177.518,68.212,3
98,28631,255,255,255,290.136,971.634,205.543,177.355,167.671,3
99,36991,255,255,255,1420.879,1011.808,226.908,207.566,6.081,3
100,35341,255,255,255,493.714,1101.947,216.973,207.388,84.069,3
101,43116,255,255,255,1173.677,1130.877,241.283,227.522,120.823,3
102,37017,255,255,255,707.505,1125.423,218.969,215.243,3.522,3
103,34866,255,255,255,952.491,1141.430,217.142,204.442,15.478,3
104,28303,255,255,255,294.056,1148.194,201.229,179.082,12.271,3
105,30508,255,255,255,1438.176,1204.761,209.352,185.544,4.793,3
106,37442,255,255,255,583.160,1304.887,226.603,210.379,92.876,3
107,43391,255,255,255,814.811,1315.449,245.098,225.408,3.875,3
108,31591,255,255,255,380.840,1311.446,203.694,197.467,15.147,3
109,37718,255,255,255,1050.410,1327.041,225.342,213.116,32.760,3
110,39003,255,255,255,1272.338,1337.065,228.188,217.629,99.336,3
111,22553,255,255,255,1461.301,1378.291,174.911,164.171,8.723,3
112,33144,255,255,255,270.546,368.264,209.850,201.097,94.689,4
113,28183,255,255,255,467.497,358.423,196.125,182.964,65.340,4
114,36945,255,255,255,714.465,371.726,222.629,211.293,121.370,4
115,42450,255,255,255,1365.732,382.182,235.408,229.597,63.980,4
116,37338,255,255,255,932.364,378.372,224.683,211.588,103.677,4
117,37564,255,255,255,1144.765,384.347,235.392,203.185,87.517,4
118,34594,255,255,255,575.672,527.560,220.188,200.040,154.417,4
119,36238,255,255,255,822.246,565.604,220.360,209.383,134.972,4
120,31380,255,255,255,1029.180,568.682,203.486,196.349,83.037,4
121,38482,255,255,255,283.580,581.482,223.933,218.801,155.090,4
122,28443,255,255,255,1441.302,571.803,206.092,175.721,23.727,4
123,34434,255,255,255,1234.283,585.794,211.350,207.441,98.318,4
124,36192,255,255,255,470.384,704.819,224.432,205.323,123.195,4
125,35560,255,255,255,680.282,719.093,221.512,204.397,111.431,4
126,29659,255,255,255,1111.120,750.732,198.318,190.416,85.563,4
127,39749,255,255,255,897.955,772.794,234.360,215.950,1.246,4
128,40303,255,255,255,1417.065,767.771,240.971,212.953,170.969,4
129,38058,255,255,255,277.655,800.663,223.705,216.611,166.468,4
