 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,997,255,255,255,1308.063,185.523,0.000,0.000,0.000,1
2,865,255,255,255,1031.915,187.408,0.000,0.000,0.000,1
3,903,255,255,255,878.386,189.467,0.000,0.000,0.000,1
4,779,255,255,255,737.351,189.858,0.000,0.000,0.000,1
5,855,255,255,255,1168.780,189.939,0.000,0.000,0.000,1
6,852,255,255,255,452.570,193.808,0.000,0.000,0.000,1
7,833,255,255,255,587.877,192.528,0.000,0.000,0.000,1
8,884,255,255,255,1033.949,1514.034,0.000,0.000,0.000,1
9,1003,255,255,255,498.691,1516.365,0.000,0.000,0.000,1
10,935,255,255,255,641.025,1515.294,0.000,0.000,0.000,1
11,974,255,255,255,1289.544,1516.611,0.000,0.000,0.000,1
12,947,255,255,255,759.391,1517.147,0.000,0.000,0.000,1
13,907,255,255,255,892.595,1517.756,0.000,0.000,0.000,1
14,960,255,255,255,1153.505,1517.876,0.000,0.000,0.000,1
15,885,255,255,255,399.192,200.580,35.208,32.004,118.016,2
16,855,255,255,255,534.272,205.736,33.229,32.761,177.191,2
17,801,255,255,255,683.932,210.354,33.396,30.539,117.710,2
18,896,255,255,255,824.807,216.561,34.059,33.495,159.708,2
19,892,255,255,255,978.448,222.009,34.836,32.603,87.747,2
20,999,255,255,255,1254.376,233.286,37.319,34.084,81.771,2
21,853,255,255,255,1114.785,230.983,33.583,32.340,23.915,2
22,1005,255,255,255,558.600,1473.931,36.231,35.318,17.872,2
23,945,255,255,255,700.728,1479.829,35.533,33.862,37.726,2
24,947,255,255,255,819.051,1487.408,35.241,34.215,55.724,2
25,912,255,255,255,952.182,1494.361,36.692,31.647,102.043,2
26,894,255,255,255,1093.267,1497.220,34.345,33.143,39.222,2
27,967,255,255,255,1212.612,1506.927,36.108,34.099,145.962,2
28,982,255,255,255,1348.395,1512.163,36.481,34.274,148.097,2
29,876,255,255,255,396.031,229.380,35.156,31.726,111.848,3
30,870,255,255,255,531.131,234.878,33.876,32.699,172.808,3
31,815,255,255,255,680.517,239.932,33.539,30.940,114.484,3
32,925,255,255,255,821.514,246.822,34.399,34.238,103.444,3
33,906,255,255,255,975.287,252.125,35.070,32.893,86.536,3
34,1023,255,255,255,1250.907,264.016,37.980,34.295,83.572,3
35,875,255,255,255,1111.459,261.589,33.842,32.920,40.091,3
36,999,255,255,255,557.520,1441.646,36.334,35.007,22.168,3
37,939,255,255,255,699.532,1447.512,35.429,33.746,35.748,3
38,944,255,255,255,817.938,1455.192,35.238,34.109,53.950,3
39,902,255,255,255,950.997,1462.316,36.317,31.623,104.380,3
40,878,255,255,255,1092.371,1465.246,33.901,32.975,19.636,3
41,960,255,255,255,1211.573,1474.918,35.898,34.050,151.333,3
42,982,255,255,255,1347.422,1480.285,36.464,34.289,153.507,3
43,1003,255,255,255,1301.742,221.133,37.612,33.954,81.491,4
44,845,255,255,255,1025.936,222.805,33.453,32.161,86.667,4
45,901,255,255,255,872.102,224.466,34.122,33.620,178.096,4
