 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,968,255,255,255,195.081,393.616,0.000,0.000,0.000,1
2,1152,255,255,255,191.657,517.295,0.000,0.000,0.000,1
3,966,255,255,255,1544.346,529.851,0.000,0.000,0.000,1
4,958,255,255,255,195.617,639.481,0.000,0.000,0.000,1
5,984,255,255,255,1544.297,656.389,0.000,0.000,0.000,1
6,964,255,255,255,190.308,771.517,0.000,0.000,0.000,1
7,1010,255,255,255,1545.030,781.150,0.000,0.000,0.000,1
8,1012,255,255,255,193.874,883.986,0.000,0.000,0.000,1
9,1223,255,255,255,1541.529,892.417,0.000,0.000,0.000,1
10,845,255,255,255,193.591,1017.597,0.000,0.000,0.000,1
11,1014,255,255,255,1543.541,1020.047,0.000,0.000,0.000,1
12,993,255,255,255,1541.076,1135.927,0.000,0.000,0.000,1
13,1122,255,255,255,193.340,1142.993,0.000,0.000,0.000,1
14,971,255,255,255,1544.224,1271.327,0.000,0.000,0.000,1
15,925,255,255,255,190.971,377.845,39.098,30.123,14.636,2
16,1113,255,255,255,189.553,501.408,40.073,35.363,7.929,2
17,940,255,255,255,1542.959,549.050,38.579,31.023,44.360,2
18,935,255,255,255,195.318,624.039,36.387,32.717,75.190,2
19,953,255,255,255,1544.707,675.486,37.305,32.527,33.326,2
20,942,255,255,255,191.673,755.729,38.368,31.260,43.793,2
21,975,255,255,255,1547.471,799.794,37.217,33.356,65.045,2
22,995,255,255,255,197.116,868.328,38.081,33.268,175.302,2
23,1186,255,255,255,1545.472,911.061,41.481,36.404,174.832,2
24,818,255,255,255,198.711,1001.656,34.326,30.342,30.918,2
25,995,255,255,255,1549.448,1038.771,36.834,34.394,64.589,2
26,1092,255,255,255,200.186,1126.970,44.464,31.269,53.968,2
27,970,255,255,255,1548.559,1154.786,36.492,33.844,24.825,2
28,956,255,255,255,1553.725,1289.490,35.483,34.305,76.536,2
29,954,255,255,255,178.734,376.497,39.508,30.745,13.968,3
30,1145,255,255,255,177.321,500.138,40.893,35.651,8.036,3
31,958,255,255,255,1552.743,549.238,39.058,31.230,44.500,3
32,949,255,255,255,183.323,622.218,36.452,33.148,83.304,3
33,985,255,255,255,1554.828,675.771,37.411,33.523,33.831,3
34,955,255,255,255,179.922,754.379,38.368,31.692,37.973,3
35,985,255,255,255,1557.618,800.405,37.089,33.814,56.974,3
36,1004,255,255,255,185.165,867.042,38.300,33.377,172.479,3
37,1196,255,255,255,1555.623,911.513,41.899,36.345,174.848,3
38,840,255,255,255,187.046,1000.435,34.217,31.257,29.666,3
39,998,255,255,255,1559.659,1039.024,37.114,34.237,70.802,3
40,1092,255,255,255,188.419,1125.826,44.537,31.219,57.192,3
41,978,255,255,255,1558.873,1155.289,36.505,34.111,31.193,3
42,963,255,255,255,1564.334,1290.424,35.576,34.465,85.806,3
43,940,255,255,255,175.643,390.937,39.023,30.670,12.982,4
44,1150,255,255,255,172.359,514.718,41.040,35.678,11.383,4
45,973,255,255,255,1556.952,529.573,39.158,31.638,42.399,4
46,961,255,255,255,176.599,636.654,37.082,32.997,74.526,4
47,1005,255,255,255,1556.762,656.344,38.194,33.502,35.161,4
48,980,255,255,255,171.181,768.792,38.574,32.348,40.883,4
49,1004,255,255,255,1557.762,780.821,37.826,33.795,59.725,4
50,1026,255,255,255,174.968,881.468,38.287,34.119,172.464,4
51,1227,255,255,255,1554.321,891.906,41.887,37.297,173.495,4
52,859,255,255,255,174.729,1014.996,34.716,31.505,27.519,4
53,1020,255,255,255,1556.518,1019.527,37.642,34.502,71.236,4
54,999,255,255,255,1553.679,1135.666,36.716,34.644,32.584,4
55,1137,255,255,255,174.717,1140.417,44.897,32.244,55.676,4
56,1000,255,255,255,1557.161,1270.591,36.374,35.004,92.826,4
57,944,255,255,255,180.782,410.312,39.575,30.371,11.665,5
58,945,255,255,255,1565.322,509.187,38.794,31.015,40.947,5
59,1134,255,255,255,175.256,533.593,40.818,35.373,9.326,5
60,976,255,255,255,1563.315,635.665,37.355,33.267,29.726,5
61,953,255,255,255,177.751,655.930,36.945,32.844,76.787,5
62,986,255,255,255,1562.251,760.467,36.955,33.971,55.387,5
63,958,255,255,255,170.285,787.808,38.130,31.990,35.934,5
64,1195,255,255,255,1556.855,871.345,41.454,36.703,175.459,5
65,1005,255,255,255,172.125,900.517,38.095,33.590,173.263,5
66,993,255,255,255,1556.910,999.258,36.977,34.192,59.617,5
