 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,27616,255,255,255,1180.825,321.928,0,0,0,1
2,38815,255,255,255,329.310,328.536,0,0,0,1
3,39857,255,255,255,770.674,336.374,0,0,0,1
4,37472,255,255,255,986.266,336.612,0,0,0,1
5,46031,255,255,255,1387.737,346.767,0,0,0,1
6,39560,255,255,255,549.899,361.158,0,0,0,1
7,37715,255,255,255,1143.258,526.267,0,0,0,1
8,31678,255,255,255,694.361,536.446,0,0,0,1
9,36672,255,255,255,906.966,542.738,0,0,0,1
10,28542,255,255,255,310.881,533.132,0,0,0,1
11,29996,255,255,255,500.644,570.332,0,0,0,1
12,41120,255,255,255,1366.438,584.040,0,0,0,1
13,36852,255,255,255,780.006,726.566,0,0,0,1
14,35294,255,255,255,360.563,725.400,0,0,0,1
15,35733,255,255,255,1204.958,735.487,0,0,0,1
16,35643,255,255,255,993.587,737.649,0,0,0,1
17,37702,255,255,255,569.693,772.472,0,0,0,1
18,30310,255,255,255,1404.594,793.979,0,0,0,1
19,37994,255,255,255,858.917,925.112,0,0,0,1
20,40885,255,255,255,1090.457,929.843,0,0,0,1
21,29620,255,255,255,311.041,920.763,0,0,0,1
22,21945,255,255,255,666.555,945.269,0,0,0,1
23,35295,255,255,255,1312.563,972.942,0,0,0,1
24,28116,255,255,255,491.445,971.655,0,0,0,1
25,38812,255,255,255,951.321,1120.646,0,0,0,1
26,35968,255,255,255,738.216,1128.106,0,0,0,1
27,34696,255,255,255,318.932,1123.136,0,0,0,1
28,39451,255,255,255,1175.244,1136.575,0,0,0,1
29,30257,255,255,255,1396.626,1154.883,0,0,0,1
30,31607,255,255,255,526.376,1156.444,0,0,0,1
31,37406,255,255,255,324.147,1340.820,0,0,0,1
32,39950,255,255,255,960.670,1346.096,0,0,0,1
33,33153,255,255,255,745.966,1347.952,0,0,0,1
34,35731,255,255,255,1180.988,1350.145,0,0,0,1
35,34031,255,255,255,543.998,1351.745,0,0,0,1
36,34766,255,255,255,1393.044,1354.950,0,0,0,1
37,38467,255,255,255,325.042,329.673,230.312,212.658,26.930,2
38,39993,255,255,255,548.609,353.618,233.705,217.884,93.791,2
39,39815,255,255,255,770.403,345.281,233.596,217.016,97.020,2
40,37054,255,255,255,985.136,347.597,228.060,206.869,99.034,2
41,27531,255,255,255,1178.480,336.165,200.513,174.820,92.303,2
42,45935,255,255,255,1384.073,363.836,254.741,229.591,56.066,2
43,37700,255,255,255,1132.322,538.430,226.379,212.039,11.327,2
44,28163,255,255,255,308.774,530.623,192.966,185.827,17.775,2
45,36410,255,255,255,905.496,550.408,219.689,211.019,11.653,2
46,31603,255,255,255,693.378,544.783,201.485,199.708,160.146,2
47,29886,255,255,255,498.197,563.852,199.685,190.560,107.893,2
48,40549,255,255,255,1376.062,597.553,230.383,224.099,10.751,2
49,34868,255,255,255,360.517,719.655,217.033,204.555,11.166,2
50,36755,255,255,255,781.327,733.481,221.005,211.750,49.092,2
51,35694,255,255,255,996.323,742.614,220.015,206.563,61.908,2
52,35629,255,255,255,1208.808,742.488,217.423,208.645,121.477,2
53,37676,255,255,255,569.240,765.178,228.160,210.250,86.369,2
54,29907,255,255,255,1407.152,805.565,198.331,191.996,161.133,2
55,29357,255,255,255,314.256,912.880,195.870,190.834,163.123,2
56,37662,255,255,255,860.944,928.809,234.427,204.553,42.745,2
57,40605,255,255,255,1092.970,934.264,240.011,215.406,20.451,2
58,21899,255,255,255,668.036,936.903,169.261,164.732,79.481,2
59,28066,255,255,255,493.539,965.235,198.410,180.105,67.467,2
60,35101,255,255,255,1313.672,981.238,218.059,204.954,148.771,2
61,38687,255,255,255,950.757,1121.891,235.028,209.583,61.781,2
62,35816,255,255,255,738.347,1120.157,221.383,205.989,100.676,2
63,34435,255,255,255,324.854,1112.702,222.378,197.160,42.428,2
64,39322,255,255,255,1173.777,1141.180,233.665,214.266,165.468,2
65,31441,255,255,255,528.825,1149.854,218.342,183.345,22.587,2
66,30233,255,255,255,1404.372,1158.280,211.272,182.200,13.994,2
67,37359,255,255,255,334.606,1327.608,222.286,213.989,125.405,2
68,39790,255,255,255,976.080,1342.553,230.481,219.811,30.691,2
69,33197,255,255,255,762.086,1339.815,217.346,194.472,96.000,2
70,33620,255,255,255,560.426,1341.199,212.391,201.545,47.642,2
71,35263,255,255,255,1194.714,1351.130,220.550,203.574,53.302,2
72,34681,255,255,255,1405.294,1356.845,214.792,205.581,46.037,2
73,40180,255,255,255,319.123,337.576,239.265,213.817,5.944,3
74,40390,255,255,255,550.775,356.598,236.181,217.740,94.241,3
75,40259,255,255,255,775.098,356.182,233.879,219.170,99.135,3
76,37044,255,255,255,992.625,358.093,227.581,207.249,100.977,3
77,27536,255,255,255,1186.602,347.373,200.320,175.020,92.538,3
78,45782,255,255,255,1392.903,375.876,254.052,229.447,52.040,3
79,37634,255,255,255,1120.638,543.767,226.091,211.937,9.648,3
80,36254,255,255,255,894.128,549.744,219.716,210.090,0.542,3
81,28056,255,255,255,296.193,536.404,192.556,185.515,18.616,3
82,31591,255,255,255,681.544,548.438,201.488,199.629,145.058,3
83,29763,255,255,255,486.079,561.438,199.521,189.932,109.448,3
84,39930,255,255,255,1380.012,607.211,230.199,220.854,7.014,3
85,34451,255,255,255,354.937,721.354,216.326,202.770,10.407,3
86,36440,255,255,255,776.428,733.117,220.184,210.719,41.838,3
87,35784,255,255,255,992.272,739.390,220.584,206.550,59.772,3
88,35791,255,255,255,1207.143,743.890,217.937,209.100,126.719,3
89,37578,255,255,255,564.564,758.186,227.784,210.049,83.372,3
90,30107,255,255,255,1416.753,813.481,199.240,192.398,163.198,3
91,29118,255,255,255,302.812,910.962,196.134,189.025,164.750,3
92,37700,255,255,255,854.346,926.689,234.654,204.561,39.839,3
93,40506,255,255,255,1086.204,931.991,239.613,215.238,20.160,3
94,21904,255,255,255,660.413,930.425,168.772,165.247,73.127,3
95,28061,255,255,255,484.735,956.546,198.226,180.241,66.701,3
96,35119,255,255,255,1306.267,979.707,218.102,205.019,141.955,3
97,35709,255,255,255,726.000,1114.411,220.647,206.058,98.334,3
98,38537,255,255,255,939.582,1118.406,235.520,208.334,51.882,3
99,34358,255,255,255,315.408,1107.346,223.300,195.907,31.291,3
100,39162,255,255,255,1163.107,1137.894,233.620,213.435,173.328,3
101,31400,255,255,255,518.491,1143.113,219.185,182.402,33.824,3
102,29918,255,255,255,1415.107,1146.663,209.615,181.728,17.404,3
103,37240,255,255,255,324.840,1317.873,222.529,213.075,138.529,3
