 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,976,255,255,255,1307.790,175.836,0.000,0.000,0.000,1
2,844,255,255,255,1031.675,177.058,0.000,0.000,0.000,1
3,872,255,255,255,878.087,178.779,0.000,0.000,0.000,1
4,755,255,255,255,737.036,179.032,0.000,0.000,0.000,1
5,830,255,255,255,1168.427,179.814,0.000,0.000,0.000,1
6,822,255,255,255,587.288,181.240,0.000,0.000,0.000,1
7,826,255,255,255,452.217,182.370,0.000,0.000,0.000,1
8,977,255,255,255,505.402,1482.146,0.000,0.000,0.000,1
9,924,255,255,255,647.896,1482.713,0.000,0.000,0.000,1
10,922,255,255,255,765.982,1485.984,0.000,0.000,0.000,1
11,863,255,255,255,1040.830,1485.866,0.000,0.000,0.000,1
12,878,255,255,255,899.404,1488.205,0.000,0.000,0.000,1
13,930,255,255,255,1160.266,1491.042,0.000,0.000,0.000,1
14,954,255,255,255,1296.039,1491.298,0.000,0.000,0.000,1
15,828,255,255,255,438.295,186.872,34.235,30.794,116.720,2
16,823,255,255,255,573.677,187.878,32.461,32.281,132.353,2
17,747,255,255,255,723.139,187.687,31.971,29.749,120.796,2
18,845,255,255,255,1017.835,190.073,33.960,31.681,79.816,2
19,869,255,255,255,863.929,189.449,33.330,33.196,88.570,2
20,970,255,255,255,1293.765,192.305,36.883,33.485,89.557,2
21,845,255,255,255,1154.434,194.733,32.887,32.715,2.491,2
22,978,255,255,255,526.245,1470.502,35.860,34.725,22.448,2
23,918,255,255,255,668.679,1473.247,35.019,33.378,38.607,2
24,922,255,255,255,786.909,1478.158,34.670,33.860,51.385,2
25,888,255,255,255,920.114,1482.296,35.997,31.409,104.803,2
26,866,255,255,255,1061.529,1481.865,34.126,32.310,26.085,2
27,932,255,255,255,1180.885,1488.868,35.287,33.629,141.142,2
28,950,255,255,255,1316.753,1490.940,36.060,33.543,154.121,2
29,823,255,255,255,436.744,197.963,34.199,30.640,116.722,3
30,816,255,255,255,571.923,199.157,32.561,31.908,169.388,3
31,737,255,255,255,721.672,199.181,32.282,29.068,119.996,3
32,857,255,255,255,862.504,200.782,33.100,32.966,108.906,3
33,841,255,255,255,1016.249,201.324,33.730,31.746,90.133,3
34,960,255,255,255,1292.210,204.106,36.819,33.197,82.810,3
35,826,255,255,255,1152.978,206.090,32.940,31.927,37.497,3
36,975,255,255,255,526.099,1458.653,36.182,34.310,17.853,3
37,915,255,255,255,668.613,1461.389,35.093,33.198,27.880,3
38,905,255,255,255,786.755,1466.280,34.285,33.609,46.935,3
39,871,255,255,255,919.839,1470.449,35.588,31.162,104.518,3
40,848,255,255,255,1061.480,1470.171,33.539,32.192,23.802,3
41,920,255,255,255,1180.867,1477.241,35.183,33.294,154.354,3
42,943,255,255,255,1316.591,1479.435,35.898,33.446,158.057,3
43,966,255,255,255,1303.706,190.230,36.655,33.555,73.391,4
44,845,255,255,255,1027.758,191.353,33.690,31.935,93.115,4
45,883,255,255,255,874.054,193.062,33.795,33.268,129.525,4
46,749,255,255,255,733.178,193.059,32.321,29.506,120.911,4
47,836,255,255,255,1164.471,194.110,33.207,32.054,23.622,4
48,816,255,255,255,448.534,196.407,34.307,30.284,119.723,4
49,817,255,255,255,583.739,195.669,32.392,32.114,35.591,4
50,984,255,255,255,503.576,1465.311,36.322,34.493,25.940,4
51,918,255,255,255,646.107,1465.911,35.315,33.097,33.366,4
52,926,255,255,255,764.327,1469.117,34.878,33.804,65.868,4
53,861,255,255,255,1038.947,1469.064,33.794,32.440,27.339,4
54,877,255,255,255,897.572,1471.427,35.825,31.169,103.542,4
55,933,255,255,255,1158.505,1474.337,35.584,33.383,148.337,4
56,944,255,255,255,1294.310,1474.688,35.763,33.608,153.375,4
57,972,255,255,255,1321.431,174.497,37.424,33.069,90.653,5
58,860,255,255,255,1045.799,180.255,34.152,32.063,95.502,5
59,841,255,255,255,1182.168,181.077,33.071,32.379,9.952,5
60,910,255,255,255,892.064,184.563,34.263,33.817,137.793,5
61,777,255,255,255,751.014,186.859,32.977,30.000,121.021,5
62,834,255,255,255,601.597,191.542,32.685,32.489,126.813,5
63,835,255,255,255,466.433,194.832,34.486,30.829,118.395,5
64,867,255,255,255,1019.501,1472.681,34.052,32.418,37.808,5
65,959,255,255,255,1274.595,1474.241,35.749,34.156,149.351,5
66,938,255,255,255,626.372,1476.090,35.506,33.636,28.281,5
67,944,255,255,255,1138.677,1476.293,35.578,33.783,156.574,5
68,991,255,255,255,483.988,1477.747,36.256,34.802,29.891,5
69,928,255,255,255,744.686,1477.300,34.850,33.904,56.372,5
