 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1007,255,255,255,193.430,398.559,0.000,0.000,0.000,1
2,1213,255,255,255,189.805,522.252,0.000,0.000,0.000,1
3,1022,255,255,255,1555.385,534.107,0.000,0.000,0.000,1
4,1004,255,255,255,193.912,644.385,0.000,0.000,0.000,1
5,1034,255,255,255,1555.326,660.486,0.000,0.000,0.000,1
6,1010,255,255,255,188.227,776.421,0.000,0.000,0.000,1
7,1061,255,255,255,1555.740,785.339,0.000,0.000,0.000,1
8,1061,255,255,255,191.666,889.016,0.000,0.000,0.000,1
9,1274,255,255,255,1552.230,896.553,0.000,0.000,0.000,1
10,1068,255,255,255,1554.199,1024.083,0.000,0.000,0.000,1
11,901,255,255,255,191.449,1022.237,0.000,0.000,0.000,1
12,1046,255,255,255,1551.263,1140.168,0.000,0.000,0.000,1
13,1185,255,255,255,191.127,1147.743,0.000,0.000,0.000,1
14,1030,255,255,255,1554.329,1275.306,0.000,0.000,0.000,1
15,1024,255,255,255,177.920,340.862,40.775,31.976,15.436,2
16,1214,255,255,255,180.054,464.425,42.109,36.708,8.966,2
17,1013,255,255,255,190.266,586.221,37.840,34.086,76.735,2
18,1030,255,255,255,1533.215,593.928,40.164,32.652,45.578,2
19,1033,255,255,255,190.834,718.262,39.700,33.130,41.203,2
20,1036,255,255,255,1539.271,720.058,38.713,34.073,29.818,2
21,1067,255,255,255,199.778,830.988,39.210,34.648,174.436,2
22,1060,255,255,255,1546.177,844.509,38.442,35.108,59.146,2
23,1266,255,255,255,1547.712,955.837,42.667,37.779,178.016,2
24,911,255,255,255,205.743,964.426,35.887,32.322,30.372,2
25,1059,255,255,255,1556.000,1083.316,38.034,35.452,73.173,2
26,1194,255,255,255,211.393,1089.420,46.188,32.914,57.438,2
27,1051,255,255,255,1559.038,1199.668,38.153,35.074,45.027,2
28,1031,255,255,255,1568.662,1334.261,36.897,35.578,77.387,2
29,1035,255,255,255,144.315,335.257,40.415,32.606,16.835,3
30,1214,255,255,255,147.066,458.603,42.071,36.741,14.001,3
31,1018,255,255,255,157.402,580.461,37.890,34.209,74.478,3
32,1031,255,255,255,1559.968,595.615,40.186,32.666,46.886,3
33,1031,255,255,255,158.284,712.604,39.618,33.134,44.619,3
34,1049,255,255,255,1566.183,722.075,38.674,34.536,39.735,3
35,1082,255,255,255,167.116,825.177,39.406,34.960,176.501,3
36,1054,255,255,255,1573.004,846.380,38.357,34.987,57.047,3
37,1279,255,255,255,1575.161,957.649,42.737,38.104,175.033,3
38,917,255,255,255,173.503,958.544,36.268,32.192,28.471,3
39,1195,255,255,255,179.526,1083.844,46.111,32.997,57.760,3
40,1081,255,255,255,1583.560,1085.183,38.647,35.614,73.064,3
41,1052,255,255,255,1586.558,1200.941,38.173,35.089,38.315,3
42,1043,255,255,255,1596.586,1335.914,37.237,35.663,80.242,3
43,1012,255,255,255,151.579,391.932,40.225,32.033,14.257,4
44,1191,255,255,255,148.610,515.602,41.854,36.232,9.605,4
45,1001,255,255,255,1584.263,533.433,39.978,31.881,41.177,4
46,1001,255,255,255,153.070,637.871,37.340,34.132,75.549,4
47,1023,255,255,255,1584.260,659.997,38.323,33.988,26.966,4
48,986,255,255,255,147.753,769.864,38.542,32.572,41.275,4
49,1037,255,255,255,1585.121,784.541,38.069,34.683,59.426,4
50,1043,255,255,255,151.511,882.482,38.908,34.131,172.627,4
51,1247,255,255,255,1581.705,895.741,42.203,37.621,175.661,4
52,906,255,255,255,151.783,1015.847,35.768,32.251,25.035,4
53,1049,255,255,255,1583.904,1023.526,37.829,35.307,69.152,4
54,1184,255,255,255,151.674,1141.362,46.226,32.612,54.740,4
55,1011,255,255,255,1581.490,1139.595,37.112,34.685,36.734,4
56,1015,255,255,255,1584.755,1274.533,36.655,35.257,75.533,4
57,1001,255,255,255,173.609,455.419,40.220,31.688,12.600,5
58,1013,255,255,255,1607.317,476.886,39.902,32.324,40.674,5
59,1220,255,255,255,164.674,578.648,42.026,36.962,4.736,5
60,1026,255,255,255,1601.492,603.111,38.301,34.108,33.735,5
61,1011,255,255,255,163.300,700.845,37.752,34.098,78.104,5
62,1045,255,255,255,1596.338,727.437,38.278,34.760,57.069,5
63,1014,255,255,255,151.658,832.098,39.441,32.734,35.316,5
64,1255,255,255,255,1587.376,838.247,42.570,37.536,172.670,5
65,1054,255,255,255,150.093,944.787,39.075,34.344,171.179,5
