 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,41293,255,255,255,852.007,348.488,0,0,0,1
2,43057,255,255,255,325.558,346.363,0,0,0,1
3,40181,255,255,255,548.093,343.741,0,0,0,1
4,37608,255,255,255,1077.479,339.557,0,0,0,1
5,45833,255,255,255,1390.458,346.811,0,0,0,1
6,26215,255,255,255,1221.215,480.748,0,0,0,1
7,31200,255,255,255,696.242,496.363,0,0,0,1
8,34524,255,255,255,1038.998,550.567,0,0,0,1
9,29439,255,255,255,504.492,550.176,0,0,0,1
10,39505,255,255,255,1401.114,572.526,0,0,0,1
11,28410,255,255,255,310.835,561.195,0,0,0,1
12,35937,255,255,255,846.465,632.187,0,0,0,1
13,35297,255,255,255,1211.433,685.156,0,0,0,1
14,37821,255,255,255,536.283,752.204,0,0,0,1
15,33868,255,255,255,1015.923,760.069,0,0,0,1
16,35332,255,255,255,319.780,759.732,0,0,0,1
17,30442,255,255,255,1411.111,779.342,0,0,0,1
18,37046,255,255,255,739.804,821.624,0,0,0,1
19,40288,255,255,255,1176.007,903.558,0,0,0,1
20,36686,255,255,255,907.988,948.150,0,0,0,1
21,29862,255,255,255,499.846,964.569,0,0,0,1
22,29044,255,255,255,309.566,958.966,0,0,0,1
23,35440,255,255,255,1387.288,978.123,0,0,0,1
24,21688,255,255,255,673.024,1000.790,0,0,0,1
25,39481,255,255,255,1213.348,1122.573,0,0,0,1
26,38545,255,255,255,995.722,1136.291,0,0,0,1
27,33961,255,255,255,354.594,1147.656,0,0,0,1
28,34794,255,255,255,782.091,1156.594,0,0,0,1
29,34556,255,255,255,572.263,1159.002,0,0,0,1
30,28462,255,255,255,1411.799,1171.226,0,0,0,1
31,35719,255,255,255,1186.234,1348.274,0,0,0,1
32,36993,255,255,255,322.748,1347.601,0,0,0,1
33,37024,255,255,255,969.894,1353.184,0,0,0,1
34,31942,255,255,255,537.749,1357.451,0,0,0,1
35,32582,255,255,255,749.412,1359.814,0,0,0,1
36,32925,255,255,255,1395.164,1360.746,0,0,0,1
37,36979,255,255,255,307.363,334.622,222.671,211.447,32.286,2
38,39538,255,255,255,523.759,355.347,231.459,217.496,90.397,2
39,41120,255,255,255,849.218,375.617,236.901,221.002,107.150,2
40,37243,255,255,255,1072.419,374.455,219.854,215.685,8.898,2
41,45259,255,255,255,1360.624,394.321,254.166,226.724,163.459,2
42,30627,255,255,255,675.759,496.571,204.663,190.535,67.149,2
43,25292,255,255,255,1202.109,527.030,187.359,171.877,83.875,2
44,27801,255,255,255,301.740,528.690,194.988,181.536,173.881,2
45,29114,255,255,255,491.406,561.602,197.590,187.606,156.275,2
46,33558,255,255,255,1023.297,577.407,213.739,199.904,119.797,2
47,35279,255,255,255,828.251,621.175,218.906,205.196,88.855,2
48,38646,255,255,255,1380.140,613.703,234.594,209.748,16.055,2
49,34661,255,255,255,321.815,719.570,217.504,202.901,157.762,2
50,35048,255,255,255,1187.405,725.727,216.455,206.161,133.121,2
51,36955,255,255,255,532.715,757.665,224.108,209.955,51.640,2
52,33585,255,255,255,981.885,775.972,210.758,202.895,152.111,2
53,36485,255,255,255,737.708,811.787,221.089,210.115,18.307,2
54,29903,255,255,255,1397.620,809.827,206.203,184.641,176.919,2
55,28707,255,255,255,318.722,913.951,195.552,186.912,2.837,2
56,40090,255,255,255,1131.982,932.672,238.760,213.788,11.446,2
57,34723,255,255,255,883.591,957.866,219.462,201.450,22.176,2
58,28691,255,255,255,502.469,960.166,204.719,178.442,40.561,2
59,35402,255,255,255,1398.529,1001.346,224.398,200.872,174.720,2
60,21385,255,255,255,677.925,989.403,167.423,162.632,179.221,2
61,33859,255,255,255,346.461,1101.907,224.620,191.927,1.283,2
62,38231,255,255,255,999.394,1124.586,234.944,207.186,41.951,2
63,38915,255,255,255,1216.981,1132.576,231.413,214.111,54.402,2
64,33589,255,255,255,782.250,1140.982,208.857,204.766,171.421,2
65,31503,255,255,255,566.891,1134.033,219.451,182.779,178.022,2
66,27992,255,255,255,1416.105,1186.867,207.516,171.748,5.908,2
67,36738,255,255,255,354.237,1299.491,223.152,209.616,7.816,2
68,31574,255,255,255,568.066,1320.737,205.671,195.464,175.915,2
69,36813,255,255,255,997.459,1336.457,222.639,210.528,2.939,2
70,32030,255,255,255,778.180,1335.261,213.690,190.846,0.188,2
71,33825,255,255,255,1211.810,1347.698,211.243,203.876,50.399,2
