 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,983,255,255,255,1311.392,183.986,0.000,0.000,0.000,1
2,856,255,255,255,1035.457,185.558,0.000,0.000,0.000,1
3,774,255,255,255,740.770,187.393,0.000,0.000,0.000,1
4,909,255,255,255,881.686,187.360,0.000,0.000,0.000,1
5,849,255,255,255,1172.030,188.227,0.000,0.000,0.000,1
6,841,255,255,255,455.801,190.313,0.000,0.000,0.000,1
7,836,255,255,255,591.106,189.665,0.000,0.000,0.000,1
8,996,255,255,255,508.218,1482.242,0.000,0.000,0.000,1
9,940,255,255,255,650.577,1483.109,0.000,0.000,0.000,1
10,932,255,255,255,768.914,1486.259,0.000,0.000,0.000,1
11,877,255,255,255,1043.822,1486.082,0.000,0.000,0.000,1
12,890,255,255,255,902.252,1488.347,0.000,0.000,0.000,1
13,951,255,255,255,1163.044,1491.530,0.000,0.000,0.000,1
14,961,255,255,255,1298.822,1491.798,0.000,0.000,0.000,1
15,842,255,255,255,403.109,197.865,34.184,31.362,117.367,2
16,849,255,255,255,538.043,203.438,32.918,32.839,5.031,2
17,796,255,255,255,687.842,208.307,33.294,30.441,109.101,2
18,906,255,255,255,828.727,215.017,34.080,33.848,65.964,2
19,889,255,255,255,982.433,220.410,34.836,32.493,88.146,2
20,1000,255,255,255,1257.762,232.257,37.655,33.814,83.737,2
21,858,255,255,255,1118.452,229.787,33.164,32.941,170.726,2
22,996,255,255,255,569.643,1442.521,36.472,34.770,25.153,2
23,953,255,255,255,711.480,1450.010,35.891,33.807,31.028,2
24,937,255,255,255,829.721,1459.057,34.940,34.145,37.745,2
25,893,255,255,255,962.578,1467.462,36.020,31.566,103.867,2
26,879,255,255,255,1104.029,1472.080,34.294,32.635,23.849,2
27,938,255,255,255,1223.224,1483.010,35.211,33.918,150.113,2
28,960,255,255,255,1359.078,1489.768,36.085,33.873,153.792,2
29,863,255,255,255,400.060,227.055,34.550,31.803,116.027,3
30,867,255,255,255,535.258,232.756,33.558,32.895,153.055,3
31,793,255,255,255,685.102,237.919,33.030,30.569,114.615,3
32,930,255,255,255,825.386,244.658,34.573,34.250,161.912,3
33,895,255,255,255,979.300,250.532,34.548,32.985,86.202,3
34,870,255,255,255,1115.430,259.989,33.650,32.918,110.110,3
35,1013,255,255,255,1254.784,262.718,37.481,34.412,88.257,3
36,998,255,255,255,568.097,1409.446,36.482,34.830,15.108,3
37,938,255,255,255,710.401,1417.071,35.625,33.524,24.629,3
38,943,255,255,255,828.662,1426.199,35.070,34.236,48.047,3
39,903,255,255,255,961.479,1434.854,36.373,31.609,101.088,3
40,881,255,255,255,1102.877,1439.532,34.240,32.761,27.807,3
41,942,255,255,255,1222.138,1450.620,35.798,33.504,154.266,3
42,954,255,255,255,1357.639,1457.419,35.976,33.764,148.191,3
