 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,975,255,255,255,202.922,405.258,0.000,0.000,0.000,1
2,1166,255,255,255,199.566,528.888,0.000,0.000,0.000,1
3,999,255,255,255,1550.441,542.675,0.000,0.000,0.000,1
4,979,255,255,255,203.581,651.088,0.000,0.000,0.000,1
5,998,255,255,255,1550.390,668.955,0.000,0.000,0.000,1
6,984,255,255,255,198.138,783.196,0.000,0.000,0.000,1
7,1014,255,255,255,1551.215,793.850,0.000,0.000,0.000,1
8,1039,255,255,255,201.721,895.798,0.000,0.000,0.000,1
9,1222,255,255,255,1547.822,904.987,0.000,0.000,0.000,1
10,881,255,255,255,201.791,1029.209,0.000,0.000,0.000,1
11,1036,255,255,255,1549.867,1032.764,0.000,0.000,0.000,1
12,1007,255,255,255,1547.257,1148.748,0.000,0.000,0.000,1
13,1164,255,255,255,201.227,1154.394,0.000,0.000,0.000,1
14,1010,255,255,255,1550.758,1284.039,0.000,0.000,0.000,1
15,1000,255,255,255,199.023,388.923,40.305,31.590,15.008,2
16,1181,255,255,255,197.633,512.405,41.443,36.284,9.811,2
17,1016,255,255,255,1548.601,561.023,39.924,32.402,43.053,2
18,1000,255,255,255,203.390,634.654,37.852,33.637,79.740,2
19,1016,255,255,255,1550.357,687.429,38.220,33.847,35.522,2
20,1015,255,255,255,199.877,766.830,39.576,32.655,42.962,2
21,1039,255,255,255,1553.179,811.986,38.038,34.778,64.743,2
22,1046,255,255,255,205.028,879.232,38.409,34.674,175.258,2
23,1235,255,255,255,1551.322,923.038,42.191,37.270,173.384,2
24,894,255,255,255,207.015,1012.695,35.596,31.978,25.557,2
25,1059,255,255,255,1555.240,1050.865,38.382,35.130,72.844,2
26,1168,255,255,255,208.377,1138.179,46.034,32.305,56.073,2
27,1025,255,255,255,1554.416,1166.885,36.987,35.285,43.404,2
28,1027,255,255,255,1559.707,1302.143,36.553,35.773,91.108,2
29,987,255,255,255,187.274,387.332,40.031,31.393,13.921,3
30,1187,255,255,255,185.896,510.855,41.701,36.242,5.852,3
31,998,255,255,255,1557.810,561.060,40.066,31.715,45.189,3
32,978,255,255,255,191.981,632.941,37.386,33.307,80.223,3
33,1029,255,255,255,1559.708,687.714,38.476,34.052,32.125,3
34,994,255,255,255,188.504,765.128,39.120,32.352,41.078,3
35,1020,255,255,255,1562.474,812.200,37.560,34.577,58.703,3
36,1043,255,255,255,193.818,877.680,38.747,34.273,173.169,3
37,1233,255,255,255,1560.710,923.468,42.125,37.268,172.887,3
38,881,255,255,255,195.691,1011.080,35.689,31.430,21.896,3
39,1054,255,255,255,1564.932,1051.024,38.001,35.314,62.175,3
40,1166,255,255,255,197.297,1136.565,45.671,32.507,55.576,3
41,1014,255,255,255,1563.969,1167.149,37.194,34.711,34.966,3
42,1012,255,255,255,1569.389,1302.221,36.539,35.264,88.308,3
43,954,255,255,255,184.839,404.435,39.580,30.689,14.925,4
44,1156,255,255,255,181.465,528.089,41.165,35.755,5.232,4
45,965,255,255,255,1564.896,541.741,39.288,31.273,43.356,4
46,976,255,255,255,185.408,650.433,37.468,33.166,77.876,4
47,979,255,255,255,1564.618,668.599,37.732,33.035,31.840,4
48,977,255,255,255,180.193,782.305,39.097,31.817,41.042,4
49,1015,255,255,255,1565.539,792.960,37.440,34.518,63.763,4
50,1027,255,255,255,183.806,895.040,39.164,33.389,172.631,4
51,1209,255,255,255,1562.093,904.200,41.656,36.954,173.190,4
52,856,255,255,255,183.633,1028.251,34.833,31.289,30.653,4
53,1007,255,255,255,1564.154,1031.858,36.933,34.715,68.934,4
54,993,255,255,255,1561.480,1147.875,36.683,34.466,34.245,4
55,1144,255,255,255,183.142,1153.753,45.335,32.129,55.569,4
56,1001,255,255,255,1564.757,1282.873,36.430,34.985,89.302,4
57,957,255,255,255,189.755,422.904,39.327,30.984,13.974,5
58,988,255,255,255,1574.164,521.867,39.181,32.107,42.304,5
59,1160,255,255,255,184.426,546.490,41.081,35.952,7.511,5
60,997,255,255,255,1572.080,648.838,37.794,33.587,31.546,5
61,967,255,255,255,186.720,669.155,36.875,33.389,72.282,5
62,1006,255,255,255,1570.988,773.051,37.643,34.027,60.407,5
63,975,255,255,255,179.299,800.798,38.625,32.140,39.267,5
64,1210,255,255,255,1565.383,884.060,41.749,36.902,173.402,5
65,1019,255,255,255,181.095,913.359,38.644,33.574,170.827,5
