 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,30360,255,255,255,330.240,328.423,0,0,0,1
2,29242,255,255,255,1199.800,331.253,0,0,0,1
3,41061,255,255,255,757.715,341.813,0,0,0,1
4,40078,255,255,255,987.663,344.294,0,0,0,1
5,38344,255,255,255,1402.006,350.259,0,0,0,1
6,39427,255,255,255,531.522,391.988,0,0,0,1
7,39164,255,255,255,1114.057,523.196,0,0,0,1
8,31678,255,255,255,330.365,521.142,0,0,0,1
9,28553,255,255,255,691.769,533.958,0,0,0,1
10,36585,255,255,255,895.992,552.163,0,0,0,1
11,35607,255,255,255,1333.539,557.526,0,0,0,1
12,35986,255,255,255,517.055,618.127,0,0,0,1
13,39040,255,255,255,758.227,723.993,0,0,0,1
14,36294,255,255,255,1191.032,724.346,0,0,0,1
15,34428,255,255,255,332.569,715.127,0,0,0,1
16,34476,255,255,255,1406.369,751.205,0,0,0,1
17,33491,255,255,255,977.908,753.282,0,0,0,1
18,46385,255,255,255,509.278,853.355,0,0,0,1
19,21799,255,255,255,304.138,892.046,0,0,0,1
20,28619,255,255,255,1127.621,909.836,0,0,0,1
21,36988,255,255,255,713.012,934.283,0,0,0,1
22,38767,255,255,255,1342.853,949.920,0,0,0,1
23,38455,255,255,255,928.471,966.688,0,0,0,1
24,30706,255,255,255,325.259,1067.642,0,0,0,1
25,41360,255,255,255,539.338,1088.097,0,0,0,1
26,35826,255,255,255,1182.498,1098.275,0,0,0,1
27,35046,255,255,255,789.242,1132.062,0,0,0,1
28,35445,255,255,255,1395.162,1152.831,0,0,0,1
29,30335,255,255,255,989.678,1172.292,0,0,0,1
30,31721,255,255,255,319.155,1263.295,0,0,0,1
31,33874,255,255,255,645.009,1280.456,0,0,0,1
32,31452,255,255,255,1209.973,1307.856,0,0,0,1
33,34550,255,255,255,831.577,1361.196,0,0,0,1
34,36363,255,255,255,1401.285,1364.993,0,0,0,1
35,31272,255,255,255,1030.228,1369.643,0,0,0,1
36,29068,255,255,255,467.619,1373.435,0,0,0,1
37,30070,255,255,255,324.847,330.941,198.352,193.022,91.938,2
38,41085,255,255,255,755.509,348.947,231.427,226.036,170.190,2
39,39933,255,255,255,985.763,354.556,235.481,215.917,37.574,2
40,29376,255,255,255,1196.802,344.858,199.647,187.344,89.885,2
41,38289,255,255,255,1398.172,366.000,230.410,211.584,110.218,2
42,39432,255,255,255,527.433,393.991,227.507,220.680,46.576,2
43,39058,255,255,255,1108.827,536.278,227.746,218.358,24.011,2
44,31415,255,255,255,328.880,520.940,215.921,185.247,8.319,2
45,28539,255,255,255,688.704,539.865,197.550,183.938,145.575,2
46,36318,255,255,255,891.344,557.540,220.889,209.343,114.376,2
47,35205,255,255,255,1327.931,569.087,219.456,204.252,2.731,2
48,35884,255,255,255,514.507,619.998,227.046,201.232,113.343,2
