 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,980,255,255,255,1314.847,187.728,0.000,0.000,0.000,1
2,845,255,255,255,1038.811,189.167,0.000,0.000,0.000,1
3,888,255,255,255,885.236,190.676,0.000,0.000,0.000,1
4,775,255,255,255,744.228,190.781,0.000,0.000,0.000,1
5,846,255,255,255,1175.577,191.655,0.000,0.000,0.000,1
6,848,255,255,255,459.160,194.008,0.000,0.000,0.000,1
7,833,255,255,255,594.523,192.935,0.000,0.000,0.000,1
8,991,255,255,255,512.887,1494.295,0.000,0.000,0.000,1
9,927,255,255,255,655.331,1494.886,0.000,0.000,0.000,1
10,938,255,255,255,773.607,1498.002,0.000,0.000,0.000,1
11,872,255,255,255,1048.439,1497.803,0.000,0.000,0.000,1
12,896,255,255,255,906.959,1500.183,0.000,0.000,0.000,1
13,940,255,255,255,1167.748,1503.055,0.000,0.000,0.000,1
14,971,255,255,255,1303.698,1503.420,0.000,0.000,0.000,1
15,847,255,255,255,445.506,197.857,34.511,31.249,118.750,2
16,842,255,255,255,580.533,198.657,32.917,32.569,153.442,2
17,767,255,255,255,730.298,198.658,32.736,29.832,125.886,2
18,852,255,255,255,1024.965,200.941,33.403,32.477,67.927,2
19,983,255,255,255,1301.029,203.737,37.218,33.628,77.404,2
20,875,255,255,255,871.333,200.633,34.142,32.631,177.976,2
21,857,255,255,255,1161.639,205.903,33.330,32.738,31.101,2
22,1007,255,255,255,533.707,1482.658,36.522,35.106,25.613,2
23,948,255,255,255,676.255,1485.213,35.793,33.722,31.311,2
24,945,255,255,255,794.301,1490.174,35.281,34.104,48.442,2
25,896,255,255,255,927.584,1494.177,35.929,31.752,103.642,2
26,884,255,255,255,1069.086,1493.812,34.195,32.916,25.245,2
27,968,255,255,255,1188.562,1500.796,36.088,34.153,142.628,2
28,970,255,255,255,1324.400,1503.088,36.277,34.045,149.891,2
29,835,255,255,255,443.772,208.201,34.194,31.092,119.173,3
30,847,255,255,255,579.204,209.269,33.160,32.523,152.383,3
31,774,255,255,255,728.826,209.517,32.436,30.383,110.486,3
