 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1023,255,255,255,202.763,400.867,0.000,0.000,0.000,1
2,1240,255,255,255,199.629,524.420,0.000,0.000,0.000,1
3,1030,255,255,255,1552.394,538.740,0.000,0.000,0.000,1
4,1025,255,255,255,203.854,646.853,0.000,0.000,0.000,1
5,1025,255,255,255,1552.395,665.577,0.000,0.000,0.000,1
6,1042,255,255,255,198.593,778.648,0.000,0.000,0.000,1
7,1039,255,255,255,1553.271,790.036,0.000,0.000,0.000,1
8,1088,255,255,255,202.093,891.250,0.000,0.000,0.000,1
9,1261,255,255,255,1549.612,901.172,0.000,0.000,0.000,1
10,928,255,255,255,202.141,1024.680,0.000,0.000,0.000,1
11,1061,255,255,255,1551.726,1028.645,0.000,0.000,0.000,1
12,1048,255,255,255,1549.244,1144.899,0.000,0.000,0.000,1
13,1208,255,255,255,201.834,1149.891,0.000,0.000,0.000,1
14,1055,255,255,255,1552.545,1279.689,0.000,0.000,0.000,1
15,1034,255,255,255,186.755,344.473,40.996,32.114,16.148,2
16,1230,255,255,255,188.974,468.107,41.910,37.368,10.344,2
17,1015,255,255,255,198.748,590.122,37.976,34.030,73.504,2
18,1013,255,255,255,1536.861,596.803,39.839,32.375,45.502,2
19,1046,255,255,255,199.314,722.212,39.729,33.522,48.457,2
20,1044,255,255,255,1542.633,723.250,38.622,34.417,37.189,2
21,1077,255,255,255,208.205,834.676,39.517,34.701,175.839,2
22,1037,255,255,255,1549.362,847.543,38.003,34.743,63.967,2
23,1263,255,255,255,1550.929,958.869,42.786,37.585,177.599,2
24,920,255,255,255,214.318,967.903,35.955,32.579,27.580,2
25,1080,255,255,255,1558.934,1086.294,38.700,35.532,73.511,2
26,1213,255,255,255,219.765,1093.224,46.441,33.256,58.652,2
27,1074,255,255,255,1561.778,1202.580,38.114,35.878,45.616,2
28,1058,255,255,255,1571.556,1337.014,37.525,35.898,71.298,2
29,1034,255,255,255,150.191,338.801,41.001,32.110,15.422,3
30,1227,255,255,255,152.493,462.437,42.134,37.078,10.794,3
31,1028,255,255,255,163.025,584.268,38.006,34.439,79.820,3
32,1037,255,255,255,1566.152,598.819,40.477,32.620,45.767,3
33,1040,255,255,255,163.770,716.561,39.600,33.438,43.133,3
34,1036,255,255,255,1572.269,725.252,38.452,34.305,33.618,3
35,1084,255,255,255,172.887,828.944,39.472,34.966,175.454,3
36,1047,255,255,255,1579.251,849.497,38.432,34.687,61.484,3
37,1274,255,255,255,1581.071,960.752,43.109,37.628,175.421,3
38,933,255,255,255,179.231,962.161,36.434,32.605,27.494,3
39,1221,255,255,255,185.045,1087.498,46.710,33.282,57.113,3
40,1090,255,255,255,1589.415,1088.122,38.485,36.061,80.167,3
41,1059,255,255,255,1592.375,1204.189,38.134,35.359,41.848,3
42,1079,255,255,255,1602.128,1338.965,37.892,36.256,97.167,3
43,1028,255,255,255,159.982,401.092,40.914,31.991,12.370,4
44,1237,255,255,255,156.632,524.679,41.999,37.501,6.790,4
45,1037,255,255,255,1591.826,537.674,40.184,32.858,44.542,4
46,1032,255,255,255,160.689,646.830,38.272,34.333,80.390,4
47,1059,255,255,255,1591.626,663.992,38.726,34.818,35.092,4
48,1042,255,255,255,155.185,779.022,40.046,33.130,40.998,4
49,1059,255,255,255,1592.440,788.475,38.566,34.963,60.929,4
50,1094,255,255,255,158.718,891.543,39.528,35.239,170.671,4
51,1291,255,255,255,1588.596,899.851,42.967,38.257,170.243,4
52,933,255,255,255,158.372,1025.065,36.535,32.515,27.363,4
53,1073,255,255,255,1590.537,1027.426,38.147,35.814,69.347,4
54,1053,255,255,255,1587.671,1143.443,37.853,35.419,37.620,4
55,1251,255,255,255,158.252,1150.417,47.334,33.651,55.171,4
56,1076,255,255,255,1590.990,1278.684,37.534,36.501,88.454,4
57,1021,255,255,255,178.120,458.389,40.662,31.970,9.525,5
58,1033,255,255,255,1610.452,481.036,40.590,32.403,39.659,5
59,1234,255,255,255,168.833,581.545,42.489,36.979,6.296,5
60,1039,255,255,255,1604.502,607.094,38.680,34.201,30.953,5
61,1027,255,255,255,167.432,704.181,38.210,34.222,76.964,5
62,1066,255,255,255,1599.649,731.711,38.590,35.172,60.053,5
63,1042,255,255,255,155.870,835.446,39.654,33.458,36.994,5
64,1260,255,255,255,1590.822,842.601,42.912,37.386,169.047,5
65,1105,255,255,255,154.452,947.981,40.056,35.124,170.398,5
66,1068,255,255,255,1587.151,970.218,38.264,35.538,71.111,5
67,933,255,255,255,148.183,1081.146,36.192,32.823,23.732,5
68,1047,255,255,255,1579.287,1086.145,37.662,35.396,37.632,5
69,1223,255,255,255,142.089,1206.431,46.801,33.272,52.830,5
70,1051,255,255,255,1576.284,1220.780,37.252,35.922,70.614,5
71,1018,255,255,255,213.741,459.011,40.610,31.917,11.241,6
72,1041,255,255,255,1574.306,483.904,40.455,32.763,42.068,6
73,1224,255,255,255,204.678,582.366,42.123,36.998,4.259,6
74,1036,255,255,255,1568.440,610.065,38.685,34.097,29.758,6
75,1031,255,255,255,203.118,704.466,38.453,34.138,73.947,6
