 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,30470,255,255,255,319.724,326.457,0,0,0,1
2,40326,255,255,255,527.630,343.789,0,0,0,1
3,41039,255,255,255,755.032,341.134,0,0,0,1
4,27606,255,255,255,1161.083,321.698,0,0,0,1
5,38036,255,255,255,1405.948,382.716,0,0,0,1
6,37884,255,255,255,971.157,388.693,0,0,0,1
7,34594,255,255,255,1223.375,504.954,0,0,0,1
8,28766,255,255,255,634.694,522.401,0,0,0,1
9,29619,255,255,255,316.647,525.111,0,0,0,1
10,36023,255,255,255,826.664,555.333,0,0,0,1
11,39102,255,255,255,1032.726,612.984,0,0,0,1
12,35179,255,255,255,1408.505,607.716,0,0,0,1
13,36672,255,255,255,474.978,645.170,0,0,0,1
14,35228,255,255,255,1224.878,715.098,0,0,0,1
15,39031,255,255,255,662.234,741.133,0,0,0,1
16,35770,255,255,255,873.769,766.124,0,0,0,1
17,34310,255,255,255,322.553,785.423,0,0,0,1
18,39412,255,255,255,1401.798,834.839,0,0,0,1
19,31075,255,255,255,1066.847,845.770,0,0,0,1
20,28363,255,255,255,1232.073,958.005,0,0,0,1
21,37983,255,255,255,652.869,968.341,0,0,0,1
22,34292,255,255,255,872.069,977.082,0,0,0,1
23,45875,255,255,255,397.504,992.568,0,0,0,1
24,29326,255,255,255,1063.307,1042.792,0,0,0,1
25,33737,255,255,255,1408.612,1052.501,0,0,0,1
26,37938,255,255,255,552.936,1158.812,0,0,0,1
27,35957,255,255,255,773.208,1161.203,0,0,0,1
28,35788,255,255,255,1238.202,1169.681,0,0,0,1
29,21938,255,255,255,307.958,1174.543,0,0,0,1
30,30457,255,255,255,1047.203,1238.934,0,0,0,1
31,35388,255,255,255,884.779,1355.651,0,0,0,1
32,37110,255,255,255,1401.048,1357.242,0,0,0,1
33,29737,255,255,255,696.031,1355.724,0,0,0,1
34,31398,255,255,255,510.932,1360.808,0,0,0,1
35,30452,255,255,255,318.622,1359.288,0,0,0,1
36,30245,255,255,255,1191.445,1370.953,0,0,0,1
37,30256,255,255,255,303.765,327.931,198.731,193.846,90.199,2
38,40104,255,255,255,508.900,357.124,234.895,217.383,72.369,2
39,40288,255,255,255,739.048,359.522,228.508,224.484,160.806,2
40,27231,255,255,255,1144.671,361.192,191.661,180.900,25.725,2
41,38228,255,255,255,1383.097,402.449,229.819,211.790,96.530,2
42,37610,255,255,255,951.817,402.015,235.668,203.195,100.580,2
43,29591,255,255,255,306.981,524.017,204.901,183.876,60.595,2
44,27819,255,255,255,624.140,528.835,193.244,183.293,108.365,2
45,33339,255,255,255,1212.818,534.553,213.077,199.217,19.624,2
46,35539,255,255,255,813.787,570.759,218.578,207.018,76.842,2
47,39673,255,255,255,1020.670,628.657,233.827,216.028,103.706,2
48,34451,255,255,255,1396.793,625.510,211.352,207.542,48.438,2
49,34901,255,255,255,466.756,635.804,225.154,197.364,104.115,2
50,38455,255,255,255,651.153,734.530,235.944,207.517,53.289,2
51,35002,255,255,255,1213.847,739.504,212.841,209.386,116.257,2
52,34066,255,255,255,319.210,770.765,218.408,198.593,99.971,2
53,35265,255,255,255,859.584,776.751,216.981,206.934,15.330,2
54,38786,255,255,255,1400.005,842.074,229.117,215.540,43.583,2
55,30793,255,255,255,1052.766,857.155,204.681,191.551,130.872,2
56,44968,255,255,255,440.129,947.081,264.558,216.418,30.772,2
