 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,983,255,255,255,1314.667,184.068,0.000,0.000,0.000,1
2,859,255,255,255,1038.763,185.194,0.000,0.000,0.000,1
3,876,255,255,255,884.888,186.768,0.000,0.000,0.000,1
4,766,255,255,255,744.090,186.834,0.000,0.000,0.000,1
5,842,255,255,255,1175.384,188.001,0.000,0.000,0.000,1
6,839,255,255,255,459.172,190.104,0.000,0.000,0.000,1
7,835,255,255,255,594.499,189.077,0.000,0.000,0.000,1
8,991,255,255,255,513.831,1489.662,0.000,0.000,0.000,1
9,930,255,255,255,656.319,1490.210,0.000,0.000,0.000,1
10,927,255,255,255,774.439,1493.514,0.000,0.000,0.000,1
11,876,255,255,255,1049.151,1493.566,0.000,0.000,0.000,1
12,908,255,255,255,907.761,1495.725,0.000,0.000,0.000,1
13,946,255,255,255,1168.668,1498.804,0.000,0.000,0.000,1
14,969,255,255,255,1304.537,1498.930,0.000,0.000,0.000,1
15,829,255,255,255,407.629,198.506,34.215,30.850,114.896,2
16,819,255,255,255,542.837,203.976,32.397,32.188,158.481,2
17,755,255,255,255,692.636,208.888,32.438,29.635,114.203,2
18,855,255,255,255,833.410,215.293,33.147,32.842,139.470,2
19,852,255,255,255,987.176,220.493,33.986,31.919,80.050,2
20,950,255,255,255,1262.686,232.471,36.993,32.698,77.849,2
21,834,255,255,255,1123.511,230.005,33.011,32.168,30.790,2
22,980,255,255,255,573.500,1449.519,36.043,34.619,28.976,2
23,916,255,255,255,715.674,1457.022,35.309,33.031,34.952,2
24,921,255,255,255,833.834,1465.881,34.703,33.792,39.520,2
25,888,255,255,255,966.849,1474.380,36.018,31.391,103.329,2
26,872,255,255,255,1108.167,1478.739,34.142,32.519,25.593,2
27,940,255,255,255,1227.294,1489.586,35.508,33.706,143.631,2
28,963,255,255,255,1363.211,1496.337,36.221,33.852,142.180,2
29,860,255,255,255,404.617,230.634,34.931,31.347,111.710,3
30,852,255,255,255,540.034,236.353,33.122,32.751,153.632,3
31,789,255,255,255,689.489,241.447,33.006,30.436,114.958,3
32,908,255,255,255,830.285,248.387,34.259,33.746,166.010,3
33,882,255,255,255,984.012,253.956,34.451,32.597,83.322,3
34,845,255,255,255,1120.307,263.420,33.121,32.484,11.784,3
35,1001,255,255,255,1259.415,266.296,37.313,34.158,79.977,3
36,993,255,255,255,572.036,1413.361,36.272,34.856,27.030,3
37,932,255,255,255,714.068,1421.010,35.359,33.560,35.827,3
38,934,255,255,255,832.320,1430.014,34.936,34.039,32.002,3
39,894,255,255,255,965.364,1438.592,35.900,31.707,100.642,3
40,877,255,255,255,1106.826,1443.231,34.341,32.516,17.945,3
41,944,255,255,255,1225.809,1454.184,35.620,33.744,152.742,3
42,952,255,255,255,1361.585,1461.102,35.961,33.706,147.143,3
43,981,255,255,255,1312.939,223.083,36.909,33.841,83.328,4
44,865,255,255,255,1037.214,224.608,34.160,32.241,89.781,4
45,863,255,255,255,883.528,225.892,34.022,32.297,176.640,4
46,752,255,255,255,742.706,226.630,32.486,29.473,115.726,4
47,841,255,255,255,1173.812,227.177,32.810,32.637,112.291,4
48,834,255,255,255,457.811,229.983,34.425,30.846,114.646,4
49,824,255,255,255,592.853,228.964,32.961,31.830,176.719,4
50,995,255,255,255,510.064,1451.469,36.456,34.751,34.514,4
51,935,255,255,255,652.439,1452.023,35.531,33.505,37.105,4
52,942,255,255,255,770.947,1455.289,35.211,34.063,55.443,4
53,880,255,255,255,1045.799,1454.817,34.321,32.646,29.047,4
54,903,255,255,255,904.238,1457.274,36.126,31.826,106.089,4
55,949,255,255,255,1165.309,1459.958,35.528,34.009,138.296,4
56,966,255,255,255,1300.856,1460.347,35.924,34.238,148.875,4
57,1000,255,255,255,1364.345,177.063,37.375,34.066,86.165,5
58,843,255,255,255,1225.320,187.759,33.395,32.141,43.278,5
59,855,255,255,255,1088.893,191.594,33.869,32.142,92.927,5
60,884,255,255,255,935.385,200.506,33.625,33.474,38.549,5
61,776,255,255,255,794.631,207.233,32.308,30.582,125.155,5
62,816,255,255,255,645.222,216.663,32.580,31.889,170.570,5
63,830,255,255,255,510.446,224.111,34.716,30.441,118.427,5
64,954,255,255,255,1246.616,1460.780,35.945,33.793,160.015,5
65,945,255,255,255,1110.860,1466.908,35.492,33.901,144.198,5
66,872,255,255,255,991.456,1467.289,33.998,32.657,27.472,5
67,899,255,255,255,850.028,1476.233,36.186,31.632,107.713,5
68,928,255,255,255,716.859,1480.341,34.950,33.808,53.588,5
69,939,255,255,255,598.632,1482.944,35.671,33.517,31.628,5
70,1000,255,255,255,456.231,1488.763,36.467,34.915,33.845,5
71,998,255,255,255,1366.973,140.988,37.461,33.920,86.729,6
72,842,255,255,255,1227.973,151.833,33.082,32.406,56.939,6
73,846,255,255,255,1091.300,155.618,33.946,31.731,101.812,6
74,896,255,255,255,938.163,164.827,34.016,33.538,26.063,6
75,780,255,255,255,797.326,171.715,32.551,30.510,120.955,6
76,823,255,255,255,647.801,180.952,32.660,32.084,171.999,6
77,821,255,255,255,512.865,188.450,34.025,30.722,119.275,6
78,979,255,255,255,1244.051,1498.321,36.430,34.217,156.870,6
79,955,255,255,255,1108.230,1504.438,35.979,33.796,157.044,6
80,885,255,255,255,988.897,1504.641,34.646,32.524,37.284,6
81,907,255,255,255,847.608,1513.846,36.558,31.589,105.116,6
82,950,255,255,255,714.494,1517.822,35.346,34.221,66.575,6
83,958,255,255,255,596.232,1520.272,35.734,34.134,44.736,6
84,994,255,255,255,453.751,1526.343,36.432,34.739,20.316,6
85,934,255,255,255,1366.738,106.468,35.977,33.054,91.006,7
86,778,255,255,255,1228.302,117.572,31.764,31.185,8.065,7
87,818,255,255,255,1091.683,121.269,33.142,31.426,100.237,7
88,848,255,255,255,937.955,130.310,33.146,32.575,151.536,7
89,728,255,255,255,797.231,137.343,31.732,29.211,120.614,7
90,773,255,255,255,647.836,146.549,32.023,30.735,157.541,7
91,776,255,255,255,512.772,154.001,33.137,29.817,123.983,7
92,965,255,255,255,1241.024,1534.136,35.775,34.345,157.611,7
93,932,255,255,255,1105.333,1540.162,35.288,33.628,152.982,7
94,864,255,255,255,985.983,1540.289,34.021,32.335,30.414,7
95,893,255,255,255,844.614,1549.429,35.932,31.643,107.201,7
96,928,255,255,255,711.548,1553.575,34.922,33.835,65.610,7
97,928,255,255,255,593.277,1555.886,35.438,33.342,21.323,7
98,982,255,255,255,450.918,1561.981,36.018,34.714,23.273,7
99,945,255,255,255,1320.623,144.525,36.764,32.728,85.604,8
100,811,255,255,255,1044.431,146.814,33.271,31.036,87.641,8
101,862,255,255,255,891.101,149.038,33.261,32.997,5.666,8
102,753,255,255,255,750.104,149.309,32.337,29.648,125.087,8
103,795,255,255,255,1181.352,149.178,32.164,31.471,62.088,8
104,807,255,255,255,600.438,151.899,32.370,31.742,137.925,8
105,791,255,255,255,465.140,153.262,32.943,30.572,123.935,8
106,997,255,255,255,512.693,1531.838,36.393,34.881,26.456,8
107,935,255,255,255,655.260,1532.250,35.559,33.479,26.267,8
108,940,255,255,255,773.367,1535.288,35.098,34.100,50.627,8
109,873,255,255,255,1047.983,1534.554,34.173,32.527,26.855,8
110,892,255,255,255,906.743,1537.148,36.385,31.214,104.871,8
111,942,255,255,255,1167.487,1539.697,35.468,33.816,162.083,8
112,969,255,255,255,1303.438,1539.617,36.238,34.047,147.051,8
