 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,847,255,255,255,217.773,417.682,0.000,0.000,0.000,1
2,1005,255,255,255,214.252,541.018,0.000,0.000,0.000,1
3,819,255,255,255,1559.361,554.272,0.000,0.000,0.000,1
4,793,255,255,255,218.093,663.352,0.000,0.000,0.000,1
5,846,255,255,255,1559.514,680.374,0.000,0.000,0.000,1
6,834,255,255,255,212.882,795.619,0.000,0.000,0.000,1
7,868,255,255,255,1560.454,805.332,0.000,0.000,0.000,1
8,830,255,255,255,216.154,908.219,0.000,0.000,0.000,1
9,1054,255,255,255,1556.675,916.568,0.000,0.000,0.000,1
10,712,255,255,255,216.493,1041.966,0.000,0.000,0.000,1
11,883,255,255,255,1558.842,1044.280,0.000,0.000,0.000,1
12,853,255,255,255,1556.275,1160.300,0.000,0.000,0.000,1
13,958,255,255,255,215.538,1167.297,0.000,0.000,0.000,1
14,880,255,255,255,1559.507,1295.612,0.000,0.000,0.000,1
15,816,255,255,255,217.450,420.114,36.933,28.131,11.864,2
16,984,255,255,255,213.690,543.607,38.027,32.947,14.367,2
17,837,255,255,255,1563.796,554.636,36.533,29.171,38.518,2
18,796,255,255,255,217.358,666.271,33.922,29.877,82.010,2
19,856,255,255,255,1564.044,681.468,35.180,30.980,29.786,2
20,833,255,255,255,212.059,798.196,35.821,29.609,39.273,2
21,863,255,255,255,1564.720,805.928,34.767,31.605,55.520,2
22,843,255,255,255,215.407,910.444,34.551,31.065,3.197,2
23,1067,255,255,255,1560.980,916.907,39.372,34.505,173.439,2
24,888,255,255,255,1563.063,1044.661,35.356,31.979,72.528,2
25,714,255,255,255,215.485,1044.427,32.407,28.053,32.738,2
26,851,255,255,255,1560.318,1160.354,34.104,31.772,26.743,2
27,951,255,255,255,214.505,1169.759,41.389,29.256,59.201,2
28,860,255,255,255,1563.291,1295.219,34.179,32.037,104.193,2
29,843,255,255,255,217.812,419.250,36.962,29.039,16.945,3
30,995,255,255,255,214.044,542.567,38.086,33.264,4.598,3
31,816,255,255,255,1563.081,554.328,35.969,28.885,44.734,3
32,811,255,255,255,218.395,665.017,34.836,29.641,77.156,3
33,884,255,255,255,1563.262,680.739,35.696,31.532,37.773,3
34,839,255,255,255,212.895,797.322,36.332,29.402,45.583,3
35,865,255,255,255,1564.132,805.550,35.438,31.078,60.204,3
36,845,255,255,255,216.314,909.785,34.260,31.404,167.919,3
37,1053,255,255,255,1560.231,916.834,39.247,34.161,172.965,3
38,896,255,255,255,1562.677,1044.415,35.710,31.947,66.791,3
39,690,255,255,255,216.428,1043.635,31.822,27.607,32.415,3
40,847,255,255,255,1559.450,1160.469,34.200,31.533,38.182,3
41,950,255,255,255,215.323,1168.926,42.003,28.798,58.800,3
42,877,255,255,255,1563.020,1295.459,34.214,32.637,91.134,3
43,816,255,255,255,217.413,417.096,36.460,28.496,14.482,4
44,991,255,255,255,214.047,541.442,37.735,33.438,10.736,4
