 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1017,255,255,255,1332.417,183.542,0.000,0.000,0.000,1
2,891,255,255,255,1056.526,184.885,0.000,0.000,0.000,1
3,806,255,255,255,761.826,186.785,0.000,0.000,0.000,1
4,933,255,255,255,902.732,186.781,0.000,0.000,0.000,1
5,863,255,255,255,1193.207,187.668,0.000,0.000,0.000,1
6,864,255,255,255,477.002,190.134,0.000,0.000,0.000,1
7,861,255,255,255,612.326,189.093,0.000,0.000,0.000,1
8,998,255,255,255,526.260,1524.155,0.000,0.000,0.000,1
9,941,255,255,255,668.675,1523.368,0.000,0.000,0.000,1
10,866,255,255,255,1061.742,1522.247,0.000,0.000,0.000,1
11,939,255,255,255,787.017,1525.439,0.000,0.000,0.000,1
12,898,255,255,255,920.241,1526.038,0.000,0.000,0.000,1
13,964,255,255,255,1317.115,1525.260,0.000,0.000,0.000,1
14,951,255,255,255,1181.237,1526.645,0.000,0.000,0.000,1
15,1036,255,255,255,1332.951,183.058,38.052,34.665,82.121,2
16,902,255,255,255,1057.112,184.594,34.909,32.899,82.719,2
17,945,255,255,255,903.390,186.229,34.857,34.518,144.700,2
18,813,255,255,255,762.478,186.639,33.845,30.584,111.874,2
19,892,255,255,255,1193.604,187.223,34.420,32.996,54.196,2
20,876,255,255,255,477.476,189.904,35.285,31.610,116.548,2
21,857,255,255,255,612.721,189.013,33.552,32.522,154.973,2
22,944,255,255,255,668.544,1524.841,35.577,33.784,35.117,2
23,863,255,255,255,1061.594,1523.459,33.895,32.418,36.464,2
24,1000,255,255,255,525.988,1525.670,36.399,34.980,32.103,2
25,947,255,255,255,786.912,1526.522,35.331,34.128,64.327,2
26,970,255,255,255,1316.853,1526.299,36.352,33.975,149.784,2
27,896,255,255,255,920.204,1527.180,36.026,31.666,107.104,2
28,956,255,255,255,1181.052,1527.471,35.892,33.913,155.569,2
29,1044,255,255,255,1332.146,182.839,38.347,34.664,83.308,3
30,904,255,255,255,1056.262,184.236,35.049,32.840,82.499,3
31,824,255,255,255,761.641,186.165,33.712,31.121,111.481,3
32,963,255,255,255,902.535,185.980,35.289,34.746,173.142,3
33,907,255,255,255,1192.728,186.913,34.150,33.817,48.536,3
34,893,255,255,255,476.658,189.571,35.371,32.145,119.001,3
35,878,255,255,255,612.079,188.521,33.664,33.207,134.018,3
36,880,255,255,255,1061.849,1522.945,34.223,32.740,35.905,3
37,1006,255,255,255,526.149,1524.972,36.413,35.176,30.389,3
38,956,255,255,255,668.737,1524.145,35.783,34.017,24.525,3
39,945,255,255,255,787.016,1526.030,35.226,34.157,57.088,3
40,986,255,255,255,1317.101,1525.803,36.418,34.473,150.650,3
41,903,255,255,255,920.197,1526.745,36.132,31.820,106.152,3
42,966,255,255,255,1181.144,1527.004,36.008,34.158,154.081,3
43,1047,255,255,255,1331.976,183.076,38.472,34.651,79.080,4
44,901,255,255,255,1055.896,184.400,35.109,32.675,86.315,4
45,965,255,255,255,902.366,186.272,35.414,34.695,114.704,4
46,824,255,255,255,761.448,186.427,33.924,30.926,118.810,4
47,900,255,255,255,1192.804,187.164,34.410,33.302,40.103,4
48,892,255,255,255,476.352,189.621,35.517,31.977,112.700,4
49,879,255,255,255,611.631,188.556,33.705,33.206,6.488,4
50,957,255,255,255,668.509,1524.191,35.897,33.944,33.432,4
51,897,255,255,255,1061.484,1523.096,34.454,33.148,40.875,4
52,1008,255,255,255,526.063,1524.996,36.646,35.022,34.058,4
53,958,255,255,255,786.766,1526.203,35.484,34.375,55.086,4
54,913,255,255,255,920.155,1526.876,36.465,31.879,103.144,4
55,967,255,255,255,1180.867,1527.225,35.778,34.413,141.108,4
56,990,255,255,255,1316.866,1526.163,36.335,34.691,152.497,4
57,1028,255,255,255,1331.169,182.655,37.808,34.619,79.040,5
58,906,255,255,255,1055.217,183.821,35.097,32.868,83.774,5
59,963,255,255,255,901.474,185.566,35.109,34.924,50.729,5
60,818,255,255,255,760.430,185.729,33.788,30.825,116.402,5
61,877,255,255,255,1191.940,186.737,33.887,32.952,68.997,5
62,892,255,255,255,475.848,188.937,35.393,32.089,120.300,5
63,875,255,255,255,610.994,187.903,33.924,32.841,157.861,5
64,890,255,255,255,1061.184,1522.260,34.396,32.945,45.159,5
65,1012,255,255,255,525.724,1524.252,36.622,35.184,37.098,5
66,948,255,255,255,668.230,1523.422,35.667,33.842,35.715,5
