 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1003,255,255,255,1327.674,183.960,0.000,0.000,0.000,1
2,872,255,255,255,1051.680,185.203,0.000,0.000,0.000,1
3,797,255,255,255,756.943,187.269,0.000,0.000,0.000,1
4,922,255,255,255,898.029,186.886,0.000,0.000,0.000,1
5,859,255,255,255,1188.476,187.978,0.000,0.000,0.000,1
6,852,255,255,255,471.951,190.252,0.000,0.000,0.000,1
7,846,255,255,255,607.325,189.411,0.000,0.000,0.000,1
8,866,255,255,255,1057.963,1522.674,0.000,0.000,0.000,1
9,984,255,255,255,522.334,1524.649,0.000,0.000,0.000,1
10,924,255,255,255,664.921,1523.944,0.000,0.000,0.000,1
11,932,255,255,255,783.173,1525.824,0.000,0.000,0.000,1
12,953,255,255,255,1313.270,1525.625,0.000,0.000,0.000,1
13,874,255,255,255,916.538,1526.518,0.000,0.000,0.000,1
14,943,255,255,255,1177.417,1526.874,0.000,0.000,0.000,1
15,998,255,255,255,1327.083,181.771,37.687,33.717,82.653,2
16,851,255,255,255,1051.388,183.033,34.285,31.604,88.560,2
17,922,255,255,255,897.457,184.855,34.599,33.929,148.805,2
18,792,255,255,255,756.462,185.068,32.965,30.590,114.901,2
19,849,255,255,255,1187.870,185.922,33.629,32.144,50.239,2
20,850,255,255,255,471.758,188.348,34.556,31.319,120.440,2
21,839,255,255,255,606.855,187.234,33.074,32.299,147.601,2
22,863,255,255,255,1057.254,1522.894,33.893,32.420,36.485,2
23,979,255,255,255,521.726,1524.915,36.104,34.525,30.856,2
24,926,255,255,255,664.243,1524.027,35.388,33.317,31.424,2
25,927,255,255,255,782.424,1525.815,34.808,33.909,63.664,2
26,954,255,255,255,1312.617,1525.729,35.970,33.769,157.473,2
27,877,255,255,255,915.725,1526.554,36.011,31.008,104.806,2
28,946,255,255,255,1176.589,1526.994,35.426,34.000,145.718,2
29,1005,255,255,255,1327.925,182.256,37.586,34.045,83.929,3
30,877,255,255,255,1052.193,183.505,34.158,32.690,86.141,3
