 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,39932,255,255,255,540.243,340.934,0,0,0,1
2,38452,255,255,255,326.461,346.281,0,0,0,1
3,43083,255,255,255,1165.775,345.823,0,0,0,1
4,33167,255,255,255,749.106,334.957,0,0,0,1
5,39316,255,255,255,1393.096,352.083,0,0,0,1
6,32308,255,255,255,946.715,376.966,0,0,0,1
7,36624,255,255,255,796.908,542.884,0,0,0,1
8,37237,255,255,255,1214.998,566.104,0,0,0,1
9,40122,255,255,255,552.737,565.232,0,0,0,1
10,35165,255,255,255,331.697,569.144,0,0,0,1
11,32938,255,255,255,1006.305,569.784,0,0,0,1
12,29663,255,255,255,1412.171,569.402,0,0,0,1
13,40226,255,255,255,697.601,739.420,0,0,0,1
14,37325,255,255,255,915.798,762.313,0,0,0,1
15,37184,255,255,255,1128.436,765.730,0,0,0,1
16,31329,255,255,255,1338.503,756.343,0,0,0,1
17,21182,255,255,255,507.069,757.566,0,0,0,1
18,31314,255,255,255,325.545,769.537,0,0,0,1
19,31312,255,255,255,792.060,934.425,0,0,0,1
20,39436,255,255,255,582.630,948.985,0,0,0,1
21,31055,255,255,255,1403.473,945.950,0,0,0,1
22,40036,255,255,255,988.895,982.656,0,0,0,1
23,39079,255,255,255,357.628,971.782,0,0,0,1
24,38402,255,255,255,1202.992,978.318,0,0,0,1
25,27926,255,255,255,718.019,1113.059,0,0,0,1
26,39615,255,255,255,1350.322,1152.336,0,0,0,1
27,36231,255,255,255,531.231,1170.096,0,0,0,1
28,37420,255,255,255,1114.594,1172.563,0,0,0,1
29,31308,255,255,255,327.481,1175.957,0,0,0,1
30,29851,255,255,255,903.277,1179.089,0,0,0,1
31,35027,255,255,255,754.064,1315.992,0,0,0,1
32,41700,255,255,255,1388.635,1378.145,0,0,0,1
33,40109,255,255,255,1169.362,1385.017,0,0,0,1
34,38529,255,255,255,950.688,1386.957,0,0,0,1
35,39891,255,255,255,336.929,1388.655,0,0,0,1
36,37721,255,255,255,556.266,1391.056,0,0,0,1
37,38469,255,255,255,323.834,350.787,240.354,203.784,97.631,2
38,40344,255,255,255,539.687,345.998,238.057,215.779,112.946,2
39,43056,255,255,255,1171.921,352.434,236.047,232.244,25.435,2
40,33126,255,255,255,750.266,340.838,214.973,196.199,76.449,2
41,39848,255,255,255,1399.963,353.640,242.884,208.890,123.419,2
42,32314,255,255,255,951.085,368.549,209.984,195.936,37.279,2
43,36905,255,255,255,798.563,548.499,217.676,215.866,106.809,2
44,33090,255,255,255,1009.613,562.117,206.025,204.497,111.790,2
