 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1057,255,255,255,201.000,395.761,0.000,0.000,0.000,1
2,1230,255,255,255,197.427,519.389,0.000,0.000,0.000,1
3,1043,255,255,255,1550.249,530.556,0.000,0.000,0.000,1
4,1026,255,255,255,201.397,641.680,0.000,0.000,0.000,1
5,1065,255,255,255,1550.183,657.219,0.000,0.000,0.000,1
6,1055,255,255,255,195.913,773.764,0.000,0.000,0.000,1
7,1054,255,255,255,1550.635,781.797,0.000,0.000,0.000,1
8,1082,255,255,255,199.256,886.170,0.000,0.000,0.000,1
9,1267,255,255,255,1546.981,892.858,0.000,0.000,0.000,1
10,1074,255,255,255,1549.188,1020.583,0.000,0.000,0.000,1
11,920,255,255,255,198.982,1019.739,0.000,0.000,0.000,1
12,1037,255,255,255,1546.265,1136.614,0.000,0.000,0.000,1
13,1186,255,255,255,198.563,1145.267,0.000,0.000,0.000,1
14,1054,255,255,255,1549.630,1271.839,0.000,0.000,0.000,1
15,1047,255,255,255,205.191,392.440,40.699,32.755,15.624,2
16,1223,255,255,255,201.673,515.976,41.790,37.262,5.182,2
17,1027,255,255,255,1543.847,529.880,40.400,32.366,43.799,2
18,1025,255,255,255,205.754,638.208,38.727,33.699,79.137,2
19,1034,255,255,255,1543.860,656.472,38.289,34.384,34.824,2
20,1029,255,255,255,200.547,770.412,39.433,33.225,41.035,2
21,1045,255,255,255,1544.628,781.200,38.130,34.895,64.919,2
22,1075,255,255,255,204.200,883.145,39.055,35.046,173.045,2
23,1264,255,255,255,1540.932,892.245,42.655,37.730,178.600,2
24,915,255,255,255,203.924,1016.652,35.933,32.422,30.246,2
25,1057,255,255,255,1543.369,1020.175,38.041,35.378,68.017,2
26,1043,255,255,255,1540.760,1136.207,37.707,35.219,29.825,2
27,1195,255,255,255,203.940,1141.953,46.365,32.816,57.759,2
28,1035,255,255,255,1543.891,1271.185,37.083,35.537,86.027,2
29,1050,255,255,255,204.908,392.542,40.694,32.852,13.998,3
30,1250,255,255,255,201.508,516.180,41.978,37.914,9.073,3
31,1039,255,255,255,1542.544,529.436,40.411,32.736,43.599,3
32,1026,255,255,255,205.808,638.318,38.778,33.688,80.944,3
33,1049,255,255,255,1542.494,655.834,38.312,34.862,35.961,3
34,1044,255,255,255,200.444,770.722,39.409,33.730,41.667,3
35,1062,255,255,255,1543.234,780.773,38.634,35.000,66.426,3
36,1075,255,255,255,203.955,883.307,38.717,35.352,175.956,3
37,1286,255,255,255,1539.768,891.918,43.197,37.905,171.631,3
38,918,255,255,255,204.010,1016.925,36.016,32.453,30.159,3
39,1061,255,255,255,1541.936,1019.445,38.330,35.244,71.677,3
40,1038,255,255,255,1539.251,1135.730,37.275,35.456,41.179,3
41,1196,255,255,255,203.567,1142.294,46.255,32.922,57.692,3
42,1021,255,255,255,1542.638,1271.079,36.614,35.505,73.147,3
43,1036,255,255,255,205.314,392.786,40.854,32.287,13.938,4
44,1218,255,255,255,201.969,516.256,41.285,37.563,8.602,4
45,1048,255,255,255,1543.305,529.442,40.384,33.042,44.028,4
46,1036,255,255,255,205.859,639.091,38.894,33.914,81.863,4
47,1049,255,255,255,1543.159,656.533,38.815,34.410,31.274,4
48,1036,255,255,255,200.653,770.931,39.669,33.252,43.521,4
49,1063,255,255,255,1543.943,780.752,38.630,35.036,66.600,4
50,1076,255,255,255,204.346,883.531,38.882,35.235,171.932,4
51,1287,255,255,255,1540.396,891.898,42.796,38.290,169.775,4
52,911,255,255,255,204.037,1017.121,35.722,32.471,32.330,4
53,1063,255,255,255,1542.590,1019.630,38.756,34.922,71.220,4
54,1047,255,255,255,1539.763,1135.778,37.852,35.218,38.274,4
55,1197,255,255,255,203.835,1142.614,46.439,32.818,55.135,4
56,1045,255,255,255,1543.313,1270.380,37.196,35.771,84.992,4
57,1030,255,255,255,205.778,392.650,40.636,32.273,12.649,5
58,1223,255,255,255,202.484,516.153,41.557,37.471,11.386,5
59,1031,255,255,255,1544.419,529.314,40.029,32.794,46.326,5
60,1018,255,255,255,206.466,638.246,38.123,33.999,80.299,5
