 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,994,255,255,255,1333.105,186.275,0.000,0.000,0.000,1
2,859,255,255,255,1057.115,187.802,0.000,0.000,0.000,1
3,791,255,255,255,762.510,189.595,0.000,0.000,0.000,1
4,905,255,255,255,903.361,189.402,0.000,0.000,0.000,1
5,849,255,255,255,1193.698,190.230,0.000,0.000,0.000,1
6,842,255,255,255,477.716,192.904,0.000,0.000,0.000,1
7,840,255,255,255,613.045,191.910,0.000,0.000,0.000,1
8,865,255,255,255,1061.486,1526.753,0.000,0.000,0.000,1
9,988,255,255,255,525.801,1528.948,0.000,0.000,0.000,1
10,941,255,255,255,668.444,1528.120,0.000,0.000,0.000,1
11,942,255,255,255,786.746,1529.872,0.000,0.000,0.000,1
12,978,255,255,255,1316.675,1529.434,0.000,0.000,0.000,1
13,890,255,255,255,920.006,1530.482,0.000,0.000,0.000,1
14,948,255,255,255,1180.824,1530.749,0.000,0.000,0.000,1
15,1011,255,255,255,1331.752,219.638,37.596,34.239,84.357,2
16,894,255,255,255,1056.018,220.840,34.653,32.848,89.241,2
17,799,255,255,255,761.401,222.659,33.150,30.689,117.685,2
18,913,255,255,255,902.296,222.567,34.293,33.898,147.647,2
19,880,255,255,255,1192.543,223.703,33.905,33.046,58.707,2
20,862,255,255,255,476.311,225.722,35.071,31.294,121.634,2
21,862,255,255,255,611.585,224.780,33.810,32.462,178.044,2
22,862,255,255,255,1061.382,1493.964,33.789,32.482,37.758,2
23,925,255,255,255,667.941,1495.310,35.352,33.315,39.243,2
24,989,255,255,255,525.387,1496.341,36.238,34.749,31.767,2
25,974,255,255,255,1316.473,1496.604,36.588,33.895,159.646,2
26,929,255,255,255,786.305,1497.195,34.951,33.843,46.961,2
27,893,255,255,255,919.585,1497.880,35.946,31.631,105.248,2
28,953,255,255,255,1180.651,1497.950,35.747,33.944,147.367,2
29,1024,255,255,255,1333.792,191.096,37.842,34.454,84.893,3
30,867,255,255,255,1057.846,192.822,34.338,32.148,93.180,3
31,906,255,255,255,904.257,194.496,34.203,33.727,49.789,3
32,780,255,255,255,763.227,194.988,32.531,30.528,123.837,3
33,845,255,255,255,1194.511,195.307,33.257,32.351,41.430,3
34,843,255,255,255,478.481,198.545,34.259,31.330,112.430,3
35,833,255,255,255,613.596,197.355,33.203,31.943,1.852,3
36,930,255,255,255,667.591,1523.809,35.396,33.453,26.954,3
37,875,255,255,255,1060.387,1522.983,34.232,32.545,35.707,3
38,992,255,255,255,524.926,1524.556,36.191,34.900,30.409,3
39,940,255,255,255,785.777,1525.736,35.187,34.014,73.508,3
40,889,255,255,255,919.046,1526.525,36.177,31.288,103.930,3
41,951,255,255,255,1180.009,1527.118,35.752,33.869,147.930,3
42,964,255,255,255,1315.836,1526.102,36.060,34.038,145.316,3
43,953,255,255,255,1334.730,156.154,36.786,32.986,83.244,4
44,831,255,255,255,1058.720,158.057,33.242,31.829,100.940,4
45,898,255,255,255,905.110,159.814,34.144,33.487,159.853,4
46,765,255,255,255,764.143,160.158,32.468,29.999,127.278,4
47,824,255,255,255,1195.403,160.428,32.462,32.319,55.362,4
48,817,255,255,255,479.255,163.910,33.941,30.648,118.765,4
49,803,255,255,255,614.430,162.780,32.388,31.568,169.017,4
50,924,255,255,255,667.866,1557.917,35.172,33.449,42.837,4
51,982,255,255,255,525.470,1558.739,36.072,34.661,26.138,4
52,856,255,255,255,1060.843,1557.232,33.776,32.268,34.361,4
53,922,255,255,255,786.127,1559.966,34.681,33.849,51.731,4
54,888,255,255,255,919.348,1560.946,36.068,31.348,107.023,4
55,952,255,255,255,1316.194,1560.428,35.688,33.965,143.934,4
56,937,255,255,255,1180.263,1561.403,35.363,33.737,156.850,4
57,1017,255,255,255,1332.753,186.139,37.852,34.209,82.611,5
58,882,255,255,255,1056.755,187.600,34.552,32.502,87.708,5
59,799,255,255,255,762.275,189.380,32.788,31.027,122.981,5
60,924,255,255,255,903.187,189.251,34.919,33.692,4.939,5
61,866,255,255,255,1193.610,190.136,33.643,32.775,35.500,5
62,850,255,255,255,477.264,192.800,34.789,31.109,116.650,5
63,842,255,255,255,612.574,191.603,33.482,32.020,179.314,5
64,881,255,255,255,1061.179,1527.827,34.267,32.734,32.945,5
65,991,255,255,255,525.599,1530.122,36.493,34.576,24.570,5
66,945,255,255,255,668.237,1529.108,35.654,33.747,31.764,5
67,948,255,255,255,786.440,1530.870,35.300,34.194,44.896,5
68,979,255,255,255,1316.499,1530.374,36.338,34.303,150.548,5
69,895,255,255,255,919.702,1531.504,36.508,31.214,104.537,5
70,965,255,255,255,1180.555,1531.666,36.051,34.081,146.684,5
71,1023,255,255,255,1331.862,219.886,37.577,34.663,80.821,6
72,889,255,255,255,1056.113,221.271,34.799,32.527,90.256,6
73,917,255,255,255,902.166,222.671,34.450,33.891,169.433,6
74,790,255,255,255,761.251,223.087,32.789,30.676,121.691,6
75,875,255,255,255,1192.566,223.924,33.575,33.182,32.469,6
76,839,255,255,255,476.381,226.314,34.668,30.814,118.480,6
