 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,42478,255,255,255,343.402,330.980,0,0,0,1
2,41177,255,255,255,681.679,329.211,0,0,0,1
3,32967,255,255,255,1207.072,332.430,0,0,0,1
4,41056,255,255,255,1000.271,339.054,0,0,0,1
5,33313,255,255,255,1405.942,324.313,0,0,0,1
6,30643,255,255,255,517.348,462.765,0,0,0,1
7,36958,255,255,255,839.581,483.072,0,0,0,1
8,32496,255,255,255,1401.714,522.143,0,0,0,1
9,38471,255,255,255,1184.999,550.608,0,0,0,1
10,36436,255,255,255,334.169,552.216,0,0,0,1
11,20902,255,255,255,666.948,568.502,0,0,0,1
12,28214,255,255,255,511.883,660.953,0,0,0,1
13,28266,255,255,255,875.384,674.839,0,0,0,1
14,33885,255,255,255,1061.359,727.858,0,0,0,1
15,38592,255,255,255,1395.554,722.873,0,0,0,1
16,37633,255,255,255,688.256,758.786,0,0,0,1
17,37044,255,255,255,335.677,762.905,0,0,0,1
18,30887,255,255,255,1226.454,837.115,0,0,0,1
19,30839,255,255,255,518.406,871.362,0,0,0,1
20,38315,255,255,255,882.374,873.255,0,0,0,1
21,30815,255,255,255,1406.401,931.598,0,0,0,1
22,35005,255,255,255,1067.339,967.399,0,0,0,1
23,37571,255,255,255,336.953,972.383,0,0,0,1
24,36876,255,255,255,702.555,982.816,0,0,0,1
25,28318,255,255,255,1246.188,1037.615,0,0,0,1
26,38011,255,255,255,521.277,1089.218,0,0,0,1
27,39151,255,255,255,892.019,1102.200,0,0,0,1
28,37935,255,255,255,1397.006,1170.591,0,0,0,1
29,37562,255,255,255,1100.113,1181.122,0,0,0,1
30,34122,255,255,255,329.268,1182.541,0,0,0,1
31,36898,255,255,255,703.396,1206.921,0,0,0,1
32,29339,255,255,255,970.823,1344.931,0,0,0,1
33,42376,255,255,255,561.655,1378.108,0,0,0,1
34,40106,255,255,255,1173.625,1380.334,0,0,0,1
35,36879,255,255,255,1394.843,1386.326,0,0,0,1
36,36496,255,255,255,335.886,1389.064,0,0,0,1
37,31836,255,255,255,782.440,1397.503,0,0,0,1
38,40692,255,255,255,674.614,340.480,233.294,222.083,75.760,2
39,41512,255,255,255,331.965,341.758,235.138,224.782,10.656,2
40,41139,255,255,255,1010.887,350.209,246.664,212.353,119.274,2
41,32961,255,255,255,1217.300,343.336,221.049,189.855,92.983,2
42,33788,255,255,255,1416.895,335.284,211.198,203.697,137.412,2
43,30653,255,255,255,507.887,469.121,204.847,190.526,119.768,2
44,37087,255,255,255,841.189,483.715,221.599,213.090,4.239,2
45,32466,255,255,255,1411.893,534.873,214.516,192.699,179.476,2
46,38545,255,255,255,1195.427,562.001,224.917,218.200,133.485,2
47,36220,255,255,255,323.300,557.467,221.561,208.145,170.512,2
48,21058,255,255,255,665.064,564.061,164.847,162.647,41.116,2
49,28205,255,255,255,502.650,666.238,195.740,183.467,103.864,2
50,28173,255,255,255,873.065,675.875,195.810,183.193,3.576,2
51,33833,255,255,255,1059.028,729.715,218.457,197.190,80.604,2
52,38558,255,255,255,1405.857,737.097,232.616,211.050,157.888,2
53,37861,255,255,255,682.819,755.603,225.235,214.025,88.140,2
54,36877,255,255,255,324.133,763.899,225.655,208.075,0.859,2
55,31063,255,255,255,1226.527,836.027,206.463,191.563,97.993,2
56,30847,255,255,255,510.505,869.116,209.236,187.709,114.069,2
57,38295,255,255,255,877.351,872.445,224.583,217.107,169.088,2
58,31120,255,255,255,1417.126,946.351,203.459,194.748,164.303,2
59,35232,255,255,255,1065.253,964.389,225.211,199.186,78.133,2
60,37488,255,255,255,327.476,970.072,228.499,208.890,4.504,2
61,36808,255,255,255,695.526,979.227,230.554,203.273,119.786,2
62,28630,255,255,255,1245.419,1037.276,200.693,181.635,87.157,2
63,38137,255,255,255,513.193,1086.391,226.151,214.713,78.405,2
64,39226,255,255,255,886.810,1098.422,228.753,218.332,98.095,2
65,38076,255,255,255,1407.501,1158.539,222.047,218.332,34.208,2
66,37564,255,255,255,1093.557,1178.376,228.562,209.256,6.895,2
67,33850,255,255,255,318.506,1176.406,211.485,203.793,178.953,2
68,36823,255,255,255,697.066,1201.681,219.943,213.166,118.873,2
69,42276,255,255,255,551.422,1367.676,237.524,226.619,127.036,2
70,40001,255,255,255,1186.017,1369.130,234.531,217.160,48.260,2
71,29421,255,255,255,982.211,1357.580,206.958,181.003,98.821,2
72,37119,255,255,255,1406.828,1374.843,224.822,210.217,21.290,2
73,36751,255,255,255,324.969,1379.866,223.022,209.813,6.243,2
74,31802,255,255,255,789.245,1386.093,207.848,194.813,30.568,2
75,40705,255,255,255,677.860,335.200,232.328,223.078,87.788,3
76,41997,255,255,255,340.976,336.326,236.328,226.263,28.012,3
77,33021,255,255,255,1214.963,336.670,220.991,190.251,92.551,3
78,41108,255,255,255,1009.124,344.034,244.982,213.650,117.447,3
79,33175,255,255,255,1413.439,329.894,209.515,201.607,129.153,3
80,30654,255,255,255,514.497,467.951,204.873,190.508,120.184,3
81,37137,255,255,255,842.567,482.220,221.788,213.196,2.064,3
82,32868,255,255,255,1409.008,530.403,216.566,193.238,173.473,3
83,38566,255,255,255,1191.459,555.389,225.085,218.157,134.517,3
84,36325,255,255,255,330.602,555.492,220.243,209.997,166.372,3
85,20962,255,255,255,669.285,566.307,164.176,162.567,37.345,3
86,28131,255,255,255,508.354,665.684,195.592,183.124,101.050,3
87,28247,255,255,255,876.106,675.142,195.475,183.989,4.686,3
88,33788,255,255,255,1062.199,728.865,217.917,197.415,79.828,3
89,38549,255,255,255,1402.025,732.840,232.435,211.165,156.142,3
90,37812,255,255,255,687.195,757.426,225.107,213.871,89.165,3
91,36949,255,255,255,330.992,764.605,223.732,210.273,3.072,3
92,31113,255,255,255,1227.919,839.222,206.075,192.232,100.782,3
93,30905,255,255,255,515.509,870.328,210.132,187.261,111.080,3
94,38302,255,255,255,881.043,873.259,223.541,218.160,169.200,3
95,30890,255,255,255,1412.102,943.536,200.720,195.947,153.132,3
96,35173,255,255,255,1066.934,967.920,225.364,198.717,77.908,3
97,37396,255,255,255,334.053,972.623,226.218,210.479,4.510,3
98,36804,255,255,255,699.571,981.353,230.411,203.377,118.436,3
99,28449,255,255,255,1245.496,1040.621,200.419,180.733,87.193,3
100,38038,255,255,255,518.270,1088.936,226.129,214.177,79.054,3
101,39147,255,255,255,889.120,1100.621,228.780,217.866,97.137,3
102,38213,255,255,255,1403.665,1166.134,222.236,218.931,36.483,3
103,37715,255,255,255,1094.722,1183.092,228.821,209.859,7.868,3
104,33916,255,255,255,325.374,1181.393,210.623,205.026,170.862,3
105,36946,255,255,255,700.584,1206.057,220.542,213.298,113.108,3
106,42383,255,255,255,557.743,1376.072,237.565,227.153,127.714,3
107,29508,255,255,255,978.118,1360.574,206.553,181.894,94.972,3
108,39898,255,255,255,1181.237,1377.008,234.608,216.530,48.563,3
109,37047,255,255,255,1401.719,1383.139,223.743,210.821,20.566,3
110,36756,255,255,255,331.412,1387.391,221.170,211.598,9.016,3
111,31773,255,255,255,785.505,1394.333,207.635,194.835,33.354,3
112,40889,255,255,255,684.516,325.927,232.779,223.652,84.745,4
113,32946,255,255,255,1206.721,325.990,220.628,190.131,89.754,4
114,41121,255,255,255,1000.080,334.263,244.659,214.000,119.551,4
115,33717,255,255,255,1405.047,319.469,214.441,200.194,137.774,4
116,41750,255,255,255,350.344,329.555,236.503,224.766,28.420,4
117,30571,255,255,255,522.466,461.411,204.519,190.321,117.507,4
118,37169,255,255,255,841.312,481.518,221.784,213.383,3.791,4
119,32618,255,255,255,1399.270,519.422,215.180,193.003,1.168,4
120,38626,255,255,255,1182.141,544.269,225.336,218.253,134.633,4
121,36658,255,255,255,339.235,550.602,219.301,212.832,167.624,4
122,20907,255,255,255,670.505,568.798,163.403,162.907,11.464,4
123,28271,255,255,255,515.685,660.609,197.071,182.654,98.326,4
124,28118,255,255,255,877.857,674.123,194.500,184.067,5.099,4
125,33849,255,255,255,1063.740,725.348,218.329,197.399,79.962,4
126,38633,255,255,255,1392.653,722.634,232.629,211.448,155.094,4
127,37809,255,255,255,691.251,759.550,225.723,213.270,90.811,4
128,37296,255,255,255,339.973,763.332,223.655,212.321,2.622,4
129,30832,255,255,255,1226.169,839.330,205.841,190.712,101.783,4
130,30806,255,255,255,521.903,873.012,210.847,186.028,109.029,4
131,38441,255,255,255,884.606,873.580,222.464,220.012,168.088,4
132,30668,255,255,255,1404.807,933.264,199.636,195.595,140.650,4
133,35125,255,255,255,1068.513,970.555,225.845,198.023,79.552,4
134,37643,255,255,255,341.641,974.358,225.660,212.393,6.196,4
135,36740,255,255,255,704.893,984.363,230.996,202.509,116.621,4
136,28363,255,255,255,1246.188,1040.975,200.607,180.018,88.081,4
137,38033,255,255,255,525.076,1092.158,226.147,214.131,81.168,4
138,39202,255,255,255,893.095,1103.843,229.463,217.523,99.213,4
139,37762,255,255,255,1393.988,1176.492,222.071,216.508,44.973,4
140,37717,255,255,255,1099.240,1186.407,228.342,210.310,5.390,4
141,34270,255,255,255,333.714,1186.584,210.659,207.130,159.844,4
142,36997,255,255,255,705.819,1211.479,220.811,213.332,112.245,4
143,29365,255,255,255,971.422,1354.788,206.981,180.638,94.091,4
144,42413,255,255,255,564.306,1384.292,237.695,227.190,122.392,4
145,39949,255,255,255,1172.164,1386.380,233.986,217.383,48.431,4
146,37168,255,255,255,1392.498,1392.967,223.867,211.392,24.633,4
147,36739,255,255,255,339.543,1395.237,219.403,213.204,14.674,4
148,31748,255,255,255,783.209,1403.646,206.985,195.293,38.287,4
149,42048,255,255,255,342.049,333.483,235.919,226.930,24.267,5
150,40975,255,255,255,682.101,331.654,233.825,223.120,81.315,5
151,33043,255,255,255,1210.107,333.802,220.723,190.608,90.837,5
152,40935,255,255,255,1003.276,341.770,244.034,213.577,120.240,5
153,33461,255,255,255,1409.674,326.350,209.727,203.139,144.758,5
154,30767,255,255,255,516.630,463.416,205.163,190.939,118.012,5
155,37081,255,255,255,840.974,484.299,222.147,212.531,4.366,5
156,32558,255,255,255,1404.361,525.244,215.319,192.525,177.019,5
157,38573,255,255,255,1187.765,552.148,225.309,217.979,135.465,5
158,36456,255,255,255,332.921,553.051,220.052,210.937,168.626,5
159,20949,255,255,255,666.960,567.751,164.452,162.194,37.979,5
160,28341,255,255,255,511.094,661.934,196.701,183.450,99.582,5
161,28299,255,255,255,877.077,676.138,195.534,184.272,4.932,5
162,33876,255,255,255,1063.317,728.716,218.586,197.324,80.391,5
163,38668,255,255,255,1398.343,726.989,233.445,210.901,156.512,5
164,37836,255,255,255,688.400,758.168,225.526,213.609,90.368,5
165,37171,255,255,255,333.889,763.108,224.375,210.931,3.943,5
166,31011,255,255,255,1228.808,839.339,206.066,191.611,102.587,5
167,30848,255,255,255,517.405,870.381,210.539,186.554,109.267,5
168,38287,255,255,255,882.427,873.620,223.635,217.982,171.052,5
169,30793,255,255,255,1408.879,936.738,200.326,195.716,151.515,5
170,35215,255,255,255,1068.252,967.712,226.064,198.338,78.936,5
171,37627,255,255,255,335.838,971.997,226.990,211.058,4.970,5
172,36754,255,255,255,701.011,981.743,230.355,203.151,118.652,5
173,28439,255,255,255,1246.200,1040.083,200.643,180.468,85.155,5
174,38037,255,255,255,519.839,1089.033,226.637,213.691,79.857,5
175,39159,255,255,255,891.151,1100.530,229.233,217.503,99.323,5
