 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,36461,255,255,255,550.861,331.762,0,0,0,1
2,33253,255,255,255,342.104,332.128,0,0,0,1
3,32569,255,255,255,966.764,330.244,0,0,0,1
4,41248,255,255,255,1181.844,347.816,0,0,0,1
5,41872,255,255,255,1410.458,347.617,0,0,0,1
6,35070,255,255,255,764.068,360.057,0,0,0,1
7,28671,255,255,255,996.714,522.269,0,0,0,1
8,20588,255,255,255,534.154,511.870,0,0,0,1
9,40238,255,255,255,346.639,553.887,0,0,0,1
10,31306,255,255,255,721.841,566.202,0,0,0,1
11,37149,255,255,255,1191.975,571.207,0,0,0,1
12,38608,255,255,255,1413.620,574.665,0,0,0,1
13,30009,255,255,255,887.836,684.099,0,0,0,1
14,36682,255,255,255,556.374,693.092,0,0,0,1
15,30921,255,255,255,1078.545,747.469,0,0,0,1
16,37749,255,255,255,1289.024,762.011,0,0,0,1
17,38588,255,255,255,352.483,780.833,0,0,0,1
18,35295,255,255,255,733.418,813.841,0,0,0,1
19,31052,255,255,255,928.913,880.353,0,0,0,1
20,35939,255,255,255,539.383,907.458,0,0,0,1
21,36339,255,255,255,1414.276,933.269,0,0,0,1
22,31058,255,255,255,1162.672,931.353,0,0,0,1
23,37084,255,255,255,344.906,997.496,0,0,0,1
24,33580,255,255,255,718.346,1021.789,0,0,0,1
25,31408,255,255,255,1006.230,1062.018,0,0,0,1
26,39047,255,255,255,532.910,1128.407,0,0,0,1
27,40442,255,255,255,1199.941,1139.540,0,0,0,1
28,35692,255,255,255,1415.191,1152.089,0,0,0,1
29,38186,255,255,255,837.814,1192.574,0,0,0,1
30,29663,255,255,255,338.037,1199.516,0,0,0,1
31,39425,255,255,255,541.939,1357.106,0,0,0,1
32,40453,255,255,255,957.904,1374.879,0,0,0,1
33,41324,255,255,255,1181.211,1371.149,0,0,0,1
34,40582,255,255,255,1406.766,1374.088,0,0,0,1
35,31973,255,255,255,747.503,1387.184,0,0,0,1
36,31035,255,255,255,336.258,1391.351,0,0,0,1
37,32957,255,255,255,335.448,330.769,208.887,200.885,130.233,2
38,35965,255,255,255,542.137,333.223,217.163,210.865,149.536,2
39,32628,255,255,255,956.633,338.496,206.906,200.783,54.299,2
40,41115,255,255,255,1171.709,359.650,234.916,222.842,80.971,2
41,41804,255,255,255,1399.689,361.297,233.336,228.111,65.250,2
42,35116,255,255,255,753.768,359.348,219.094,204.073,91.617,2
43,28400,255,255,255,999.696,525.865,198.100,182.534,57.002,2
44,40171,255,255,255,343.867,549.146,233.394,219.145,98.312,2
45,20455,255,255,255,532.366,512.451,167.899,155.118,0.575,2
46,31268,255,255,255,724.977,568.142,204.333,194.837,129.440,2
47,36887,255,255,255,1190.514,580.907,220.680,212.824,19.887,2
48,38414,255,255,255,1410.567,585.883,225.620,216.781,158.698,2
49,36611,255,255,255,557.712,692.444,217.039,214.776,8.285,2
50,29874,255,255,255,891.027,685.875,200.373,189.829,126.757,2
51,30785,255,255,255,1078.049,756.508,204.694,191.489,113.437,2
52,37427,255,255,255,1287.550,770.132,225.267,211.543,29.480,2
53,38453,255,255,255,352.224,773.228,229.099,213.706,178.422,2
54,34936,255,255,255,734.767,810.034,211.888,209.931,161.768,2
55,31114,255,255,255,925.606,885.008,205.668,192.619,51.320,2
56,36002,255,255,255,545.250,907.634,217.679,210.581,134.933,2
57,36237,255,255,255,1414.273,937.446,222.802,207.083,37.511,2
58,29599,255,255,255,1167.587,935.984,206.191,182.775,166.183,2
59,37206,255,255,255,347.333,987.359,222.266,213.133,157.598,2
60,33367,255,255,255,726.606,1017.193,210.787,201.550,57.202,2
61,31231,255,255,255,1014.118,1061.250,204.518,194.430,86.342,2
62,39038,255,255,255,544.928,1129.505,229.856,216.243,123.207,2
63,40260,255,255,255,1206.641,1139.377,232.574,220.405,62.046,2
64,35615,255,255,255,1420.186,1154.961,223.511,202.883,123.178,2
65,37989,255,255,255,845.040,1186.999,227.108,212.978,20.245,2
66,29518,255,255,255,344.985,1187.064,202.199,185.874,167.044,2
67,39830,255,255,255,551.382,1359.487,235.204,215.613,86.644,2
68,40286,255,255,255,965.696,1368.070,239.300,214.349,60.565,2
69,41303,255,255,255,1188.224,1369.404,235.943,222.887,95.302,2
70,40832,255,255,255,1414.245,1375.953,234.046,222.131,43.265,2
71,31878,255,255,255,756.315,1379.471,208.856,194.337,85.144,2
72,30961,255,255,255,345.237,1377.135,198.800,198.293,153.099,2
73,35844,255,255,255,545.545,332.395,216.775,210.532,151.295,3
74,33010,255,255,255,337.456,333.390,209.701,200.427,141.291,3
75,32888,255,255,255,962.478,331.135,206.384,202.895,86.143,3
76,41157,255,255,255,1179.742,348.528,234.687,223.288,85.021,3
77,42043,255,255,255,1409.661,348.740,236.590,226.260,61.839,3
78,35114,255,255,255,758.737,358.919,218.085,205.005,94.712,3
79,28554,255,255,255,996.437,523.212,199.135,182.570,56.447,3
80,20713,255,255,255,529.721,512.885,167.845,157.125,179.814,3
81,39811,255,255,255,342.081,552.366,233.570,217.018,99.548,3
82,31241,255,255,255,716.804,565.429,204.254,194.744,129.926,3
83,37095,255,255,255,1191.802,571.509,222.115,212.641,17.020,3
84,38656,255,255,255,1414.221,577.306,225.483,218.280,166.225,3
85,29999,255,255,255,883.619,682.604,199.773,191.197,132.185,3
86,36664,255,255,255,553.080,695.070,217.202,214.925,8.921,3
87,30956,255,255,255,1075.139,746.617,204.884,192.374,115.373,3
88,37700,255,255,255,1285.769,762.542,226.513,211.914,31.232,3
89,38573,255,255,255,347.121,777.593,228.601,214.840,0.005,3
90,35126,255,255,255,729.975,814.462,212.413,210.552,2.660,3
91,31054,255,255,255,925.137,878.921,205.341,192.554,51.296,3
92,36094,255,255,255,538.516,910.884,216.909,211.869,136.458,3
93,36185,255,255,255,1415.467,928.797,222.600,206.973,39.013,3
94,29555,255,255,255,1161.140,928.673,205.817,182.835,166.750,3
95,37114,255,255,255,340.366,993.799,220.878,213.942,151.579,3
96,33418,255,255,255,717.601,1023.130,211.017,201.639,52.111,3
97,31343,255,255,255,1008.798,1057.987,204.256,195.378,81.885,3
98,40479,255,255,255,1203.064,1133.971,233.481,220.744,66.945,3
99,39093,255,255,255,533.865,1134.137,230.147,216.274,120.907,3
100,35777,255,255,255,1417.826,1147.836,224.099,203.271,121.774,3
101,38056,255,255,255,841.413,1189.718,227.301,213.173,23.524,3
102,29632,255,255,255,333.833,1195.376,202.372,186.433,171.129,3
103,41227,255,255,255,1182.486,1366.525,235.932,222.487,94.193,3
104,39805,255,255,255,539.227,1365.241,233.878,216.700,90.413,3
105,40163,255,255,255,958.665,1371.891,238.168,214.710,54.892,3
106,40526,255,255,255,1407.950,1370.633,232.623,221.815,49.584,3
107,32016,255,255,255,746.837,1382.639,208.815,195.216,77.864,3
108,30914,255,255,255,331.620,1386.676,198.856,197.937,147.572,3
109,41802,255,255,255,1417.243,337.936,235.481,226.022,62.376,4
110,41236,255,255,255,1187.725,336.130,235.310,223.124,82.187,4
111,32925,255,255,255,969.961,323.673,206.384,203.123,81.548,4
112,36201,255,255,255,551.854,330.153,216.469,212.929,140.565,4
113,33394,255,255,255,343.054,334.715,210.861,201.643,128.864,4
114,35243,255,255,255,765.707,359.085,218.284,205.571,97.413,4
115,28799,255,255,255,992.508,519.246,200.243,183.117,54.127,4
116,20682,255,255,255,530.240,511.931,166.467,158.188,178.640,4
117,40286,255,255,255,343.658,556.960,235.776,217.553,103.150,4
118,37271,255,255,255,1192.577,559.705,223.063,212.742,15.284,4
119,38869,255,255,255,1416.690,567.541,225.810,219.165,168.012,4
120,31193,255,255,255,711.032,561.901,204.182,194.513,129.958,4
121,30166,255,255,255,877.503,679.460,199.958,192.083,133.340,4
122,36870,255,255,255,550.852,695.921,217.976,215.365,3.568,4
123,31061,255,255,255,1072.494,732.886,205.052,192.869,117.154,4
124,37933,255,255,255,1284.740,752.395,226.572,213.167,30.008,4
125,38551,255,255,255,345.969,784.702,228.323,214.979,4.238,4
126,35361,255,255,255,727.895,818.105,213.551,210.830,3.219,4
127,31195,255,255,255,928.113,873.397,205.767,193.028,48.314,4
128,36241,255,255,255,532.429,911.167,216.954,212.688,147.311,4
129,36379,255,255,255,1413.571,921.999,222.581,208.100,40.142,4
130,32524,255,255,255,1153.057,922.363,205.921,201.101,3.138,4
131,37422,255,255,255,335.708,1002.553,221.113,215.488,150.376,4
132,33632,255,255,255,709.150,1027.499,211.845,202.136,50.460,4
133,31595,255,255,255,998.456,1060.098,204.869,196.359,79.918,4
134,40690,255,255,255,1195.639,1135.121,233.083,222.273,70.254,4
135,39093,255,255,255,521.935,1133.929,229.572,216.815,121.175,4
136,36153,255,255,255,1412.383,1142.553,223.294,206.147,118.693,4
137,38147,255,255,255,831.850,1195.745,227.652,213.353,28.564,4
138,29950,255,255,255,325.260,1206.818,203.083,187.773,169.217,4
139,39471,255,255,255,527.518,1363.440,230.938,217.617,90.172,4
140,41355,255,255,255,1174.179,1368.382,236.788,222.372,95.173,4
141,40829,255,255,255,1400.208,1367.910,233.719,222.426,51.407,4
142,40372,255,255,255,948.992,1378.092,237.836,216.129,51.451,4
143,32258,255,255,255,735.328,1390.494,210.274,195.326,73.533,4
144,31058,255,255,255,321.439,1400.199,199.608,198.110,115.576,4
145,36098,255,255,255,549.521,330.598,216.304,212.485,178.567,5
146,41318,255,255,255,1182.374,345.768,235.734,223.166,80.646,5
147,33745,255,255,255,342.036,331.153,208.667,205.904,82.664,5
148,32456,255,255,255,965.973,331.546,205.072,201.511,60.342,5
149,41793,255,255,255,1411.457,348.085,234.803,226.627,56.421,5
150,35119,255,255,255,762.287,356.685,218.253,204.877,92.885,5
151,28594,255,255,255,997.047,523.372,199.112,182.846,54.573,5
