 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1033,255,255,255,209.424,409.745,0.000,0.000,0.000,1
2,1232,255,255,255,205.771,533.439,0.000,0.000,0.000,1
3,1019,255,255,255,1558.263,542.086,0.000,0.000,0.000,1
4,1037,255,255,255,209.970,655.621,0.000,0.000,0.000,1
5,1032,255,255,255,1558.230,668.557,0.000,0.000,0.000,1
6,1058,255,255,255,204.036,787.491,0.000,0.000,0.000,1
7,1060,255,255,255,1558.733,792.701,0.000,0.000,0.000,1
8,1074,255,255,255,207.398,900.171,0.000,0.000,0.000,1
9,1255,255,255,255,1555.052,903.976,0.000,0.000,0.000,1
10,1063,255,255,255,1557.029,1031.679,0.000,0.000,0.000,1
11,930,255,255,255,207.085,1033.896,0.000,0.000,0.000,1
12,1048,255,255,255,1554.199,1147.929,0.000,0.000,0.000,1
13,1223,255,255,255,206.453,1158.975,0.000,0.000,0.000,1
14,1035,255,255,255,1557.195,1282.541,0.000,0.000,0.000,1
15,1047,255,255,255,203.940,389.258,41.337,32.249,15.309,2
16,1236,255,255,255,202.189,512.879,41.993,37.475,10.217,2
17,1021,255,255,255,1551.356,560.649,40.486,32.109,40.984,2
18,1025,255,255,255,208.163,634.892,38.278,34.095,81.160,2
19,1048,255,255,255,1553.147,687.169,38.645,34.529,34.439,2
20,1048,255,255,255,204.271,767.281,40.067,33.303,39.141,2
21,1057,255,255,255,1555.785,811.555,38.461,34.992,61.649,2
22,1095,255,255,255,209.723,879.856,39.448,35.343,172.976,2
23,1285,255,255,255,1553.651,922.853,42.984,38.063,174.208,2
24,935,255,255,255,211.210,1013.306,36.127,32.952,28.893,2
25,1081,255,255,255,1557.760,1050.632,38.376,35.866,74.551,2
26,1240,255,255,255,213.138,1138.627,46.766,33.760,56.537,2
27,1063,255,255,255,1556.819,1166.651,38.141,35.485,37.599,2
28,1037,255,255,255,1562.101,1301.886,37.091,35.598,73.698,2
29,1033,255,255,255,203.276,405.242,40.512,32.466,15.449,3
30,1256,255,255,255,199.912,528.846,42.491,37.636,6.947,3
31,1041,255,255,255,1556.772,541.250,40.241,32.938,44.020,3
32,1039,255,255,255,203.897,651.053,38.390,34.460,76.318,3
33,1055,255,255,255,1556.651,667.679,38.605,34.795,37.368,3
34,1073,255,255,255,198.215,783.353,40.373,33.839,38.358,3
35,1070,255,255,255,1557.365,792.250,38.790,35.122,60.864,3
36,1093,255,255,255,201.656,895.772,39.511,35.222,174.651,3
37,1284,255,255,255,1553.713,903.520,42.731,38.259,171.811,3
38,937,255,255,255,201.231,1029.488,36.627,32.572,26.608,3
39,1088,255,255,255,1555.659,1031.102,38.785,35.717,71.552,3
40,1050,255,255,255,1552.977,1147.273,37.836,35.334,36.134,3
41,1233,255,255,255,201.019,1155.014,46.418,33.821,54.154,3
42,1054,255,255,255,1556.130,1282.469,37.484,35.802,73.691,3
43,1029,255,255,255,208.517,422.954,40.803,32.110,12.895,4
44,1039,255,255,255,1563.902,521.519,40.469,32.689,39.417,4
45,1240,255,255,255,203.098,546.195,42.578,37.081,7.338,4
46,1034,255,255,255,1561.684,647.977,38.582,34.123,29.645,4
47,1048,255,255,255,205.234,668.828,38.627,34.545,77.995,4
48,1063,255,255,255,1560.516,772.685,38.620,35.046,56.673,4
49,1032,255,255,255,197.484,800.731,39.741,33.064,39.253,4
50,1264,255,255,255,1555.029,883.710,42.778,37.621,169.749,4
51,1082,255,255,255,199.387,913.296,39.590,34.798,170.585,4
52,1084,255,255,255,1555.019,1011.386,38.491,35.857,69.061,4
53,935,255,255,255,196.941,1046.964,36.403,32.703,29.036,4
54,1050,255,255,255,1550.774,1127.614,37.804,35.364,31.399,4
55,1227,255,255,255,194.761,1172.355,46.352,33.705,53.148,4
56,1033,255,255,255,1551.604,1262.279,37.000,35.547,74.760,4
57,1030,255,255,255,208.869,409.455,41.155,31.866,10.668,5
58,1241,255,255,255,205.207,532.976,42.642,37.054,8.099,5
59,1044,255,255,255,1560.031,541.171,40.477,32.840,41.421,5
60,1028,255,255,255,209.168,655.669,37.963,34.478,72.356,5
61,1028,255,255,255,1559.843,667.889,38.279,34.193,32.234,5
62,1041,255,255,255,203.470,787.379,39.970,33.161,36.186,5
63,1054,255,255,255,1560.317,792.376,38.655,34.717,61.723,5
64,1087,255,255,255,206.754,899.949,39.617,34.935,174.100,5
65,1274,255,255,255,1556.552,903.468,42.815,37.886,173.076,5
66,1065,255,255,255,1558.446,1031.272,38.049,35.638,66.286,5
67,926,255,255,255,206.296,1033.546,36.264,32.512,26.756,5
68,1039,255,255,255,1555.364,1147.240,37.542,35.238,34.853,5
69,1231,255,255,255,205.867,1159.033,46.447,33.745,56.241,5
70,1028,255,255,255,1558.592,1282.014,36.598,35.764,82.367,5
71,1027,255,255,255,197.478,370.033,41.080,31.831,14.762,6
72,1238,255,255,255,197.742,493.562,42.778,36.848,6.702,6
73,1024,255,255,255,1545.106,580.301,40.281,32.367,44.352,6
74,1029,255,255,255,205.593,615.684,37.927,34.544,80.508,6
75,1020,255,255,255,1549.053,706.535,37.843,34.318,35.168,6
76,1064,255,255,255,204.180,747.754,39.911,33.944,40.652,6
77,1039,255,255,255,1553.373,831.343,38.260,34.577,66.700,6
78,1086,255,255,255,210.748,860.425,39.450,35.050,174.342,6
79,1265,255,255,255,1553.227,942.514,42.736,37.688,174.627,6
80,922,255,255,255,214.810,993.971,36.095,32.524,24.181,6
