 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,37284,255,255,255,342.130,340.637,0,0,0,1
2,31329,255,255,255,610.673,333.668,0,0,0,1
3,33617,255,255,255,1230.943,336.513,0,0,0,1
4,40505,255,255,255,1016.402,345.498,0,0,0,1
5,32588,255,255,255,1425.962,339.840,0,0,0,1
6,31857,255,255,255,805.831,343.631,0,0,0,1
7,20807,255,255,255,491.894,467.918,0,0,0,1
8,43213,255,255,255,695.751,537.306,0,0,0,1
9,37264,255,255,255,1139.296,529.781,0,0,0,1
10,37017,255,255,255,917.151,547.575,0,0,0,1
11,40796,255,255,255,1397.730,556.386,0,0,0,1
12,32308,255,255,255,325.939,546.010,0,0,0,1
13,33677,255,255,255,510.149,651.695,0,0,0,1
14,28494,255,255,255,1236.457,700.278,0,0,0,1
15,36820,255,255,255,1028.468,726.424,0,0,0,1
16,42561,255,255,255,803.368,754.162,0,0,0,1
17,31647,255,255,255,326.570,745.557,0,0,0,1
18,36018,255,255,255,1411.324,789.276,0,0,0,1
19,37983,255,255,255,592.155,843.692,0,0,0,1
20,39106,255,255,255,1210.785,899.073,0,0,0,1
21,30796,255,255,255,390.683,927.401,0,0,0,1
22,38679,255,255,255,989.126,942.480,0,0,0,1
23,41011,255,255,255,769.064,982.532,0,0,0,1
24,31994,255,255,255,1406.959,995.009,0,0,0,1
25,36468,255,255,255,550.177,1054.753,0,0,0,1
26,35417,255,255,255,1133.061,1103.716,0,0,0,1
27,37616,255,255,255,332.013,1124.714,0,0,0,1
28,34437,255,255,255,924.403,1149.203,0,0,0,1
29,38720,255,255,255,713.242,1198.365,0,0,0,1
30,31527,255,255,255,1414.331,1189.418,0,0,0,1
31,38795,255,255,255,495.196,1267.885,0,0,0,1
32,28156,255,255,255,1241.346,1272.102,0,0,0,1
33,40304,255,255,255,856.032,1374.256,0,0,0,1
34,39955,255,255,255,1071.836,1378.290,0,0,0,1
35,31986,255,255,255,324.717,1391.824,0,0,0,1
36,34477,255,255,255,1402.780,1393.691,0,0,0,1
37,30828,255,255,255,649.107,1399.619,0,0,0,1
38,37504,255,255,255,336.925,339.013,223.165,213.974,26.471,2
39,31772,255,255,255,607.894,334.935,209.176,193.394,89.427,2
40,31909,255,255,255,802.388,345.884,214.895,189.059,97.351,2
41,40648,255,255,255,1011.620,353.857,231.576,223.489,57.569,2
42,32942,255,255,255,1223.572,350.222,214.677,195.377,104.627,2
43,32189,255,255,255,1416.181,355.320,216.833,189.013,97.487,2
44,20726,255,255,255,486.224,466.013,167.842,157.226,136.763,2
45,42851,255,255,255,692.414,538.464,239.966,227.364,90.612,2
46,37098,255,255,255,1132.993,539.759,222.971,211.842,7.656,2
47,36768,255,255,255,912.279,555.039,218.514,214.240,49.548,2
48,32129,255,255,255,322.324,544.928,210.922,193.948,161.718,2
49,40893,255,255,255,1392.715,569.830,239.426,217.464,169.514,2
50,33444,255,255,255,506.455,649.117,208.781,203.957,116.621,2
51,28225,255,255,255,1230.647,709.166,202.703,177.290,42.809,2
52,36602,255,255,255,1024.762,733.718,225.077,207.054,32.692,2
53,41853,255,255,255,801.257,750.991,239.931,222.101,125.336,2
54,31508,255,255,255,325.869,744.003,206.337,194.426,30.547,2
55,36051,255,255,255,1408.986,791.979,218.322,210.248,51.798,2
56,37960,255,255,255,591.535,838.697,229.328,210.756,23.805,2
57,38840,255,255,255,1211.497,905.830,234.497,210.888,178.194,2
58,30631,255,255,255,391.016,924.149,204.601,190.618,13.088,2
59,38668,255,255,255,991.574,950.035,227.606,216.311,117.261,2
