 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,995,255,255,255,217.403,412.998,0.000,0.000,0.000,1
2,1190,255,255,255,213.607,537.078,0.000,0.000,0.000,1
3,989,255,255,255,1566.199,545.995,0.000,0.000,0.000,1
4,990,255,255,255,217.557,659.332,0.000,0.000,0.000,1
5,1003,255,255,255,1566.018,672.317,0.000,0.000,0.000,1
6,1001,255,255,255,211.694,791.098,0.000,0.000,0.000,1
7,1020,255,255,255,1566.733,796.518,0.000,0.000,0.000,1
8,1044,255,255,255,215.207,903.696,0.000,0.000,0.000,1
9,1241,255,255,255,1562.904,907.722,0.000,0.000,0.000,1
10,1051,255,255,255,1564.848,1035.498,0.000,0.000,0.000,1
11,898,255,255,255,214.744,1037.018,0.000,0.000,0.000,1
12,1023,255,255,255,1562.091,1151.612,0.000,0.000,0.000,1
13,1170,255,255,255,214.273,1162.559,0.000,0.000,0.000,1
14,1023,255,255,255,1565.142,1286.217,0.000,0.000,0.000,1
15,998,255,255,255,199.393,353.656,40.401,31.452,16.997,2
16,1186,255,255,255,201.493,477.110,41.408,36.467,12.491,2
17,982,255,255,255,211.205,599.126,37.203,33.609,81.851,2
18,980,255,255,255,1546.709,604.541,39.359,31.703,45.022,2
19,1025,255,255,255,211.846,731.293,39.351,33.165,44.585,2
20,1018,255,255,255,1552.694,730.957,38.236,33.899,38.033,2
21,1034,255,255,255,220.571,843.736,38.521,34.177,172.398,2
22,1031,255,255,255,1559.193,855.286,38.228,34.339,64.105,2
23,1227,255,255,255,1560.846,966.390,41.930,37.259,174.024,2
24,887,255,255,255,226.371,977.215,35.482,31.830,28.652,2
25,1059,255,255,255,1568.904,1093.817,38.066,35.422,70.318,2
26,1181,255,255,255,232.017,1102.398,45.918,32.747,56.811,2
27,1033,255,255,255,1571.418,1210.125,37.806,34.789,45.687,2
28,1031,255,255,255,1581.076,1344.714,36.896,35.579,76.843,2
29,1005,255,255,255,210.066,408.169,40.513,31.585,12.134,3
30,1208,255,255,255,206.567,531.781,42.134,36.504,9.178,3
31,989,255,255,255,1566.896,544.795,39.719,31.703,43.232,3
32,1022,255,255,255,210.739,653.960,37.651,34.561,76.247,3
33,1006,255,255,255,1566.893,671.519,37.976,33.728,31.430,3
34,1021,255,255,255,204.958,786.163,39.308,33.072,37.773,3
35,1027,255,255,255,1567.465,795.967,37.996,34.415,62.137,3
36,1050,255,255,255,208.385,898.857,38.925,34.346,177.636,3
37,1236,255,255,255,1563.968,907.089,42.219,37.275,173.843,3
38,913,255,255,255,208.346,1032.456,35.840,32.435,23.605,3
39,1045,255,255,255,1565.851,1034.869,37.777,35.220,70.481,3
40,1022,255,255,255,1563.154,1150.961,37.586,34.620,39.946,3
41,1202,255,255,255,207.866,1157.765,46.135,33.173,54.978,3
42,1002,255,255,255,1566.114,1286.071,36.510,34.944,82.468,3
43,971,255,255,255,232.051,465.329,39.849,31.025,11.942,4
44,982,255,255,255,1587.869,489.032,39.642,31.540,38.733,4
45,1170,255,255,255,222.710,589.046,41.240,36.123,4.762,4
46,990,255,255,255,1581.911,615.727,37.527,33.590,30.211,4
47,974,255,255,255,221.285,711.486,36.528,33.950,71.191,4
48,1005,255,255,255,1576.588,739.994,37.640,33.996,61.103,4
49,991,255,255,255,209.086,842.666,39.227,32.166,37.537,4
50,1220,255,255,255,1567.770,850.798,42.068,36.925,170.493,4
51,1031,255,255,255,207.462,955.406,38.387,34.197,170.827,4
52,1025,255,255,255,1563.624,978.561,37.500,34.802,66.805,4
53,890,255,255,255,201.135,1088.576,35.842,31.616,21.318,4
54,1007,255,255,255,1555.365,1094.444,37.009,34.644,34.022,4
55,1178,255,255,255,194.830,1213.940,45.605,32.888,51.099,4
56,988,255,255,255,1552.034,1229.101,36.271,34.682,76.819,4
57,995,255,255,255,217.106,413.152,40.376,31.377,14.237,5
58,1192,255,255,255,213.310,536.827,41.557,36.521,6.603,5
59,993,255,255,255,1566.144,545.350,39.871,31.711,41.004,5
60,981,255,255,255,217.306,659.185,37.356,33.436,74.054,5
61,1005,255,255,255,1566.034,671.938,38.142,33.548,34.117,5
62,993,255,255,255,211.394,791.228,38.984,32.432,40.303,5
63,1012,255,255,255,1566.573,796.573,37.910,33.989,61.793,5
64,1050,255,255,255,215.092,903.793,38.887,34.379,174.187,5
65,1231,255,255,255,1562.693,907.581,42.007,37.312,173.246,5
66,1040,255,255,255,1564.808,1035.464,37.445,35.363,65.122,5
67,897,255,255,255,214.562,1037.410,35.625,32.059,22.600,5
68,1023,255,255,255,1561.897,1151.467,37.545,34.693,39.188,5
69,1179,255,255,255,213.895,1162.751,45.992,32.639,54.695,5
70,998,255,255,255,1565.067,1286.580,36.343,34.964,74.489,5
71,999,255,255,255,199.749,353.921,40.827,31.155,12.269,6
72,1194,255,255,255,201.661,477.565,41.269,36.838,16.038,6
73,979,255,255,255,211.502,599.396,37.255,33.459,77.148,6
74,973,255,255,255,1546.868,604.097,39.264,31.552,43.674,6
75,986,255,255,255,1552.838,730.446,37.632,33.360,38.232,6
76,1009,255,255,255,212.111,731.326,39.338,32.658,41.435,6
77,1048,255,255,255,220.770,844.151,39.031,34.187,179.532,6
78,1021,255,255,255,1559.310,855.064,38.068,34.149,61.620,6
79,1225,255,255,255,1561.050,966.230,41.895,37.229,174.825,6
80,889,255,255,255,226.808,977.691,35.930,31.503,29.170,6
81,1030,255,255,255,1569.061,1093.667,37.561,34.915,74.826,6
