 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,955,255,255,255,1332.260,190.976,0.000,0.000,0.000,1
2,850,255,255,255,1056.072,193.249,0.000,0.000,0.000,1
3,872,255,255,255,902.644,195.784,0.000,0.000,0.000,1
4,824,255,255,255,1193.083,195.896,0.000,0.000,0.000,1
5,756,255,255,255,761.832,196.212,0.000,0.000,0.000,1
6,832,255,255,255,476.751,200.381,0.000,0.000,0.000,1
7,807,255,255,255,611.952,199.164,0.000,0.000,0.000,1
8,854,255,255,255,1057.297,1525.978,0.000,0.000,0.000,1
9,926,255,255,255,664.417,1527.535,0.000,0.000,0.000,1
10,991,255,255,255,521.926,1528.455,0.000,0.000,0.000,1
11,941,255,255,255,1312.679,1528.395,0.000,0.000,0.000,1
12,907,255,255,255,782.716,1529.169,0.000,0.000,0.000,1
13,880,255,255,255,916.007,1529.885,0.000,0.000,0.000,1
14,924,255,255,255,1176.821,1529.666,0.000,0.000,0.000,1
15,844,255,255,255,421.621,207.122,34.812,30.869,112.791,2
16,843,255,255,255,556.939,212.193,32.960,32.565,149.061,2
17,782,255,255,255,706.465,216.824,32.807,30.349,119.783,2
18,919,255,255,255,847.088,223.141,34.595,33.823,161.351,2
19,876,255,255,255,1000.924,228.281,34.688,32.154,84.800,2
20,981,255,255,255,1276.459,239.394,36.819,33.924,83.212,2
21,834,255,255,255,1137.384,237.012,32.737,32.436,159.756,2
22,991,255,255,255,582.045,1484.815,36.112,34.941,22.539,2
23,914,255,255,255,724.485,1490.972,35.229,33.034,26.560,2
24,913,255,255,255,842.583,1498.550,34.989,33.224,69.411,2
25,888,255,255,255,975.733,1505.502,36.315,31.134,102.835,2
26,867,255,255,255,1117.179,1508.543,34.204,32.274,31.415,2
27,937,255,255,255,1236.382,1518.312,35.754,33.368,153.566,2
28,965,255,255,255,1372.225,1523.544,36.317,33.832,151.806,2
29,992,255,255,255,1326.008,193.712,36.770,34.350,73.503,3
30,867,255,255,255,1050.035,195.537,34.013,32.455,86.527,3
31,898,255,255,255,896.227,197.457,34.077,33.553,139.718,3
32,773,255,255,255,755.413,198.077,32.751,30.051,118.184,3
33,830,255,255,255,1186.804,198.222,32.629,32.388,9.311,3
34,854,255,255,255,470.378,201.776,34.773,31.270,117.729,3
35,836,255,255,255,605.827,200.508,32.963,32.292,129.864,3
36,870,255,255,255,1055.510,1520.786,34.032,32.550,42.645,3
37,993,255,255,255,519.896,1522.327,36.157,34.967,21.493,3
38,932,255,255,255,662.564,1521.687,35.580,33.352,31.015,3
39,914,255,255,255,780.730,1523.605,34.823,33.419,56.881,3
40,966,255,255,255,1310.819,1523.622,35.928,34.234,153.310,3
41,877,255,255,255,913.993,1524.380,36.030,30.992,106.986,3
42,946,255,255,255,1174.967,1524.901,35.731,33.710,146.603,3
43,975,255,255,255,1382.301,146.620,36.371,34.132,85.607,4
44,831,255,255,255,1243.454,157.526,32.841,32.218,41.672,4
45,853,255,255,255,1106.846,161.501,33.612,32.312,100.864,4
46,886,255,255,255,953.663,170.900,33.752,33.423,97.833,4
47,756,255,255,255,812.577,177.730,32.219,29.876,110.685,4
48,809,255,255,255,663.248,187.376,32.472,31.721,0.755,4
49,845,255,255,255,528.165,195.240,34.449,31.232,117.561,4
50,963,255,255,255,1254.560,1527.596,36.140,33.927,158.237,4
51,942,255,255,255,1118.730,1535.173,35.404,33.877,153.961,4
52,863,255,255,255,999.415,1536.777,33.963,32.353,38.495,4
53,878,255,255,255,857.979,1547.219,35.804,31.223,107.797,4
54,921,255,255,255,725.005,1552.644,34.964,33.539,64.440,4
55,934,255,255,255,606.581,1556.484,35.509,33.490,33.668,4
56,989,255,255,255,464.390,1564.165,36.475,34.523,17.983,4
57,973,255,255,255,1332.030,191.523,36.572,33.875,83.481,5
58,852,255,255,255,1055.891,193.545,33.978,31.927,87.791,5
59,840,255,255,255,1192.774,196.044,32.935,32.473,0.942,5
60,779,255,255,255,761.485,196.517,32.565,30.458,122.478,5
61,880,255,255,255,902.483,195.915,33.961,32.992,166.275,5
62,859,255,255,255,476.599,200.389,34.462,31.737,115.077,5
63,837,255,255,255,612.065,198.842,33.158,32.140,159.446,5
64,865,255,255,255,1056.858,1525.466,33.987,32.405,29.326,5
65,995,255,255,255,521.414,1527.905,36.486,34.722,24.104,5
66,932,255,255,255,664.041,1527.122,35.538,33.391,34.471,5
67,965,255,255,255,1312.320,1528.119,35.773,34.346,152.695,5
68,910,255,255,255,782.124,1528.818,34.444,33.639,49.012,5
69,889,255,255,255,915.430,1529.561,35.927,31.505,103.441,5
70,946,255,255,255,1176.377,1529.401,35.432,33.994,150.848,5
