 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1019,255,255,255,208.607,404.141,0.000,0.000,0.000,1
2,1236,255,255,255,205.133,527.577,0.000,0.000,0.000,1
3,1030,255,255,255,1557.323,538.268,0.000,0.000,0.000,1
4,1031,255,255,255,209.002,650.237,0.000,0.000,0.000,1
5,1033,255,255,255,1557.133,664.990,0.000,0.000,0.000,1
6,1024,255,255,255,203.204,781.911,0.000,0.000,0.000,1
7,1048,255,255,255,1557.969,789.261,0.000,0.000,0.000,1
8,1065,255,255,255,206.737,894.679,0.000,0.000,0.000,1
9,1274,255,255,255,1554.162,900.593,0.000,0.000,0.000,1
10,1057,255,255,255,1556.228,1028.278,0.000,0.000,0.000,1
11,895,255,255,255,206.406,1028.460,0.000,0.000,0.000,1
12,1046,255,255,255,1553.431,1144.389,0.000,0.000,0.000,1
13,1198,255,255,255,205.950,1153.715,0.000,0.000,0.000,1
14,1048,255,255,255,1556.708,1279.417,0.000,0.000,0.000,1
15,1004,255,255,255,204.143,385.316,40.496,31.567,13.555,2
16,1197,255,255,255,202.198,508.807,41.702,36.546,6.818,2
17,1006,255,255,255,1551.812,556.462,39.983,32.036,46.183,2
18,1003,255,255,255,208.169,630.865,38.051,33.562,74.884,2
19,1021,255,255,255,1553.620,683.183,38.335,33.911,35.320,2
20,1017,255,255,255,204.478,763.214,39.576,32.719,38.949,2
21,1043,255,255,255,1556.386,807.557,38.164,34.797,62.071,2
22,1062,255,255,255,209.604,875.779,39.060,34.618,172.912,2
23,1259,255,255,255,1554.293,918.637,42.411,37.797,175.277,2
24,901,255,255,255,211.327,1009.267,35.281,32.516,31.532,2
25,1057,255,255,255,1558.304,1046.423,38.133,35.292,73.159,2
26,1195,255,255,255,212.820,1134.680,45.841,33.191,55.137,2
27,1033,255,255,255,1557.547,1162.308,37.697,34.890,38.386,2
28,1039,255,255,255,1562.625,1297.224,36.895,35.855,74.294,2
29,1028,255,255,255,200.301,397.620,40.713,32.149,14.037,3
30,1234,255,255,255,196.965,521.299,42.487,36.980,5.713,3
31,1030,255,255,255,1553.212,536.597,40.112,32.694,43.777,3
32,1014,255,255,255,200.993,643.363,37.822,34.135,78.596,3
33,1047,255,255,255,1553.426,663.304,38.705,34.443,35.046,3
34,1028,255,255,255,195.437,775.723,39.699,32.971,42.082,3
35,1056,255,255,255,1554.071,787.807,38.706,34.737,66.613,3
36,1085,255,255,255,199.342,888.289,39.273,35.176,175.357,3
37,1273,255,255,255,1550.722,898.903,42.770,37.897,173.756,3
38,908,255,255,255,199.063,1021.705,35.830,32.267,24.841,3
39,1079,255,255,255,1552.945,1026.612,38.585,35.606,74.908,3
40,1065,255,255,255,1550.489,1142.567,38.044,35.643,42.576,3
41,1220,255,255,255,199.135,1147.122,46.305,33.546,55.226,3
42,1050,255,255,255,1553.736,1277.523,37.258,35.882,87.479,3
43,1004,255,255,255,207.671,419.060,40.621,31.470,12.068,4
44,1022,255,255,255,1563.452,517.123,40.411,32.200,42.084,4
45,1204,255,255,255,202.347,542.498,41.385,37.042,7.723,4
46,1021,255,255,255,1561.421,644.046,38.378,33.873,35.305,4
47,1001,255,255,255,204.695,665.180,37.483,34.003,75.350,4
48,1041,255,255,255,1560.324,768.176,38.345,34.566,58.795,4
49,1027,255,255,255,196.847,796.839,39.295,33.277,39.067,4
