 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1033,255,255,255,220.593,404.114,0.000,0.000,0.000,1
2,1235,255,255,255,216.909,527.694,0.000,0.000,0.000,1
3,1045,255,255,255,1569.368,537.951,0.000,0.000,0.000,1
4,1029,255,255,255,220.899,649.945,0.000,0.000,0.000,1
5,1048,255,255,255,1569.459,664.358,0.000,0.000,0.000,1
6,1038,255,255,255,215.179,782.069,0.000,0.000,0.000,1
7,1070,255,255,255,1569.979,789.162,0.000,0.000,0.000,1
8,1083,255,255,255,218.617,894.496,0.000,0.000,0.000,1
9,1289,255,255,255,1566.343,900.389,0.000,0.000,0.000,1
10,1093,255,255,255,1568.281,1027.916,0.000,0.000,0.000,1
11,911,255,255,255,218.127,1028.212,0.000,0.000,0.000,1
12,1068,255,255,255,1565.596,1143.884,0.000,0.000,0.000,1
13,1234,255,255,255,217.920,1153.563,0.000,0.000,0.000,1
14,1054,255,255,255,1568.748,1279.176,0.000,0.000,0.000,1
15,1062,255,255,255,200.818,329.507,41.541,32.551,17.666,2
16,1233,255,255,255,204.695,452.915,41.835,37.526,14.611,2
17,1036,255,255,255,216.490,574.759,38.142,34.584,80.843,2
18,1023,255,255,255,1547.278,615.092,40.143,32.447,44.972,2
19,1055,255,255,255,218.878,706.960,40.089,33.507,42.594,2
20,1029,255,255,255,1554.881,741.637,37.994,34.484,35.819,2
21,1090,255,255,255,228.997,819.276,39.255,35.354,176.513,2
22,1057,255,255,255,1563.267,865.505,38.664,34.808,66.360,2
23,930,255,255,255,236.744,952.668,36.484,32.455,27.640,2
24,1274,255,255,255,1566.323,976.857,42.915,37.798,177.116,2
25,1227,255,255,255,244.126,1078.027,46.536,33.571,58.543,2
26,1083,255,255,255,1576.336,1103.991,38.548,35.772,76.296,2
27,1057,255,255,255,1580.664,1220.032,37.923,35.488,33.022,2
28,1049,255,255,255,1592.058,1354.780,37.326,35.783,75.543,2
29,1039,255,255,255,212.489,398.531,41.210,32.101,11.598,3
30,1233,255,255,255,208.833,521.863,42.167,37.230,6.863,3
31,1035,255,255,255,1570.755,536.684,40.074,32.884,45.401,3
32,1033,255,255,255,213.167,644.293,38.234,34.400,77.195,3
33,1042,255,255,255,1570.778,663.156,38.528,34.435,32.151,3
34,1033,255,255,255,207.557,776.485,39.648,33.174,36.031,3
35,1064,255,255,255,1571.373,787.800,38.653,35.048,63.016,3
36,1094,255,255,255,211.327,889.069,39.740,35.051,171.326,3
37,1273,255,255,255,1567.930,898.801,42.803,37.867,170.713,3
