 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,971,255,255,255,1334.710,183.834,0.000,0.000,0.000,1
2,864,255,255,255,1058.719,185.780,0.000,0.000,0.000,1
3,770,255,255,255,764.308,188.517,0.000,0.000,0.000,1
4,866,255,255,255,905.321,188.241,0.000,0.000,0.000,1
5,809,255,255,255,1195.828,188.102,0.000,0.000,0.000,1
6,844,255,255,255,479.500,192.325,0.000,0.000,0.000,1
7,834,255,255,255,614.861,191.062,0.000,0.000,0.000,1
8,852,255,255,255,1061.438,1516.749,0.000,0.000,0.000,1
9,966,255,255,255,525.869,1518.849,0.000,0.000,0.000,1
10,908,255,255,255,668.532,1518.165,0.000,0.000,0.000,1
11,900,255,255,255,786.670,1519.968,0.000,0.000,0.000,1
12,865,255,255,255,919.946,1520.575,0.000,0.000,0.000,1
13,923,255,255,255,1180.911,1520.784,0.000,0.000,0.000,1
14,936,255,255,255,1316.775,1519.655,0.000,0.000,0.000,1
15,853,255,255,255,411.780,202.342,35.000,31.030,116.352,2
16,828,255,255,255,546.752,209.342,32.834,32.108,165.251,2
17,793,255,255,255,696.341,216.151,33.377,30.251,122.184,2
18,890,255,255,255,837.326,224.378,33.738,33.588,112.226,2
19,862,255,255,255,990.645,231.882,33.901,32.375,89.447,2
20,798,255,255,255,1127.170,242.642,32.198,31.556,122.825,2
21,970,255,255,255,1265.948,246.669,36.649,33.700,80.353,2
22,978,255,255,255,606.208,1464.751,35.845,34.739,31.903,2
23,922,255,255,255,748.189,1472.844,35.220,33.332,25.885,2
24,909,255,255,255,866.300,1482.054,34.436,33.609,63.785,2
25,871,255,255,255,999.476,1491.197,35.673,31.088,102.105,2
26,857,255,255,255,1140.910,1496.274,33.657,32.420,20.022,2
27,927,255,255,255,1259.773,1507.738,35.301,33.435,146.528,2
28,956,255,255,255,1395.563,1514.849,35.827,33.975,146.742,2
29,989,255,255,255,1328.167,186.237,37.268,33.788,86.588,3
30,871,255,255,255,1052.266,188.113,34.288,32.343,84.903,3
31,904,255,255,255,898.938,190.028,34.143,33.712,11.290,3
32,785,255,255,255,757.948,190.458,33.146,30.154,113.335,3
33,826,255,255,255,1189.201,190.521,32.870,31.996,172.958,3
34,848,255,255,255,472.922,193.908,34.660,31.151,120.522,3
35,831,255,255,255,608.131,192.843,33.004,32.059,144.921,3
36,863,255,255,255,1059.528,1510.105,33.839,32.471,35.475,3
37,988,255,255,255,524.175,1511.597,36.032,34.912,34.046,3
38,921,255,255,255,666.821,1510.944,35.259,33.259,34.466,3
39,912,255,255,255,784.911,1513.031,34.465,33.692,56.982,3
40,879,255,255,255,918.269,1513.863,35.957,31.126,102.255,3
41,948,255,255,255,1314.896,1513.509,35.689,33.821,154.155,3
42,939,255,255,255,1178.985,1514.466,35.339,33.831,143.887,3
43,986,255,255,255,1401.010,125.048,37.230,33.721,80.520,4
44,800,255,255,255,1262.789,138.105,32.356,31.481,23.877,4
45,852,255,255,255,1126.038,144.153,33.275,32.601,86.248,4
46,888,255,255,255,972.896,155.699,33.913,33.339,10.941,4
47,764,255,255,255,832.234,165.013,32.498,29.933,114.394,4
48,816,255,255,255,683.016,176.746,32.818,31.658,171.025,4
49,849,255,255,255,548.064,186.659,34.785,31.076,121.775,4
50,956,255,255,255,1238.999,1518.366,35.851,33.953,147.715,4
51,946,255,255,255,1103.347,1527.852,35.446,33.981,147.054,4
52,862,255,255,255,984.036,1531.374,33.942,32.335,35.407,4
53,869,255,255,255,842.845,1543.859,35.326,31.321,109.822,4
