 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1055,255,255,255,214.451,413.904,0.000,0.000,0.000,1
2,1253,255,255,255,210.925,537.552,0.000,0.000,0.000,1
3,1054,255,255,255,1536.293,550.704,0.000,0.000,0.000,1
4,1053,255,255,255,214.753,659.924,0.000,0.000,0.000,1
5,1068,255,255,255,1536.894,677.425,0.000,0.000,0.000,1
6,1059,255,255,255,209.254,791.931,0.000,0.000,0.000,1
7,1068,255,255,255,1538.335,801.938,0.000,0.000,0.000,1
8,1087,255,255,255,212.842,904.578,0.000,0.000,0.000,1
9,1293,255,255,255,1535.097,913.036,0.000,0.000,0.000,1
10,940,255,255,255,212.394,1037.915,0.000,0.000,0.000,1
11,1079,255,255,255,1538.117,1040.744,0.000,0.000,0.000,1
12,1046,255,255,255,1536.065,1156.795,0.000,0.000,0.000,1
13,1233,255,255,255,211.881,1163.306,0.000,0.000,0.000,1
14,1067,255,255,255,1539.866,1291.852,0.000,0.000,0.000,1
15,1078,255,255,255,208.837,396.737,41.210,33.306,16.994,2
16,1260,255,255,255,207.213,520.405,42.071,38.133,3.370,2
17,1065,255,255,255,1530.607,570.516,40.978,33.091,47.014,2
18,1045,255,255,255,212.926,642.467,39.005,34.112,78.677,2
19,1110,255,255,255,1533.196,697.105,39.600,35.690,43.673,2
20,1076,255,255,255,209.365,774.667,40.182,34.095,42.638,2
21,1095,255,255,255,1536.523,821.582,39.141,35.620,66.737,2
22,1110,255,255,255,214.485,887.392,39.683,35.615,169.370,2
23,1305,255,255,255,1535.216,932.774,43.042,38.604,172.061,2
24,938,255,255,255,216.204,1020.903,36.387,32.822,36.114,2
25,1106,255,255,255,1539.980,1060.363,39.234,35.892,76.180,2
26,1227,255,255,255,217.423,1146.338,46.796,33.384,57.865,2
27,1083,255,255,255,1539.608,1176.200,38.528,35.790,52.113,2
28,1059,255,255,255,1545.657,1311.435,37.965,35.516,90.330,2
29,1059,255,255,255,210.992,413.208,41.219,32.712,13.794,3
30,1263,255,255,255,207.289,536.876,42.160,38.142,9.302,3
31,1098,255,255,255,1539.255,550.499,41.574,33.627,47.585,3
32,1048,255,255,255,211.195,659.422,38.847,34.349,80.788,3
33,1074,255,255,255,1539.924,677.318,39.183,34.899,33.288,3
34,1065,255,255,255,205.397,791.189,40.307,33.641,43.308,3
35,1097,255,255,255,1541.195,801.507,39.123,35.702,69.245,3
36,1106,255,255,255,208.888,903.637,39.297,35.835,168.657,3
37,1289,255,255,255,1538.139,912.806,43.060,38.114,171.248,3
38,941,255,255,255,208.430,1037.182,36.334,32.975,36.855,3
39,1096,255,255,255,1540.761,1040.397,39.064,35.723,75.092,3
40,1073,255,255,255,1538.655,1156.340,38.128,35.832,41.363,3
41,1222,255,255,255,207.831,1162.610,46.702,33.316,56.567,3
42,1050,255,255,255,1542.633,1291.033,37.373,35.772,91.959,3
43,1068,255,255,255,213.342,429.781,41.532,32.741,11.213,4
44,1063,255,255,255,1544.152,530.784,40.969,33.036,41.942,4
45,1244,255,255,255,208.031,553.258,42.578,37.200,6.853,4
46,1052,255,255,255,1542.619,657.305,38.753,34.563,31.974,4
47,1030,255,255,255,210.051,675.493,38.392,34.160,85.277,4
48,1072,255,255,255,1542.219,782.182,39.080,34.926,59.981,4
49,1052,255,255,255,202.456,807.558,40.191,33.327,39.617,4
50,1293,255,255,255,1537.318,893.228,43.473,37.869,172.347,4
51,1084,255,255,255,204.312,920.236,39.402,35.028,170.214,4
52,1067,255,255,255,1538.282,1020.769,38.080,35.676,67.939,4
53,926,255,255,255,202.103,1053.751,35.832,32.904,31.070,4
54,1054,255,255,255,1534.427,1136.797,37.776,35.525,29.437,4
55,1219,255,255,255,199.528,1179.096,46.066,33.692,54.962,4
56,1037,255,255,255,1536.257,1272.083,36.881,35.800,91.246,4
57,1038,255,255,255,214.781,417.132,40.690,32.480,11.186,5
58,1233,255,255,255,210.802,540.683,42.060,37.325,6.404,5
59,1034,255,255,255,1542.527,549.427,40.388,32.597,45.662,5
60,1009,255,255,255,214.722,662.985,38.172,33.656,78.748,5
61,1063,255,255,255,1542.866,676.033,38.903,34.790,39.848,5
62,1033,255,255,255,208.796,795.144,39.474,33.319,42.474,5
63,1074,255,255,255,1543.915,800.781,38.837,35.210,58.579,5
64,1078,255,255,255,212.147,907.515,39.466,34.778,169.660,5
65,1281,255,255,255,1540.766,911.844,43.043,37.893,174.076,5
66,1067,255,255,255,1543.308,1039.449,38.281,35.489,68.976,5
67,907,255,255,255,211.547,1041.254,35.881,32.185,22.628,5
68,1041,255,255,255,1541.013,1155.425,37.621,35.231,31.081,5
69,1203,255,255,255,210.859,1166.557,46.452,32.974,56.464,5
70,1039,255,255,255,1544.735,1290.698,37.282,35.483,90.280,5
71,1072,255,255,255,202.811,377.615,41.376,32.988,16.433,6
72,1244,255,255,255,202.898,501.554,42.126,37.599,12.666,6
73,1054,255,255,255,1525.591,589.957,40.702,32.971,46.786,6
74,1046,255,255,255,210.353,623.501,39.015,34.135,84.618,6
75,1098,255,255,255,1529.904,716.597,39.539,35.358,39.611,6
76,1065,255,255,255,209.129,755.716,40.138,33.784,45.173,6
77,1086,255,255,255,1534.969,840.911,39.029,35.429,66.255,6
78,1100,255,255,255,215.895,868.333,39.419,35.530,177.758,6
79,1291,255,255,255,1535.563,952.025,42.768,38.435,173.711,6
80,940,255,255,255,219.523,1001.640,36.247,33.019,36.955,6
81,1089,255,255,255,1542.455,1079.724,38.471,36.042,77.069,6
82,1210,255,255,255,222.924,1127.244,46.432,33.180,58.974,6
83,1076,255,255,255,1543.825,1195.671,38.273,35.796,45.043,6
84,1054,255,255,255,1551.945,1330.640,37.360,35.920,79.936,6
85,1074,255,255,255,206.875,411.428,41.176,33.210,13.528,7
86,1250,255,255,255,203.062,535.034,41.775,38.098,8.247,7
87,1066,255,255,255,1538.419,550.588,41.025,33.084,45.918,7
88,1038,255,255,255,207.214,657.131,38.954,33.928,80.632,7
89,1074,255,255,255,1538.822,676.980,39.035,35.031,37.652,7
90,1063,255,255,255,201.580,789.329,40.145,33.714,42.357,7
91,1076,255,255,255,1540.412,801.727,39.005,35.124,65.919,7
92,1090,255,255,255,205.072,901.928,38.844,35.728,171.206,7
93,1307,255,255,255,1537.244,912.800,43.475,38.278,174.875,7
94,947,255,255,255,204.976,1035.232,36.103,33.397,36.425,7
