 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,1003,255,255,255,1322.022,183.383,0.000,0.000,0.000,1
2,887,255,255,255,1046.026,183.608,0.000,0.000,0.000,1
3,807,255,255,255,751.173,184.343,0.000,0.000,0.000,1
4,916,255,255,255,892.361,184.840,0.000,0.000,0.000,1
5,862,255,255,255,466.328,186.457,0.000,0.000,0.000,1
6,839,255,255,255,601.667,185.982,0.000,0.000,0.000,1
7,831,255,255,255,1182.726,186.726,0.000,0.000,0.000,1
8,856,255,255,255,1049.873,1532.013,0.000,0.000,0.000,1
9,919,255,255,255,656.400,1533.465,0.000,0.000,0.000,1
10,979,255,255,255,514.197,1534.369,0.000,0.000,0.000,1
11,950,255,255,255,1305.011,1534.526,0.000,0.000,0.000,1
12,926,255,255,255,775.022,1535.240,0.000,0.000,0.000,1
13,868,255,255,255,908.233,1535.826,0.000,0.000,0.000,1
14,920,255,255,255,1169.112,1535.899,0.000,0.000,0.000,1
15,868,255,255,255,448.977,189.249,34.814,31.745,114.146,2
16,849,255,255,255,584.492,190.976,33.015,32.742,127.380,2
17,795,255,255,255,734.201,191.568,33.323,30.376,113.906,2
18,918,255,255,255,875.026,194.448,34.422,33.956,84.471,2
19,886,255,255,255,1028.867,195.447,34.495,32.703,74.863,2
20,1020,255,255,255,1304.784,199.476,38.106,34.081,81.897,2
21,836,255,255,255,1165.501,200.620,32.788,32.464,18.126,2
22,965,255,255,255,533.732,1521.496,35.944,34.183,35.180,2
23,894,255,255,255,676.310,1522.544,34.730,32.775,37.137,2
24,914,255,255,255,794.600,1526.212,34.519,33.713,61.968,2
25,840,255,255,255,1069.143,1527.180,33.510,31.917,32.798,2
26,864,255,255,255,927.787,1528.979,35.560,30.936,102.259,2
27,923,255,255,255,1188.574,1532.911,35.365,33.230,148.233,2
28,948,255,255,255,1324.691,1533.703,35.770,33.744,155.456,2
29,1020,255,255,255,1321.413,185.095,37.709,34.440,81.420,3
30,892,255,255,255,1045.345,185.320,34.614,32.811,90.785,3
31,928,255,255,255,891.876,186.543,34.621,34.128,136.156,3
32,813,255,255,255,750.710,186.154,33.526,30.876,115.961,3
33,866,255,255,255,465.844,188.038,34.951,31.548,115.788,3
34,859,255,255,255,601.221,187.487,33.286,32.858,138.518,3
35,826,255,255,255,1182.027,188.540,32.898,31.968,36.084,3
36,863,255,255,255,1048.850,1528.271,34.004,32.314,35.388,3
37,981,255,255,255,513.449,1530.823,36.042,34.655,21.526,3
38,919,255,255,255,656.006,1529.833,35.216,33.226,29.921,3
39,934,255,255,255,774.251,1531.558,35.019,33.958,71.581,3
40,941,255,255,255,1304.125,1530.880,35.710,33.551,150.106,3
41,878,255,255,255,907.349,1532.309,35.730,31.287,103.740,3
42,934,255,255,255,1168.310,1532.285,35.385,33.608,152.717,3
43,991,255,255,255,1335.331,169.644,37.537,33.614,84.372,4
44,877,255,255,255,1059.346,173.925,34.143,32.704,78.840,4
45,807,255,255,255,1196.217,175.129,32.281,31.830,95.142,4
46,909,255,255,255,905.765,177.644,34.209,33.833,80.277,4
47,769,255,255,255,764.946,179.172,32.668,29.972,118.363,4
48,839,255,255,255,615.284,182.946,33.131,32.244,159.518,4
49,845,255,255,255,479.928,185.486,34.660,31.041,114.276,4
50,947,255,255,255,1283.463,1530.990,35.933,33.556,160.529,4
51,835,255,255,255,1028.338,1532.106,33.477,31.758,38.190,4
52,927,255,255,255,1147.662,1534.286,35.410,33.333,151.364,4
53,862,255,255,255,886.875,1538.039,35.646,30.790,106.911,4
54,919,255,255,255,753.720,1539.536,34.527,33.890,62.775,4
55,902,255,255,255,635.324,1539.600,34.995,32.818,28.398,4
56,970,255,255,255,492.753,1542.765,35.919,34.384,26.751,4
57,1008,255,255,255,1325.388,185.075,37.452,34.268,82.819,5
58,883,255,255,255,1049.640,185.488,34.849,32.261,86.163,5
59,790,255,255,255,754.871,186.781,33.114,30.375,115.570,5
60,925,255,255,255,895.834,187.026,34.343,34.293,8.712,5
61,861,255,255,255,469.895,189.217,34.966,31.352,119.876,5
62,851,255,255,255,605.286,188.504,33.052,32.783,21.527,5
63,847,255,255,255,1186.258,188.619,33.341,32.345,40.655,5
64,856,255,255,255,1049.798,1531.888,33.836,32.211,39.760,5
65,899,255,255,255,656.697,1533.852,34.862,32.833,30.796,5
66,950,255,255,255,1305.086,1534.184,35.745,33.839,146.076,5
67,970,255,255,255,514.333,1535.160,36.036,34.273,29.453,5
68,922,255,255,255,775.065,1535.461,34.558,33.970,71.601,5
69,883,255,255,255,908.242,1536.007,36.306,30.967,107.021,5
70,929,255,255,255,1169.143,1535.712,35.061,33.737,145.693,5
71,864,255,255,255,431.583,192.242,34.909,31.512,116.181,6
72,846,255,255,255,566.856,195.896,33.243,32.403,140.698,6
73,809,255,255,255,716.553,199.049,33.530,30.720,107.764,6
74,926,255,255,255,857.366,203.863,34.764,33.915,122.644,6
75,898,255,255,255,1011.202,207.580,34.613,33.033,81.985,6
76,1017,255,255,255,1286.767,215.957,37.936,34.133,77.778,6
77,846,255,255,255,1147.858,214.862,33.005,32.637,169.076,6
78,977,255,255,255,553.669,1506.804,36.021,34.534,30.101,6
79,912,255,255,255,695.899,1510.135,35.143,33.042,35.242,6
80,918,255,255,255,814.296,1515.773,34.872,33.518,58.974,6
81,872,255,255,255,947.489,1520.534,35.691,31.107,104.784,6
82,853,255,255,255,1088.752,1521.092,33.775,32.156,34.339,6
83,917,255,255,255,1208.198,1528.828,35.083,33.280,149.119,6
84,941,255,255,255,1344.110,1531.664,35.693,33.567,149.570,6
85,993,255,255,255,1317.215,186.447,37.142,34.040,83.097,7
86,892,255,255,255,1041.262,186.164,34.622,32.804,92.805,7
87,794,255,255,255,746.792,186.700,33.233,30.420,112.819,7
88,913,255,255,255,887.677,187.267,34.234,33.957,59.914,7
89,858,255,255,255,461.899,188.369,34.577,31.594,117.365,7
90,847,255,255,255,597.095,188.160,32.973,32.706,176.828,7
91,825,255,255,255,1178.068,189.494,32.819,32.006,22.179,7
92,923,255,255,255,654.230,1527.724,35.506,33.099,29.433,7
93,854,255,255,255,1047.207,1526.588,33.803,32.168,51.790,7
94,979,255,255,255,511.758,1528.726,35.936,34.686,38.373,7
95,937,255,255,255,772.569,1529.621,35.144,33.946,67.739,7
96,958,255,255,255,1302.380,1529.359,35.960,33.920,149.336,7
97,874,255,255,255,905.690,1530.331,35.676,31.192,106.571,7
98,931,255,255,255,1166.486,1530.548,35.310,33.571,148.735,7
99,989,255,255,255,1357.969,153.941,37.402,33.668,84.675,8
100,878,255,255,255,1082.031,162.937,34.364,32.532,94.362,8
101,810,255,255,255,1219.104,161.623,32.309,31.920,3.781,8
102,911,255,255,255,928.923,169.015,34.216,33.900,76.910,8
103,788,255,255,255,787.869,172.968,33.149,30.267,117.220,8
104,845,255,255,255,638.287,179.313,33.281,32.328,144.171,8
105,857,255,255,255,503.190,184.024,34.910,31.257,116.091,8
106,948,255,255,255,1265.589,1532.178,35.452,34.047,154.353,8
107,926,255,255,255,1129.826,1537.604,35.205,33.490,156.878,8
108,860,255,255,255,1010.358,1537.533,34.137,32.076,38.905,8
109,877,255,255,255,868.928,1545.802,35.950,31.060,106.661,8
110,931,255,255,255,735.908,1549.417,34.911,33.954,72.124,8
111,917,255,255,255,617.656,1551.350,34.975,33.383,42.227,8
112,982,255,255,255,475.055,1556.792,36.158,34.579,31.784,8
113,988,255,255,255,1322.045,185.778,36.925,34.068,82.215,9
114,874,255,255,255,1046.084,185.857,34.292,32.451,91.191,9
115,797,255,255,255,751.465,186.707,33.318,30.457,112.726,9
116,895,255,255,255,892.418,187.109,33.819,33.696,140.833,9
117,858,255,255,255,466.403,188.519,34.750,31.437,119.150,9
118,833,255,255,255,601.678,188.089,32.728,32.407,175.213,9
119,833,255,255,255,1182.883,189.362,32.740,32.395,69.303,9
120,852,255,255,255,1049.915,1530.178,34.113,31.801,52.773,9
121,966,255,255,255,514.609,1532.683,35.823,34.334,35.621,9
122,900,255,255,255,657.157,1531.694,35.021,32.721,29.953,9
123,926,255,255,255,775.254,1533.452,35.111,33.580,65.239,9
124,947,255,255,255,1305.441,1533.003,35.866,33.618,158.505,9
125,862,255,255,255,908.607,1534.168,35.634,30.801,104.089,9
126,919,255,255,255,1169.459,1534.248,35.089,33.347,149.165,9
127,876,255,255,255,414.293,194.897,35.308,31.589,112.547,10
128,863,255,255,255,549.403,200.590,33.384,32.914,155.594,10
129,804,255,255,255,699.070,206.116,33.683,30.392,115.760,10
