 ,Area,Mean,Min,Max,XM,YM,Major,Minor,Angle,Slice
1,32876,255,255,255,336.859,322.025,0,0,0,1
2,41684,255,255,255,551.997,346.602,0,0,0,1
3,32173,255,255,255,1176.892,331.412,0,0,0,1
4,31591,255,255,255,766.058,326.727,0,0,0,1
5,37723,255,255,255,973.569,344.844,0,0,0,1
6,41039,255,255,255,1385.420,354.747,0,0,0,1
7,28185,255,255,255,688.809,506.270,0,0,0,1
8,31347,255,255,255,331.828,518.132,0,0,0,1
9,40848,255,255,255,1239.342,539.819,0,0,0,1
10,29868,255,255,255,877.144,529.232,0,0,0,1
11,32592,255,255,255,513.848,594.556,0,0,0,1
12,30299,255,255,255,1048.560,630.911,0,0,0,1
13,38717,255,255,255,1384.722,708.081,0,0,0,1
14,30695,255,255,255,684.628,700.825,0,0,0,1
15,35854,255,255,255,324.582,730.235,0,0,0,1
16,28316,255,255,255,876.731,723.204,0,0,0,1
17,29176,255,255,255,1192.748,768.410,0,0,0,1
18,31510,255,255,255,513.604,801.997,0,0,0,1
19,31180,255,255,255,1014.780,849.455,0,0,0,1
20,36669,255,255,255,750.648,894.705,0,0,0,1
21,39136,255,255,255,1385.891,932.490,0,0,0,1
22,39331,255,255,255,343.032,953.885,0,0,0,1
23,35047,255,255,255,1175.121,975.568,0,0,0,1
24,36564,255,255,255,555.093,1000.871,0,0,0,1
25,20704,255,255,255,906.441,995.949,0,0,0,1
26,37685,255,255,255,733.121,1118.577,0,0,0,1
27,43854,255,255,255,1379.144,1165.580,0,0,0,1
28,38538,255,255,255,335.542,1183.391,0,0,0,1
29,36530,255,255,255,930.468,1183.063,0,0,0,1
30,38389,255,255,255,1147.386,1182.312,0,0,0,1
31,28955,255,255,255,543.692,1199.383,0,0,0,1
32,41968,255,255,255,743.463,1351.064,0,0,0,1
33,38502,255,255,255,1185.321,1395.056,0,0,0,1
34,38548,255,255,255,963.323,1396.850,0,0,0,1
35,32777,255,255,255,1393.663,1388.842,0,0,0,1
36,38522,255,255,255,523.542,1398.910,0,0,0,1
37,28755,255,255,255,320.467,1397.871,0,0,0,1
38,32140,255,255,255,305.644,354.656,208.824,195.964,177.226,2
39,41291,255,255,255,525.504,374.056,237.580,221.287,83.552,2
40,31977,255,255,255,1201.335,362.202,207.300,196.403,99.345,2
41,31385,255,255,255,788.486,358.794,205.390,194.560,144.445,2
42,38058,255,255,255,997.977,378.805,231.452,209.361,89.169,2
43,40656,255,255,255,1412.968,403.280,232.281,222.855,92.484,2
44,28150,255,255,255,677.401,520.077,197.750,181.248,80.010,2
45,29932,255,255,255,866.649,542.603,197.108,193.349,159.779,2
46,30995,255,255,255,301.152,545.893,206.503,191.107,6.828,2
47,40384,255,255,255,1246.756,568.424,235.174,218.640,29.818,2
48,32376,255,255,255,496.832,591.694,206.636,199.493,89.532,2
